,SIGLEC15 (284266)
ACH-000943,0.08398947547068672
ACH-000946,-0.037086122491007366
ACH-000947,-0.007909015843049157
ACH-000948,0.004583128732089875
ACH-000950,-0.17448693929409992
ACH-000953,-0.07777396550539273
ACH-000954,-0.020240270268539674
ACH-000957,0.0442145565082186
ACH-000958,-0.18322280408403493
ACH-000960,-0.046952044179847406
ACH-000963,0.004819333543575256
ACH-000968,0.0747553334132489
ACH-000969,-0.08081747018978133
ACH-000972,-0.14378126920641707
ACH-000973,-0.0019274090310775183
ACH-000974,0.023681435213602168
ACH-000978,0.054316962447430166
ACH-000984,-0.291449365529935
ACH-000986,0.02815703749775949
ACH-000988,-0.07949841566914176
ACH-000993,-0.01767518371201119
ACH-000994,-0.1875610139138108
ACH-000996,0.029815605776989475
ACH-001001,-0.00037338908016581736
ACH-001020,0.031366656215041484
ACH-001028,0.041358588013500334
ACH-001031,-0.08025661905332207
ACH-001038,-0.11755235611322308
ACH-001048,0.012972261625056656
ACH-001050,0.09413471125653043
ACH-001053,0.04249107847249199
ACH-001054,0.1119782006035422
ACH-001061,0.08387048881052712
ACH-001067,0.007505681788033907
ACH-001075,-0.1560155497254859
ACH-001096,0.012500122320858509
ACH-001111,-0.11665871024914558
ACH-001119,0.09606747765960057
ACH-001128,0.16977871287444096
ACH-001134,-0.02342376671514974
ACH-001151,-0.1430491908001902
ACH-001163,0.04755562610158319
ACH-001164,-0.13607406486129325
ACH-001183,0.06803199956071873
ACH-001192,-0.11372158796056775
ACH-001193,0.1775850126981162
ACH-001196,-0.11701838333205128
ACH-001197,0.03700099980979545
ACH-001205,-0.07937062879896861
ACH-001211,-0.14038417619107368
ACH-001212,0.0624160532647933
ACH-001228,-0.05147153703515082
ACH-001232,0.16238347500135475
ACH-001239,-0.008978832829135064
ACH-001270,-0.25913674163357864
ACH-001274,0.026376138792004632
ACH-001275,-0.22898214816270746
ACH-001277,0.07711858080230352
ACH-001278,0.09339807724209842
ACH-001280,-0.09954816668731467
ACH-001283,0.12248238917932325
ACH-001289,0.014246353769184534
ACH-001300,0.003546793977995392
ACH-001301,0.013466590580161057
ACH-001302,-0.18060560420339916
ACH-001306,0.07099050579853779
ACH-001318,0.07611876377616078
ACH-001322,-0.008735591609209637
ACH-001328,0.07061079280662988
ACH-001332,0.03853484710537007
ACH-001336,0.030423286008576605
ACH-001346,0.017368587084541996
ACH-001353,0.010118116554715464
ACH-001354,-0.13824741939868612
ACH-001367,-0.006606187356443427
