,TAF15 (8148)
ACH-000633,-0.01838227779903393
ACH-000637,-0.05196461096128989
ACH-000638,0.03166577017080146
ACH-000646,-0.06854026512249753
ACH-000647,-0.026136651973246224
ACH-000648,0.19812673892220456
ACH-000649,-0.07573104041634393
ACH-000651,0.057245614941734975
ACH-000652,0.027535442376255805
ACH-000653,0.07116828682697475
ACH-000657,0.00042495133003737066
ACH-000658,0.006141085202096726
ACH-000661,-0.07540979527052556
ACH-000662,0.07275319275274658
ACH-000663,-0.08713419173767878
ACH-000665,-0.07114662671858946
ACH-000671,0.2439712833377943
ACH-000672,-0.16398860516772595
ACH-000673,-0.02496505531023989
ACH-000676,0.023213556135549675
ACH-000677,-0.020243187845010373
ACH-000681,0.05074965542532523
ACH-000683,0.15720713926940946
ACH-000684,-0.13706572918429644
ACH-000688,-0.17582338629425193
ACH-000693,0.011790269531545073
ACH-000694,0.09283003036988012
ACH-000695,0.14189855031850354
ACH-000696,-0.08838324657435044
ACH-000697,-0.0359777113297039
ACH-000699,-0.026273259165671158
ACH-000701,-0.0009498131512944318
ACH-000706,0.12100011435945135
ACH-000711,-0.04830953783125647
ACH-000713,-0.022685232003541604
ACH-000714,-0.05395098579413876
ACH-000718,-0.00022235068406729894
ACH-000720,-0.09324184765838713
ACH-000721,0.09225785555260776
ACH-000724,0.12000613236252727
ACH-000725,0.024958999768064708
ACH-000732,0.07694656659842472
ACH-000734,0.10479173570267436
ACH-000735,0.013266757946273149
ACH-000736,0.05653761622601396
ACH-000738,0.06280053634382225
ACH-000746,0.05076601969803735
ACH-000747,-0.30468020401268114
ACH-000748,-0.019194388614538743
ACH-000753,0.05239880089991518
ACH-000756,0.0020963844810296074
ACH-000757,0.07982735691099911
ACH-000758,-0.046766353946791635
ACH-000760,0.052860956686981465
ACH-000762,-0.08843560430567482
ACH-000763,-0.15278140725079467
ACH-000764,0.0905464719663472
ACH-000765,0.15515820702202848
ACH-000766,-0.009431220480488705
ACH-000767,0.10770476648423123
ACH-000768,-0.017256973359508286
ACH-000769,0.048649638051158864
ACH-000770,-0.05671952612322573
ACH-000771,0.1240237111407176
ACH-000773,-0.05610405681815148
ACH-000776,-0.18523284175522475
ACH-000777,0.08540924906052913
ACH-000778,-0.0030780449666035423
ACH-000781,0.09339635567628228
ACH-000782,0.042726403770826815
ACH-000783,-0.004177040205465435
ACH-000784,-0.06207610371402787
ACH-000785,-0.04730931393641273
ACH-000787,0.13918016184659704
ACH-000788,0.05823299247240533
ACH-000791,-0.10891437738859293
ACH-000792,-0.15234787069067768
ACH-000794,0.05084915980318035
ACH-000796,0.08226432092328803
ACH-000798,-0.08554997857000145
ACH-000799,-0.0459123771591273
ACH-000800,0.23822885916439254
ACH-000802,0.030957177582570605
ACH-000804,-0.02793818610755024
ACH-000805,0.13843363661706318
ACH-000809,-0.02381870987471233
ACH-000810,-0.04090300158996499
ACH-000811,-0.18822316089940014
ACH-000817,-0.047010571576171736
ACH-000819,0.013620054976154034
ACH-000820,0.09974600298923604
ACH-000821,0.2279971109847352
ACH-000822,-0.056631249865191774
ACH-000823,0.0677472984074851
ACH-000824,0.11068266128547126
ACH-000827,0.11564606648216058
ACH-000829,-0.046362869483903314
ACH-000831,0.08889619479305061
ACH-000832,-0.16976640695305828
ACH-000833,0.07499860039119016
ACH-000834,0.17823345166197446
ACH-000835,-0.0754845554872328
ACH-000836,0.12039239650107444
ACH-000837,-0.030864811631579142
ACH-000838,0.03064303386807413
ACH-000839,0.05467825538428906
ACH-000840,0.04666327264439396
ACH-000841,-0.03894178685886784
ACH-000843,-0.12504636061118193
ACH-000846,-0.09750061291624004
ACH-000847,0.051092454947202735
ACH-000848,0.08799390656714992
ACH-000849,-0.013095753496615051
ACH-000851,0.09443308250976858
ACH-000855,0.17886167892106886
ACH-000856,0.008562837419682744
ACH-000858,-0.028551484157904507
ACH-000859,-0.14248795604233613
ACH-000861,0.13537319484756272
ACH-000862,-0.04637018060522221
ACH-000865,0.13171541279137716
ACH-000866,0.0708683466740371
ACH-000867,-0.008832253938082159
ACH-000869,0.12138545948059072
ACH-000872,-0.06288826104366871
ACH-000873,0.08353107685236766
ACH-000876,0.046371390886659015
ACH-000878,0.15866171094626313
ACH-000880,0.057350176324090875
ACH-000881,-0.020591846144223783
ACH-000882,0.045885685474380815
ACH-000884,-0.06969616209666495
ACH-000885,0.09196675356700362
ACH-000887,-0.01980917669723492
ACH-000889,-0.057494141677575786
ACH-000896,0.062285144096460625
ACH-000898,-0.09497051798621924
ACH-000900,-0.16441648397831649
ACH-000901,0.026363164997345343
ACH-000905,0.20657547213630645
ACH-000906,-0.02497493601685593
ACH-000907,0.054091563076686944
ACH-000910,0.03257027253639095
ACH-000911,-0.13262737370011352
ACH-000912,0.14307591468946793
ACH-000913,0.004639668556934408
ACH-000915,-0.0023157636512171503
ACH-000916,-0.059657177814073314
ACH-000917,-0.12128206008937115
ACH-000920,0.07672427004243196
ACH-000921,-0.05368120457940475
ACH-000924,0.1441334353084102
ACH-000926,-0.11061052841241073
ACH-000928,-0.1806964973032996
ACH-000929,0.0005702952680917068
ACH-000932,-0.010977770649791378
ACH-000935,0.07744845972603817
ACH-000936,0.2003854874104188
ACH-000937,0.0149024073427914
ACH-000938,0.006421667983324086
ACH-000939,-0.06740557984474604
ACH-000941,0.023166398642032328
ACH-000943,-0.008508967558946862
ACH-000946,0.1108310116373376
ACH-000947,-0.06797246480275382
ACH-000948,0.0892241051757431
ACH-000950,0.20945654953532275
ACH-000953,-0.025361623234630436
ACH-000954,0.05232518352651875
ACH-000957,0.1830380446612117
ACH-000958,-0.09005414852654987
ACH-000960,-0.0026210851648293568
ACH-000963,-0.2388596235063381
ACH-000968,0.05526660529626558
ACH-000969,-0.051006540320338786
ACH-000972,-0.142757807527121
ACH-000973,-0.09455421062844226
ACH-000974,0.024576797002903144
ACH-000978,-0.1537921482060457
ACH-000984,0.03460558447820044
ACH-000986,-0.228481157322666
ACH-000988,-0.01702517479270042
ACH-000993,0.15558690764534125
ACH-000994,-0.1118282752864384
ACH-000996,-0.15376492757308086
ACH-001001,0.02964287903994538
ACH-001020,0.2020441119920083
ACH-001028,-0.005565356941268984
ACH-001031,-0.04757258711834995
