,CNNM4 (26504)
ACH-000732,-0.1397738319669055
ACH-000734,-0.05283778956085178
ACH-000735,0.012959588501292757
ACH-000736,-0.1947593010580276
ACH-000738,-0.14306685349870996
ACH-000746,0.08319862299214062
ACH-000747,-0.03692662069106452
ACH-000748,0.0299171004691778
ACH-000753,0.008563737880581158
ACH-000756,0.02214319263638258
ACH-000757,-0.08661152930972456
ACH-000758,-0.20541838852588576
ACH-000760,0.03518991248165453
ACH-000762,-0.14230166246115744
ACH-000763,-0.02344135497787568
ACH-000764,-0.11026869596026337
ACH-000765,-0.17941809900295386
ACH-000766,0.052002685324444284
ACH-000767,0.07825801882747055
ACH-000768,-0.22794380158573846
ACH-000769,-0.028599430132289425
ACH-000770,-0.16561681719630436
ACH-000771,-0.016572037417995247
ACH-000773,0.006340391762266238
ACH-000776,-0.15332725462367558
ACH-000777,0.09234757874271676
ACH-000778,-0.007962172476500738
ACH-000781,-0.009670862462688768
ACH-000782,-0.17871162496345044
ACH-000783,0.052655654842053035
ACH-000784,-0.08577894690903574
ACH-000785,-0.15071995720822834
ACH-000787,-0.027653352559019274
ACH-000788,-0.08366480397818528
ACH-000791,-0.042531254659590366
ACH-000792,-0.1131775875804632
ACH-000794,0.12569347943424564
ACH-000796,-0.12000424623743927
ACH-000798,-0.1665407518021023
ACH-000799,-0.15329887020994776
ACH-000800,-0.070567815920169
ACH-000802,-0.015911278306522683
ACH-000804,0.17955563851291811
ACH-000805,-0.1533164110519004
ACH-000809,0.019499534398875515
ACH-000810,0.027662852245309098
ACH-000811,-0.1573737132230292
ACH-000817,0.09697875907023697
ACH-000819,-0.1985826562532696
ACH-000820,-0.15620786596784045
ACH-000821,-0.1376595717521042
ACH-000822,-0.1240270362523798
ACH-000823,-0.017871594964893617
ACH-000824,0.04430151701914418
ACH-000827,-0.06888813072467867
ACH-000829,-0.11654656400909293
ACH-000831,-0.07365111946069104
ACH-000832,-0.10321499007060364
ACH-000833,-0.01945131751616822
ACH-000834,-0.037690639960910204
ACH-000835,-0.03818305210204225
ACH-000836,-0.02661807633106125
ACH-000837,-0.1205568586328198
ACH-000838,-0.004984764855985788
ACH-000839,-0.02551847614129197
ACH-000840,-0.18687621573938026
ACH-000841,-0.15542290513560816
ACH-000843,0.06900014746943177
ACH-000846,0.04263361231472
ACH-000847,-0.08658748386037472
ACH-000848,-0.04143774123342836
ACH-000849,-0.20340738882297915
ACH-000851,-0.18192370252582413
ACH-000855,-0.14347805798249536
ACH-000856,0.005728795473908278
ACH-000858,-0.13927581547466408
ACH-000859,-0.1178580739197057
ACH-000861,-0.03468999354583755
ACH-000862,-0.028497723332314987
ACH-000865,-0.08964161807834788
ACH-000866,-0.09517995006965664
ACH-000867,0.04013443109227169
ACH-000869,-0.03434985729319782
ACH-000872,-0.3442825319013502
ACH-000873,0.02734089025448156
ACH-000876,-0.04089502417302618
ACH-000878,-0.12544008654537225
ACH-000880,0.03866134351002437
ACH-000881,0.018058639588908985
ACH-000882,-0.042670826676107824
ACH-000884,0.0378969130721111
ACH-000885,0.02986644362811932
ACH-000887,-0.0703632902229282
ACH-000889,-0.06123500904737445
ACH-000896,-0.18628919463954485
ACH-000898,0.10067353054979276
ACH-000900,-0.23600519823158936
ACH-000901,-0.08169994986774795
ACH-000905,-0.02047317617307111
ACH-000906,-0.017983909601149213
ACH-000907,-0.04811645047954552
ACH-000910,0.005420046685580437
ACH-000911,0.01821480261810274
ACH-000912,-0.1579474979663706
ACH-000913,-0.02531205665142932
ACH-000915,-0.12945041263792514
ACH-000916,-0.2485770188119637
ACH-000917,-0.15669777309551958
ACH-000920,0.2019307582911254
ACH-000921,-0.16482413163486626
ACH-000924,-0.20004400194397545
ACH-000926,0.183123382517218
ACH-000928,-0.11455554753701405
ACH-000929,-0.06458657690713726
ACH-000932,0.04847116515793131
ACH-000935,0.0349625381216352
ACH-000936,-0.04178624808027513
ACH-000937,-0.11009028606598964
ACH-000938,-0.04114045339011056
ACH-000939,-0.07970371699486851
ACH-000941,-0.2251400376875604
ACH-000943,-0.13334485280705327
ACH-000946,-0.19809567927289445
ACH-000947,0.01851356200644395
ACH-000948,0.007449512568896078
ACH-000950,-0.2360468628072629
ACH-000953,-0.031821874790889965
ACH-000954,0.23435306513393594
ACH-000957,-0.1258385996512092
ACH-000958,-0.0930316880094638
ACH-000960,-0.02856976838577834
ACH-000963,-0.2001404520626588
ACH-000968,0.007078575150050164
ACH-000969,-0.1087572874901953
ACH-000972,0.2119210912520972
