,CYP4F12 (66002)
ACH-000695,0.07779254290253633
ACH-000696,-0.02136227794347575
ACH-000697,0.07487172926258351
ACH-000699,-0.015608933937228828
ACH-000701,-0.2147445593210959
ACH-000706,-0.14303131428369573
ACH-000711,-0.03475923714789242
ACH-000713,-0.10335386777248123
ACH-000714,-0.06873742257318366
ACH-000718,0.0024668132089036804
ACH-000720,-0.09550651605347607
ACH-000721,0.0048910782573527
ACH-000724,-0.14944949980326533
ACH-000725,-0.1280462091276925
ACH-000732,-0.0834821388174553
ACH-000734,0.02541144006868053
ACH-000735,0.03450588304829265
ACH-000736,0.013772390737103856
ACH-000738,-0.1644517728145976
ACH-000746,-0.19620370022553926
ACH-000747,-0.0581464500919446
ACH-000748,-0.07911958310704392
ACH-000753,0.022379660956988585
ACH-000756,-0.2962019661564476
ACH-000757,-0.08241532445245157
ACH-000758,-0.1456715951388959
ACH-000760,0.04511524455454705
ACH-000762,-0.09614027526033994
ACH-000763,0.025584411264440637
ACH-000764,-0.272071613711209
ACH-000765,-0.06696694544066499
ACH-000766,-0.01833044399913384
ACH-000767,-0.06447430915382313
ACH-000768,-0.07304214806732104
ACH-000769,-0.08670423300569256
ACH-000770,-0.1662333574391965
ACH-000771,-0.013560600138076476
ACH-000773,-0.1285356916054166
ACH-000776,-0.08488753858104825
ACH-000777,0.00784267360345892
ACH-000778,-0.09988583905406656
ACH-000781,-0.0956717931810816
ACH-000782,-0.08403930858778799
ACH-000783,-0.06189742241241289
ACH-000784,-0.007943397004237589
ACH-000785,-0.1944506807787062
ACH-000787,-0.021511808034605808
ACH-000788,-0.06113737998868191
ACH-000791,0.012073233430980716
ACH-000792,-0.13426807522560927
ACH-000794,-0.07710464860310537
ACH-000796,-0.10026244182319212
ACH-000798,-0.05679674891285389
ACH-000799,-0.0800818546944382
ACH-000800,0.03626149376349229
ACH-000802,-0.08263401583843724
ACH-000804,-0.021818426427465464
ACH-000805,-0.04818010279770518
ACH-000809,-0.027715352875590345
ACH-000810,-0.02413904273217919
ACH-000811,-0.00030086764822364514
ACH-000817,-0.1440772140546085
ACH-000819,-0.12449330752991875
ACH-000820,-0.18896196580084687
ACH-000821,-0.01099379797466834
ACH-000822,0.009848815575889763
ACH-000823,-0.17399034716359407
ACH-000824,0.05317759650078855
ACH-000827,-0.0424861622215193
ACH-000829,-0.027189819326746304
ACH-000831,-0.13056630121059593
ACH-000832,0.014638266285167874
ACH-000833,-0.10727353888655793
ACH-000834,-0.017672146134839768
ACH-000835,-0.06156236941261744
ACH-000836,-0.1581007594754941
ACH-000837,-0.02161070680622879
ACH-000838,0.005320948918015277
ACH-000839,-0.005227767192572968
ACH-000840,-0.10595994369722783
ACH-000841,-0.04234473664274924
ACH-000843,0.08096459726302363
ACH-000846,-0.07935553152285471
ACH-000847,-0.2720730336811412
ACH-000848,-0.30802894364920097
ACH-000849,-0.1264574755441865
ACH-000851,-0.10527156338798266
ACH-000855,-0.07023470612970469
ACH-000856,0.059475455983299085
ACH-000858,-0.1756836231142778
ACH-000859,0.027114150456138384
ACH-000861,-0.1452895033570559
ACH-000862,-0.039833020419591386
ACH-000865,-0.10191477870231712
ACH-000866,0.09365445320947884
ACH-000867,-0.14852175730807138
ACH-000869,-0.09295143365136696
ACH-000872,-0.11652659471057067
ACH-000873,-0.19346708155024514
ACH-000876,-0.10871826958231934
ACH-000878,-0.04129746197997098
ACH-000880,0.040541097814188784
ACH-000881,0.0030529672923445854
ACH-000882,-0.06662594450029784
ACH-000884,-0.12409780544785867
ACH-000885,-0.07223197863200863
ACH-000887,-0.026275646518774717
ACH-000889,0.015295113058964084
ACH-000896,0.0989751152229943
ACH-000898,0.08897209792818131
ACH-000900,0.056112355172239885
ACH-000901,-0.07465786258784521
ACH-000905,-0.02766583755750316
ACH-000906,-0.029769601204843264
ACH-000907,-0.06824968368100277
ACH-000910,0.047201492886432266
ACH-000911,0.038567424802233775
ACH-000912,0.0051551605769859276
ACH-000913,0.029314786573589557
ACH-000915,-0.2038293154580832
ACH-000916,-0.3661354652008096
ACH-000917,-0.07185782991152098
ACH-000920,-0.02387339166263921
ACH-000921,0.025647220390357668
ACH-000924,0.017998720155979787
ACH-000926,-0.22943632860216015
ACH-000928,0.021912674994857613
ACH-000929,-0.014008096972057444
ACH-000932,-0.07924543809463695
ACH-000935,0.03614955228551134
ACH-000936,-0.11902092207538235
ACH-000937,0.06359587419871396
ACH-000938,-0.20757823889044333
ACH-000939,0.00433623279945106
ACH-000941,-0.1876403100691919
ACH-000943,-0.1030051732224622
ACH-000946,0.050351329232329066
