,LRCH3 (84859)
ACH-000480,-0.2091375055947921
ACH-000481,-0.02394010267950333
ACH-000483,0.06519059834354426
ACH-000484,-0.10724659770810543
ACH-000485,-0.07438434298613975
ACH-000486,-0.08842000225223379
ACH-000487,-0.07119608128187739
ACH-000488,-0.019031241071735625
ACH-000490,-0.08894089395624473
ACH-000491,0.04899640811820455
ACH-000495,-0.14457595524781208
ACH-000496,-0.26480626299314897
ACH-000499,0.04211819529394775
ACH-000500,-0.2263155044140482
ACH-000502,-0.11517371993579635
ACH-000503,-0.15386115673564185
ACH-000505,-0.11139445163410744
ACH-000507,-0.038648121699748766
ACH-000510,-0.17572162967828575
ACH-000511,-0.2524905126289802
ACH-000512,0.17095323100449314
ACH-000516,0.0363765114307123
ACH-000517,-0.245364678550304
ACH-000518,-0.01081712582028666
ACH-000520,0.006506777841167864
ACH-000521,0.016529530890390394
ACH-000522,-0.2004087764596454
ACH-000524,-0.08143503088684481
ACH-000527,-0.13337619353920252
ACH-000528,-0.059845363243433126
ACH-000537,-0.07715603302839008
ACH-000541,-0.040437319921120096
ACH-000542,-0.24412294789556666
ACH-000544,-0.11559449104721507
ACH-000545,-0.1513473450170361
ACH-000547,-0.1457926945232487
ACH-000548,-0.06593154883469728
ACH-000549,0.0035317889102168733
ACH-000550,-0.13624129294851933
ACH-000552,0.007274899471354553
ACH-000556,-0.04795785264916025
ACH-000557,-0.00814672073594906
ACH-000569,-0.4367893394086181
ACH-000570,-0.27645133869277105
ACH-000571,-0.1060705022113768
ACH-000573,-0.16036479444733798
ACH-000576,-0.07482149658671074
ACH-000579,-0.0077329662406792265
ACH-000580,-0.03527217868758497
ACH-000584,-0.25309576192906325
ACH-000585,0.04162162489515093
ACH-000588,0.020261709936946464
ACH-000589,-0.015716663467526985
ACH-000591,-0.14499186239156964
ACH-000593,-0.18071778962103727
ACH-000600,-0.2027055438927389
ACH-000601,-0.20755208365666603
ACH-000605,0.03438952334564622
ACH-000606,-0.16601779078025988
ACH-000608,-0.06873527398341649
ACH-000614,-0.2058578925516564
ACH-000616,-0.06904014146502119
ACH-000618,0.08985116133410044
ACH-000619,0.0409610847049936
ACH-000620,-0.06643205346702044
ACH-000621,-0.2234118621325325
ACH-000622,-0.01791729418162763
ACH-000623,0.044151319744024094
ACH-000624,-0.14554682580927733
ACH-000627,-0.1670709496443015
ACH-000630,-0.1375746984868631
ACH-000631,-0.0711261695629375
ACH-000632,-0.2019904347446136
ACH-000633,-0.08383882876551474
ACH-000637,-0.03712810130571212
ACH-000638,0.10481866528155227
ACH-000646,-0.06483440421781002
ACH-000647,0.006823613968554533
ACH-000648,0.2859754733773046
ACH-000649,-0.236597373221507
ACH-000651,0.0029781210830237205
ACH-000652,-0.08238915502825206
ACH-000653,-0.020494829159555337
ACH-000657,-0.058799272331886615
ACH-000658,-0.06938775129712217
ACH-000661,0.07950715412174854
ACH-000662,-0.3345564883889853
ACH-000663,-0.13928579719479786
ACH-000665,-0.09894557727313792
ACH-000671,-0.009704004796831586
ACH-000672,-0.13277570136319894
ACH-000673,-0.10802014335719554
ACH-000676,-0.04433212306468155
ACH-000677,-0.014935102904061246
ACH-000681,-0.0717468644407323
ACH-000683,-0.07200411520267658
ACH-000684,-0.3542470775011604
ACH-000688,-0.0718062326555378
ACH-000693,-0.004268595940513613
ACH-000694,-0.04447447760879578
ACH-000695,-0.14146420917029884
ACH-000696,-0.07970625441779153
ACH-000697,-0.05980154922478743
ACH-000699,-0.08295382653972767
ACH-000701,0.13736070710572726
ACH-000706,-0.10497404630739199
ACH-000711,-0.0822526341644299
ACH-000713,-0.031105925852600563
ACH-000714,0.09663336622571203
ACH-000718,-0.15184025498731687
