,SNTG2 (54221)
ACH-000771,0.18814113727630774
ACH-000773,0.053218876858177264
ACH-000776,-0.09800143161604118
ACH-000777,0.10068913402390244
ACH-000778,0.11144358995724507
ACH-000781,0.048609439576411215
ACH-000782,0.10501659636855293
ACH-000783,0.06613868466594218
ACH-000784,0.13171507707047767
ACH-000785,0.08426510327897405
ACH-000787,0.14491057472668414
ACH-000788,0.10290258791060856
ACH-000791,0.16561175370514952
ACH-000792,0.10868888468469544
ACH-000794,0.1162371061586974
ACH-000796,0.052947741023150516
ACH-000798,-0.033318416803047736
ACH-000799,-0.025762948188684503
ACH-000800,0.3251960616518999
ACH-000802,-0.004279367700620943
ACH-000804,0.2175596657252977
ACH-000805,-0.0001580936733711567
ACH-000809,-0.028573969835652975
ACH-000810,-0.09142640455588033
ACH-000811,0.12658628178903786
ACH-000817,0.005865673159809313
ACH-000819,0.0548789694285841
ACH-000820,-0.0011519860135805894
ACH-000821,0.20142688537680425
ACH-000822,0.13431064586525507
ACH-000823,0.02021186658363522
ACH-000824,0.12562644845118984
ACH-000827,0.06896889581468557
ACH-000829,0.10551570028177623
ACH-000831,0.05710098961044632
ACH-000832,0.1738522714129809
ACH-000833,-0.04480884755722635
ACH-000834,0.06599166160396405
ACH-000835,0.10051521343163236
ACH-000836,0.13338893703888144
ACH-000837,0.1517680775051979
ACH-000838,0.04198230223775723
ACH-000839,0.0017726932145809625
ACH-000840,0.2317511823734688
ACH-000841,0.050601369047761684
ACH-000843,0.2275299442002866
ACH-000846,0.0032088131880128783
ACH-000847,-0.04674381416584932
ACH-000848,0.14332939968180866
ACH-000849,-0.013096947419410235
ACH-000851,0.1083568510172091
ACH-000855,0.04390405338083917
ACH-000856,0.16258004379360266
ACH-000858,0.13190929485347475
ACH-000859,0.2859859803732973
ACH-000861,0.13485057156037386
ACH-000862,0.12260687933779088
ACH-000865,0.08354192751709387
ACH-000866,0.08633621391794716
ACH-000867,0.056537547354648825
ACH-000869,0.07321202791820554
ACH-000872,0.12341260954755695
ACH-000873,-0.002540783608766859
ACH-000876,0.1315404060506402
ACH-000878,0.5163053710913297
ACH-000880,0.03560158307102749
ACH-000881,0.06910166883539598
ACH-000882,0.11130263696393737
ACH-000884,0.07532993765076054
ACH-000885,0.20451431913305265
ACH-000887,0.11553304828703942
ACH-000889,0.08420998713476831
ACH-000896,0.06833867523214708
ACH-000898,0.04354155941465314
ACH-000900,0.06316365274417886
ACH-000901,0.05865076629125885
ACH-000905,0.13472742383345532
ACH-000906,0.13590731207559187
ACH-000907,0.014684639222364747
ACH-000910,0.07668313340636715
ACH-000911,0.11843431602298853
ACH-000912,0.05869000947321909
ACH-000913,0.1485982678636207
ACH-000915,-0.033815410748806216
ACH-000916,-0.2403519811677935
ACH-000917,0.1202575894590774
ACH-000920,-0.21993565079657448
ACH-000921,0.13432338187070852
ACH-000924,0.03608328624654197
ACH-000926,0.04573227577558763
ACH-000928,-0.03420362501008404
ACH-000929,0.13956471389017094
ACH-000932,0.052839237239849485
ACH-000935,0.15348283966711695
ACH-000936,0.0986659849848638
ACH-000937,0.05052969205595163
ACH-000938,0.009469021480682342
ACH-000939,0.13400409664302362
ACH-000941,0.09084914665812577
ACH-000943,0.11689237446816182
ACH-000946,0.15557076048350646
ACH-000947,0.0956597760932658
ACH-000948,0.14570767347407348
ACH-000950,0.1691088443945223
ACH-000953,0.054122492926037005
ACH-000954,0.06535063595944939
ACH-000957,0.049343537099499964
ACH-000958,0.1069575132132109
ACH-000960,0.10408250552664368
ACH-000963,0.049549423264917784
ACH-000968,-0.026505633858775045
ACH-000969,0.007008647587669288
ACH-000972,0.13852269183940882
ACH-000973,0.0810284102122103
ACH-000974,0.06148768508600876
ACH-000978,0.16334209908996086
ACH-000984,0.027391634728863246
ACH-000986,0.13442129820051368
ACH-000988,0.06359025468191802
ACH-000993,-0.03934201728327428
ACH-000994,0.25939599174177264
ACH-000996,0.3265465937510453
ACH-001001,0.12210364829431172
ACH-001020,0.14433125325826796
ACH-001028,0.13388445558967912
ACH-001031,0.3358861409837718
ACH-001038,0.1678872278910288
ACH-001048,0.10319318262846147
ACH-001050,0.01288013734594859
ACH-001053,0.12479915842931467
ACH-001054,-0.024811764449936945
ACH-001061,0.14165520989681196
ACH-001067,0.10869816732092608
ACH-001075,0.13902163449824062
ACH-001096,0.12332110980485035
ACH-001111,0.1339372100951487
ACH-001119,0.08828058509092726
ACH-001128,0.017154457790829126
ACH-001134,0.16360338887959675
ACH-001151,-0.002129554281992024
ACH-001163,0.12676453599215307
ACH-001164,0.2411024858582389
ACH-001183,0.007036586473090025
ACH-001192,0.011327936925577674
ACH-001193,0.045691532126710496
ACH-001196,0.13453766495004693
ACH-001197,0.06461874834728018
ACH-001205,0.15063848606794014
ACH-001211,0.026639872241266224
ACH-001212,-0.12853616333845658
ACH-001228,0.2370794115630503
ACH-001232,-0.02343134222354199
ACH-001239,0.007901474356402441
ACH-001270,0.13964924348314878
ACH-001274,-0.06293318441536276
ACH-001275,0.2231679196311516
ACH-001277,0.11615674256732984
ACH-001278,-0.11993771260736275
ACH-001280,0.0750855108382481
ACH-001283,-0.0254409053910841
ACH-001289,0.05462732674702208
ACH-001300,0.011973016072071949
ACH-001301,0.06833096841481429
ACH-001302,0.09038640767376524
ACH-001306,0.054789473562419866
ACH-001318,0.1725431874723927
ACH-001322,0.2360671712140536
ACH-001328,0.06326397123956308
ACH-001332,0.29854361221289105
ACH-001336,0.029626661072567964
ACH-001346,0.04258503223535563
ACH-001353,0.06859449692655575
ACH-001354,0.0033981776786668164
ACH-001367,0.0596651505179614
ACH-001368,0.1116942569801819
ACH-001374,0.00812284336513365
ACH-001377,0.06758113160792298
ACH-001380,0.047631030512217926
ACH-001391,-0.04109864129034363
ACH-001408,0.20819376023901687
ACH-001430,0.03741580066764266
ACH-001431,0.06720519810091198
ACH-001450,0.07553758697063595
ACH-001496,0.16395295630879286
ACH-001500,0.003488180200220201
ACH-001523,-0.02652676884122034
ACH-001532,0.05493585405608919
ACH-001550,0.13377641044015942
ACH-001552,0.033867785966795086
ACH-001554,0.047161421844808135
ACH-001654,0.042320420879621005
ACH-001735,0.12450513714418394
ACH-001736,0.10521834383567284
ACH-001737,0.5183571576379983
ACH-001740,0.08619923254750457
ACH-001745,0.09574238840430598
ACH-001765,0.2082878787763164
