,PDE9A (5152)
ACH-001183,-0.07738263917080428
ACH-001192,0.14465506524454216
ACH-001193,0.14370059457794215
ACH-001196,0.07773762371852579
ACH-001197,-0.08017170274790875
ACH-001205,0.058485164496493165
ACH-001211,0.07516295106957617
ACH-001212,0.0963062702439231
ACH-001228,-0.06134592445038769
ACH-001232,0.026932176080424
ACH-001239,-0.006759474236535721
ACH-001270,0.03517076144780617
ACH-001274,-0.021431160651234408
ACH-001275,0.0767237450329882
ACH-001277,-0.04934323188203802
ACH-001278,-0.10191739066541516
ACH-001280,0.058218272985364874
ACH-001283,0.09291139662022216
ACH-001289,-0.03936268902069951
ACH-001300,-0.02015770412873316
ACH-001301,-0.050352918804339314
ACH-001302,0.005026149164067602
ACH-001306,0.02324660155123227
ACH-001318,0.12223271579223785
ACH-001322,-0.20561815763248767
ACH-001328,0.022366340731239952
ACH-001332,-0.14711972298483808
ACH-001336,-0.0028391345935791673
ACH-001346,-0.029166892200264843
ACH-001353,-0.043802049426986116
ACH-001354,-0.052499423081451495
ACH-001367,0.14667667978410368
ACH-001368,-0.04389401748849087
ACH-001374,-0.11957618267083707
ACH-001377,-0.08693261189170237
ACH-001380,-0.07954012956915714
ACH-001391,0.14994063710102914
ACH-001408,-0.023811610017149543
ACH-001430,0.06495118575846343
ACH-001431,-0.01923442370820005
ACH-001450,0.02475234457578416
ACH-001496,0.07842875397082888
ACH-001500,-0.002092500555162388
ACH-001523,-0.1533606052885539
ACH-001532,-0.046153969895831225
ACH-001550,-0.00448492634626226
ACH-001552,0.13294441655479464
ACH-001554,0.028534627966415312
ACH-001654,0.010028894214354477
ACH-001735,0.08749919317828869
ACH-001736,0.05219174270299082
ACH-001737,0.01070540133753012
ACH-001740,-0.0181345486664208
ACH-001745,0.1078911227675428
ACH-001765,0.07855458027517884
