,GAS8 (2622)
ACH-000823,0.038103188440696205
ACH-000824,-0.08366866970826453
ACH-000827,-0.02501122830422614
ACH-000829,-0.005946705170074055
ACH-000831,0.18492583025075965
ACH-000832,0.10627546667747303
ACH-000833,0.2411625153952545
ACH-000834,-0.0806186356778059
ACH-000835,0.07848393738355525
ACH-000836,-0.07721746798366197
ACH-000837,-0.029411525216579137
ACH-000838,-0.01401998914608998
ACH-000839,-0.08109497387050113
ACH-000840,-0.04222993625816015
ACH-000841,-0.047994369960544916
ACH-000843,0.11518904110062847
ACH-000846,0.1016270695275122
ACH-000847,-0.06941809966780439
ACH-000848,0.15552244140783025
ACH-000849,-0.035906645560871885
ACH-000851,-0.10902469512832186
ACH-000855,0.3763912858934005
ACH-000856,-0.10711938268964546
ACH-000858,0.03264586470574028
ACH-000859,-0.05145196184837775
ACH-000861,-0.1479586571597833
ACH-000862,-0.03797399480272231
ACH-000865,0.04468695477266207
ACH-000866,0.11286795422526134
ACH-000867,-0.014705863460811363
ACH-000869,-0.006133578676470956
ACH-000872,-0.021152850798411837
ACH-000873,0.08823906117237901
ACH-000876,-0.029454091777802262
ACH-000878,0.057613954694704414
ACH-000880,-0.11258216638705923
ACH-000881,0.013394348646838816
ACH-000882,0.0682611286711675
ACH-000884,0.003423681350130933
ACH-000885,-0.055086235397188175
ACH-000887,0.05966632530849046
ACH-000889,-0.0887644522889839
ACH-000896,0.005192753089866792
ACH-000898,-0.02462203740332769
ACH-000900,-0.012334173880687546
ACH-000901,-0.009705840348226512
ACH-000905,-0.0639137155537183
ACH-000906,-0.03340482457986737
ACH-000907,-0.02193663268763575
ACH-000910,0.014185787062461574
ACH-000911,0.05157133537029723
ACH-000912,0.03131429251378777
ACH-000913,0.027438425322599068
ACH-000915,-0.011148137981496149
ACH-000916,-0.16553680799486187
ACH-000917,-0.005442975097036358
ACH-000920,-0.05547081273690184
ACH-000921,-0.048372305786038836
ACH-000924,-0.07410816490918556
ACH-000926,-0.1808721920607132
ACH-000928,-0.4932976887147223
ACH-000929,0.01758048187245059
ACH-000932,-0.1444861518084616
ACH-000935,-0.06530600338392561
ACH-000936,0.0011287161673028527
ACH-000937,-0.015722252145038768
ACH-000938,-0.09198069692150757
ACH-000939,-0.098070047494326
ACH-000941,-0.05445321858215295
ACH-000943,-0.16523751356795502
ACH-000946,-0.07816375383608498
ACH-000947,-0.05920108624444353
ACH-000948,-0.1277151943114215
ACH-000950,0.22052126635109334
ACH-000953,-0.16215340748657994
ACH-000954,0.2299026566756784
ACH-000957,-0.07522729472574824
ACH-000958,0.01996849478769183
ACH-000960,0.02659066118154272
ACH-000963,0.1283452270041219
ACH-000968,0.0003576287949364203
ACH-000969,0.04564458416752872
ACH-000972,-0.1668092151859969
ACH-000973,-0.02065977036258112
ACH-000974,-0.0018303018531239078
ACH-000978,-0.03055649564957015
ACH-000984,-0.12193061927314715
ACH-000986,0.08369045775240884
ACH-000988,-0.053168937484320215
ACH-000993,0.04689850901770234
ACH-000994,-0.07049415843260043
ACH-000996,0.0957794721331652
ACH-001001,-0.09941956465961384
ACH-001020,-0.11239587657291863
ACH-001028,-0.1046583627053353
ACH-001031,-0.009156115446293585
ACH-001038,0.020034096679539624
ACH-001048,-0.10453615896990033
ACH-001050,-0.08338345367241716
ACH-001053,0.05237548547692465
ACH-001054,-0.10121261259795283
ACH-001061,0.008175942034876376
ACH-001067,-0.2358902326933407
ACH-001075,-0.1047270216594042
ACH-001096,-0.07761459355497997
ACH-001111,0.09120071379545362
ACH-001119,0.012558355279980194
ACH-001128,-0.08578314522028907
ACH-001134,-0.01930162815744371
ACH-001151,-0.08875444772517065
ACH-001163,0.044081939695291054
ACH-001164,-0.2620690011770985
ACH-001183,-0.16905519934580032
ACH-001192,-0.031627113057840286
ACH-001193,-0.08277499324995582
ACH-001196,-0.07201418341742807
ACH-001197,-0.1465376065036589
ACH-001205,-0.12488462966118327
ACH-001211,-0.28687136678457953
ACH-001212,-0.27986684064537243
ACH-001228,-0.21577435328697406
ACH-001232,0.059747192579008734
ACH-001239,0.11214104492485223
ACH-001270,0.13105339338498287
ACH-001274,-0.08658021492919057
ACH-001275,-0.032514451854598656
ACH-001277,-0.16846378778777268
ACH-001278,-0.23554842435917114
ACH-001280,-0.36543917650188384
ACH-001283,-0.0025777278197746
ACH-001289,-0.14534046771762246
ACH-001300,-0.18966348864638616
ACH-001301,-0.13824827685423513
ACH-001302,0.18185398145557005
ACH-001306,-0.04432982288013092
ACH-001318,0.04433787413969406
ACH-001322,0.1145100316240705
ACH-001328,-0.08812699675024041
ACH-001332,-0.13481411691648268
ACH-001336,-0.078527322649276
ACH-001346,0.08273871642892403
ACH-001353,-0.04383718501614439
ACH-001354,-0.13094852311883154
ACH-001367,0.2048614654794181
ACH-001368,-0.0336284832612228
ACH-001374,-0.03289846639057588
ACH-001377,-0.011248093242956171
ACH-001380,-0.02681938127245055
ACH-001391,-0.07267445246997217
ACH-001408,0.03497581562419095
ACH-001430,0.00830717413097669
ACH-001431,-0.13427988818863712
ACH-001450,-0.20419219282878745
ACH-001496,-0.046869748976482405
ACH-001500,0.015237594354195954
ACH-001523,0.04212421474031521
ACH-001532,-0.11491210491770733
ACH-001550,0.04329745617569053
ACH-001552,-0.033584779327422445
ACH-001554,-0.015816402301430756
ACH-001654,-0.06313810076976784
ACH-001735,-0.15210274163751394
ACH-001736,-0.0674204394780701
ACH-001737,0.4157025527713568
ACH-001740,-0.07124627350309322
ACH-001745,-0.05128823498991359
ACH-001765,-0.018939006163138004
