,IPO9 (55705)
ACH-000658,-0.873641453885134
ACH-000661,-0.8338900619570008
ACH-000662,-0.803450577874918
ACH-000663,-1.0109741402232502
ACH-000665,-0.6269855556371221
ACH-000671,-0.21814014162266265
ACH-000672,-1.230138087180969
ACH-000673,-0.6686082812612573
ACH-000676,-0.7149622361451574
ACH-000677,-0.6117734693621081
ACH-000681,-0.975895697085798
ACH-000683,-0.5519681896086989
ACH-000684,-0.9843696021552673
ACH-000688,-0.7592148474175526
ACH-000693,-0.7433652042948045
ACH-000694,-0.998354145518558
ACH-000695,-0.5732642664125418
ACH-000696,-0.7093477464066724
ACH-000697,-0.8338338034968031
ACH-000699,-1.0233242918587406
ACH-000701,-0.8239875589990798
ACH-000706,-0.7654280939851993
ACH-000711,-0.8899847149816427
ACH-000713,-1.2267552173970684
ACH-000714,-0.6447074094709448
ACH-000718,-0.4407434384529311
ACH-000720,-0.7661310869834039
ACH-000721,-1.1362521347408625
ACH-000724,-0.4223197940633817
ACH-000725,-0.7367730462364708
ACH-000732,-1.006559042351454
ACH-000734,-0.7177762075632629
ACH-000735,-0.6074841430401592
ACH-000736,-0.9560081261742874
ACH-000738,-1.0650408941735945
ACH-000746,-0.4954055118834324
ACH-000747,-0.661927205933773
ACH-000748,-0.8685132072438961
ACH-000753,-0.6765581128381266
ACH-000756,-0.8106351958108405
ACH-000757,-0.6481865815656338
ACH-000758,-0.5380050574931391
ACH-000760,-0.4363120762883929
ACH-000762,-0.9437623629870628
ACH-000763,-0.7446395633010539
ACH-000764,-0.7592227487058993
ACH-000765,-0.955324738666688
ACH-000766,-0.9570829479328444
ACH-000767,-0.9866489245449024
ACH-000768,-0.9851143071880522
ACH-000769,-0.9145465408953566
ACH-000770,-0.9554942101107904
ACH-000771,-1.080007152057679
ACH-000773,-0.7559709489444963
ACH-000776,-0.7953701022861721
ACH-000777,-0.8740725536439871
ACH-000778,-0.6804470399742917
ACH-000781,-0.9770423002539992
ACH-000782,-0.6863615932281361
ACH-000783,-0.8197330222771145
ACH-000784,-0.5587290544013971
ACH-000785,-0.9240275223071904
ACH-000787,-0.8505060972763177
ACH-000788,-0.7486492926005446
ACH-000791,-0.7720105183294044
ACH-000792,-1.103760271535584
ACH-000794,-0.917533314914455
ACH-000796,-0.5627665893610585
ACH-000798,-0.8663572554401258
ACH-000799,-0.5585432063852519
ACH-000800,-0.7308206729579817
ACH-000802,-1.0159638525203871
ACH-000804,-0.6728964111144636
ACH-000805,-0.9715217743932332
ACH-000809,-0.6777188404157397
ACH-000810,-0.9349244069345864
ACH-000811,-0.4946181031525382
ACH-000817,-0.9449297075515504
ACH-000819,-0.9526264406069482
ACH-000820,-0.5104803945765481
ACH-000821,-0.9981914614883844
ACH-000822,-0.593698970607053
ACH-000823,-0.6601101561198545
ACH-000824,-0.5435263580942024
ACH-000827,-0.8552714818412378
ACH-000829,-0.8044928704182426
ACH-000831,-0.8108886140230489
ACH-000832,-0.7427186104931245
ACH-000833,-0.7070838777054799
ACH-000834,-1.0041369627203631
ACH-000835,-1.002627901335189
ACH-000836,-0.5133971886095327
ACH-000837,-0.454156245545824
ACH-000838,-1.2653441324176131
ACH-000839,-0.8068971297983356
ACH-000840,-0.8121407530244079
ACH-000841,-0.945476803863607
ACH-000843,-0.8363206931139017
ACH-000846,-0.6692902981017921
ACH-000847,-0.8357812311877004
ACH-000848,-0.7349206611254655
ACH-000849,-0.48345404861584795
ACH-000851,-0.7343075769470414
ACH-000855,-0.9850713993900004
ACH-000856,-0.8102783848683212
ACH-000858,-0.6847380462220146
ACH-000859,-0.8476363569891829
ACH-000861,-0.7510173319463626
ACH-000862,-0.7274596023442318
ACH-000865,-0.9998671328316904
ACH-000866,-0.5608349839268383
ACH-000867,-0.6290833650950346
ACH-000869,-0.5795548195147423
ACH-000872,-0.8934721500751007
ACH-000873,-0.6458614158172822
ACH-000876,-0.6582911432151072
ACH-000878,-0.8007194736428009
ACH-000880,-0.583680879720403
ACH-000881,-0.8967607755996595
ACH-000882,-0.8515169638461888
ACH-000884,-0.8321726107544857
ACH-000885,-0.7772127879772442
ACH-000887,-0.518407906368495
ACH-000889,-0.9413477354926024
ACH-000896,-0.908477246802948
ACH-000898,-0.4766249271533435
ACH-000900,-0.7530846333267117
ACH-000901,-0.5664772519438579
ACH-000905,-0.5807003454331235
ACH-000906,-0.9034187066290078
ACH-000907,-0.8294635552602528
ACH-000910,-0.7899027036740632
ACH-000911,-0.4253224396385342
ACH-000912,-1.0285882948595344
ACH-000913,-1.0888236410059515
ACH-000915,-0.9146104791727518
ACH-000916,-0.7121203166802456
ACH-000917,-0.8167530899715439
ACH-000920,-0.9243179210938668
ACH-000921,-0.7823066638197049
ACH-000924,-0.5394924329251654
ACH-000926,-0.42813234984053405
ACH-000928,-1.0437967186735095
ACH-000929,-0.9394302937024046
ACH-000932,-0.8301328047266482
ACH-000935,-1.125977782806966
ACH-000936,-0.5565011136949237
ACH-000937,-0.4038228607355456
ACH-000938,-0.7490988269074168
ACH-000939,-0.5463425590215676
ACH-000941,-0.5227123027740411
ACH-000943,-1.0587840923739311
ACH-000946,-0.4564781857062988
ACH-000947,-0.8700460368656224
ACH-000948,-0.7858887654674512
ACH-000950,-0.9183907842956684
ACH-000953,-0.4843416754800471
ACH-000954,-0.62648633620835
ACH-000957,-0.5489274334140429
ACH-000958,-0.5419825027558549
ACH-000960,-0.6783856959794606
ACH-000963,-0.581770145714896
ACH-000968,-1.2950874475863063
ACH-000969,-0.5647498374858991
ACH-000972,-0.7988392017740683
ACH-000973,-0.5649416921322329
ACH-000974,-0.7566377462394591
ACH-000978,-0.6313549980279549
ACH-000984,-0.618338387420551
ACH-000986,-0.7406633022415562
ACH-000988,-0.6472402939472938
ACH-000993,-0.7778631947746428
ACH-000994,-0.7612455323845773
ACH-000996,-0.4792593214310172
ACH-001001,-0.4920762415065965
ACH-001020,-0.4684628380285109
ACH-001028,-0.6434845904651033
ACH-001031,-0.7038992752465815
ACH-001038,-0.4983363992993316
ACH-001048,-0.5297000022521905
ACH-001050,-0.6144889292947455
ACH-001053,-1.0150383470509992
ACH-001054,-0.6812264822519631
ACH-001061,-0.5765912902364227
ACH-001067,-0.9159181079229672
ACH-001075,-0.8496031792836476
ACH-001096,-0.9880505520179376
ACH-001111,-0.6571044230736903
ACH-001119,-0.759050102798395
ACH-001128,0.04048493189850416
ACH-001134,-0.7517783182860921
ACH-001151,-0.7722257205847963
ACH-001163,-0.44648595620417453
ACH-001164,-0.7559212620820017
ACH-001183,-1.0819998039653147
ACH-001192,-0.3913748041148669
ACH-001193,-0.6925035225099202
ACH-001196,-0.6914317390821956
ACH-001197,-0.5268224267231486
ACH-001205,-0.7281531904935381
ACH-001211,-0.5359717803388637
ACH-001212,-0.7776869521619204
ACH-001228,-0.5439471252338461
ACH-001232,-0.8260890321274157
ACH-001239,-0.9620800103095312
ACH-001270,-0.7092308458544959
ACH-001274,-0.7341375157126767
ACH-001275,-0.69329282943153
ACH-001277,-0.6317310775493424
ACH-001278,-0.9923306085718644
ACH-001280,-0.6327044553859624
ACH-001283,-0.9726780668506532
ACH-001289,-0.8016530241344794
ACH-001300,-0.7310820804247676
ACH-001301,-0.4807409748481749
ACH-001302,-0.500714695753589
ACH-001306,-0.6281800484044929
ACH-001318,-0.6118653541737179
ACH-001322,-0.829629846145491
ACH-001328,-0.4453521112099684
ACH-001332,-1.0899894364569749
ACH-001336,-0.8091698249922433
ACH-001346,-1.0238010416291716
ACH-001353,-0.9830175856680606
ACH-001354,-0.5406211365196111
ACH-001367,-0.37010584326814
ACH-001368,-0.7677852213300458
ACH-001374,-0.949505486658474
ACH-001377,-0.9927271569840216
ACH-001380,-0.8847139682589025
ACH-001391,-0.9682367282387221
ACH-001408,-1.109995250110163
ACH-001430,-0.7810238401266064
ACH-001431,-0.7337741467653642
ACH-001450,-0.4024708917721317
ACH-001496,-0.5090870123908012
ACH-001500,-0.7514668726241317
ACH-001523,-0.7631520804745521
ACH-001532,-0.8571606692567106
ACH-001550,-0.5848946863447068
ACH-001552,-0.7948436948392604
ACH-001554,-0.9836004015744296
ACH-001654,-0.9491889685210219
ACH-001735,-0.7637861934405609
ACH-001736,-1.0808070206719342
ACH-001737,-0.4018193330734097
ACH-001740,-1.0450201288435892
ACH-001745,-1.0099664128672945
ACH-001765,-0.791545985756253
