,SYT12 (91683)
ACH-000630,-0.415670793967
ACH-000632,-0.43372706219499996
ACH-000633,-0.334074315597
ACH-000637,-0.597783573701
ACH-000638,-0.388488288733
ACH-000646,-0.11457924579000002
ACH-000647,-0.46624907546899996
ACH-000648,-0.005382251918330001
ACH-000649,-0.119908124813
ACH-000651,-0.26203004768800003
ACH-000652,-0.277773813739
ACH-000653,-0.210676683577
ACH-000657,-0.188675856688
ACH-000658,-0.217742043479
ACH-000661,-0.315590279309
ACH-000662,0.273623249916
ACH-000663,-0.397518745313
ACH-000665,-0.471638220916
ACH-000671,-0.167382529152
ACH-000673,-0.211434664657
ACH-000676,-0.193063436405
ACH-000677,-0.33692289970899997
ACH-000681,-0.27110934224800004
ACH-000682,-0.178115319344
ACH-000683,-0.407196518901
ACH-000684,0.0281931300001
ACH-000688,0.0393967747325
ACH-000693,-0.466113134714
ACH-000694,-0.435117875382
ACH-000695,-0.46909824730099997
ACH-000696,-0.11147778694
ACH-000697,-0.20522918060400003
ACH-000699,-0.24218098980099997
ACH-000701,-0.20391373871399998
ACH-000706,-0.34635150710699997
ACH-000711,-0.12092508311799999
ACH-000713,-0.319844423258
ACH-000714,-0.504073145185
ACH-000718,-0.278432853178
ACH-000720,-0.212897339043
ACH-000721,-0.178275213548
ACH-000724,-0.11483614047599999
ACH-000725,-0.150831378765
ACH-000732,-0.33064375124400003
ACH-000734,-0.396984133882
ACH-000735,-0.270298874681
ACH-000736,-0.21026376076499997
ACH-000738,-0.291964622982
ACH-000746,-0.24104853313400001
ACH-000747,-0.354283585938
ACH-000748,-0.458143197875
ACH-000753,-0.275882076388
ACH-000756,-0.309588487568
ACH-000757,-0.410117944702
ACH-000758,-0.451203036734
ACH-000760,-0.231106667474
ACH-000763,-0.325106421346
ACH-000764,-0.233749361726
ACH-000765,-0.41143578226300004
ACH-000766,-0.12506151523
ACH-000767,-0.279879991474
ACH-000768,-0.184692546497
ACH-000769,-0.132528479582
ACH-000770,-0.168454304822
ACH-000771,-0.432026065898
ACH-000773,-0.208631048323
ACH-000776,-0.305875719304
ACH-000777,-0.337733877748
ACH-000778,-0.824556202779
ACH-000781,-0.31611527388
ACH-000782,-0.23829951795499998
ACH-000783,-0.460545972654
ACH-000784,-0.27743702809
ACH-000785,-0.247307147443
ACH-000787,-0.214537383953
ACH-000788,-0.223235901821
ACH-000791,-0.294896040663
ACH-000792,-0.256704016641
ACH-000794,-0.359126845937
ACH-000796,-0.178295130728
ACH-000799,-0.0684011774144
ACH-000800,0.0255892655626
ACH-000802,-0.470876996682
ACH-000804,-0.320163921016
ACH-000805,-0.149451703238
ACH-000809,-0.106331514515
ACH-000810,-0.601423951435
ACH-000811,-0.197742811825
ACH-000817,-0.12361862842700001
ACH-000819,-0.345053843809
ACH-000820,-0.17724676970199998
ACH-000821,-0.28722231148899996
ACH-000822,-0.396218058429
ACH-000823,-0.209438750224
ACH-000824,-0.234041010746
ACH-000827,-0.27141517636100004
ACH-000829,-0.17332186017700002
ACH-000831,-0.304518986183
ACH-000832,-0.547397794508
ACH-000833,-0.075544682999
ACH-000834,-0.364228373305
ACH-000835,-0.290278196622
ACH-000836,-0.334480639445
ACH-000837,-0.297119204397
ACH-000838,-0.309958156399
ACH-000839,-0.656977867636
ACH-000840,-0.7185397268089999
ACH-000841,-0.391641239915
ACH-000843,-0.46984186070100004
ACH-000846,-0.222890267637
ACH-000847,-0.386625056889
ACH-000848,-0.484206023337
ACH-000849,-0.179525465489
ACH-000851,-0.212458075377
ACH-000855,0.0568465806284
ACH-000856,-0.12286794864499999
ACH-000858,-0.235004913817
ACH-000859,-0.276691431191
ACH-000861,-0.290408376441
ACH-000862,-0.005459524990729999
ACH-000865,-0.45344623475100004
ACH-000866,-0.267590231138
ACH-000867,-0.26595459817
ACH-000869,-0.0781101580887
ACH-000872,-0.7190959589779999
ACH-000873,-0.27959546852899997
ACH-000876,-0.43721904744199996
ACH-000878,-0.0992277569345
ACH-000880,-0.322195026863
ACH-000881,-0.248336619793
ACH-000882,-0.142374896198
ACH-000884,-0.287487873994
ACH-000885,-0.13129917054600002
ACH-000887,-0.279050265872
ACH-000888,-0.24339573092300001
ACH-000889,-0.38168937528499997
ACH-000890,-0.419009682637
ACH-000896,-0.356982273806
ACH-000898,-0.199316227145
ACH-000900,-0.25021943173
ACH-000901,-0.355073221589
ACH-000905,-0.27067945613899996
ACH-000906,-0.47381630299599997
ACH-000907,0.173231781841
ACH-000910,-0.344421818523
ACH-000911,-0.352585353223
ACH-000912,-0.29386944938000004
ACH-000913,-0.264499629078
ACH-000915,-0.133521352469
ACH-000916,-0.396165203615
ACH-000917,-0.586730134046
ACH-000921,-0.437854468747
ACH-000924,0.0057384425264600004
ACH-000926,-0.246598158268
ACH-000928,-0.280925604989
ACH-000929,-0.49278007274999996
ACH-000932,-0.198796297786
ACH-000935,-0.463394228213
ACH-000936,-0.25018861401299997
ACH-000937,-0.276020028875
ACH-000938,-0.156202711403
ACH-000939,-0.37144157020199997
ACH-000941,-0.428318756887
ACH-000943,-0.279608945253
ACH-000946,-0.290041812887
ACH-000947,-0.15322523330499999
ACH-000948,-0.257181738609
ACH-000950,-0.268055634964
ACH-000953,-0.34753318721999993
ACH-000957,-0.36751068526299996
ACH-000958,-0.0744168633991
ACH-000960,-0.120129456419
ACH-000963,-0.476046460548
ACH-000968,-0.37503030310900004
ACH-000969,-0.324744216757
ACH-000973,-0.38526293806100004
ACH-000974,-0.225884210702
ACH-000975,0.025540186995000002
ACH-000976,-0.0800462080851
ACH-000978,0.007275118355729999
ACH-000980,-0.36500402005000004
ACH-000984,-0.340489228833
ACH-000986,-0.244679274824
ACH-000988,-0.326661050041
ACH-000993,-0.149220547827
ACH-000994,-0.140077210718
ACH-000996,-0.190130260145
ACH-001001,-0.25136918168600003
ACH-001020,-0.288808839525
ACH-001028,-0.231678089969
ACH-001031,-0.269360950073
ACH-001038,-0.261992342797
ACH-001048,-0.275852602191
ACH-001050,-0.007771141186520001
ACH-001053,-0.18425860727200002
ACH-001054,-0.2700079919
ACH-001061,-0.146272091284
ACH-001067,-0.0380700336174
ACH-001075,-0.35651973523900005
ACH-001096,-0.163034242609
ACH-001128,-0.424642059297
ACH-001134,-0.134097124616
ACH-001151,-0.305941763277
ACH-001163,-0.232667311845
ACH-001164,-0.00781670590873
ACH-001173,-0.215452468255
ACH-001183,-0.245080245634
ACH-001184,-0.0619742392364
ACH-001190,-0.243054613633
ACH-001192,-0.179656753003
ACH-001193,-0.664143371073
ACH-001196,-0.0599571960788
ACH-001197,-0.291317600318
ACH-001205,-0.230494399775
ACH-001211,-0.210427995191
ACH-001212,-0.0916964349478
ACH-001228,-0.161879658236
ACH-001232,-0.19550654542800003
ACH-001239,-0.0615221360654
ACH-001274,0.04343033614
ACH-001275,-0.168884259646
ACH-001277,-0.0701458683754
ACH-001278,-0.16996205665199998
ACH-001280,-0.0829004740928
ACH-001283,-0.472038752095
ACH-001289,-0.106324023039
ACH-001295,-0.198996686424
ACH-001300,-0.245799854298
ACH-001301,-0.542832532246
ACH-001302,-0.14028561073100002
ACH-001303,-0.0631878664942
ACH-001306,-0.33737053656599997
ACH-001318,-0.16085451004
ACH-001322,-0.38117774863000004
ACH-001328,-0.375430416651
ACH-001332,-0.571069132053
ACH-001333,-0.305478597053
ACH-001336,-0.23967035886100002
ACH-001340,-0.283916748268
ACH-001346,-0.26832660616
ACH-001353,-0.162706730225
ACH-001354,-0.306753393439
ACH-001367,-0.487899092368
ACH-001368,-0.23809828341400002
ACH-001374,-0.20454798412300002
ACH-001375,-0.220691729132
ACH-001377,-0.167786708831
ACH-001380,-0.158676276911
ACH-001391,-0.110776130023
ACH-001407,-0.251644617098
ACH-001408,-0.418502532358
ACH-001413,-0.272135256611
ACH-001430,-0.345145201171
ACH-001431,-0.359749274961
ACH-001450,-0.505879750229
ACH-001496,-0.09417477752110001
ACH-001500,-0.269549372004
ACH-001521,-0.125021341688
ACH-001523,-0.09474525173730002
ACH-001532,-0.28300455727400003
ACH-001536,-0.223832287572
ACH-001550,-0.371083139124
ACH-001552,-0.138118794224
ACH-001554,-0.33639682568400003
ACH-001645,-0.251257041265
ACH-001654,-0.471118101235
ACH-001715,-0.166995575368
ACH-001735,-0.363261622934
ACH-001736,-0.27656741363000004
ACH-001737,-0.00635970125162
ACH-001740,-0.190102596645
ACH-001745,-0.294052357101
ACH-001750,-0.117224500964
ACH-001765,-0.137593178428
ACH-001956,-0.159507330411
ACH-001957,-0.28689815596900003
