,CIRH1A (84916)
ACH-000416,-1.7787762975599999
ACH-000420,-1.44241448488
ACH-000421,-1.63110087027
ACH-000424,-2.2470109041599997
ACH-000425,-1.8183040385599998
ACH-000426,-1.6674451176700003
ACH-000427,-1.4063771343
ACH-000433,-1.8529541488999999
ACH-000436,-1.8089719045599997
ACH-000444,-1.72866157732
ACH-000445,-1.6343440717500002
ACH-000448,-1.78644408711
ACH-000450,-1.94641347955
ACH-000452,-1.8720073726400004
ACH-000454,-1.98581970733
ACH-000458,-1.73913790292
ACH-000459,-1.9319129965700002
ACH-000460,-1.75507269449
ACH-000461,-1.7158917908000002
ACH-000463,-1.7377135796
ACH-000464,-1.9224479742299998
ACH-000466,-1.9912398976599996
ACH-000467,-1.9170426333300001
ACH-000468,-1.8139678375200001
ACH-000469,-1.82121342075
ACH-000470,-1.5312907763699999
ACH-000471,-1.9040433210299998
ACH-000472,-2.20898254058
ACH-000473,-1.86364082004
ACH-000475,-1.9247308827200003
ACH-000476,-1.8856863936200001
ACH-000477,-2.0532249805
ACH-000480,-1.69364539899
ACH-000481,-1.85655292124
ACH-000483,-1.6460353713
ACH-000484,-1.50853230773
ACH-000485,-2.10251646495
ACH-000486,-1.56016302063
ACH-000487,-2.02372807924
ACH-000488,-1.7362256306900001
ACH-000490,-1.8072342886700001
ACH-000491,-1.6540237611300002
ACH-000495,-1.51732907988
ACH-000496,-2.09549378011
ACH-000499,-2.13667940043
ACH-000500,-1.795935205
ACH-000502,-1.79579889095
ACH-000503,-1.47540065196
ACH-000505,-1.9544955957599996
ACH-000507,-1.94494904335
ACH-000510,-2.1623535089900003
ACH-000511,-1.9619480382099999
ACH-000512,-1.97626324723
ACH-000516,-1.83600998216
ACH-000517,-1.6829975337399998
ACH-000518,-1.8200246552500001
ACH-000520,-1.73903434627
ACH-000521,-1.77237967958
ACH-000522,-2.0847564129799996
ACH-000524,-1.85850026751
ACH-000527,-1.85870563648
ACH-000528,-1.65894115778
ACH-000537,-2.19110057665
ACH-000541,-1.85632622463
ACH-000542,-2.0181900941900004
ACH-000544,-1.67814364662
ACH-000545,-1.5850187097400001
ACH-000547,-1.41710266303
ACH-000548,-1.7189771530400002
ACH-000549,-1.6932544882
ACH-000550,-1.94740615018
ACH-000552,-1.69848671646
ACH-000556,-1.68571623439
ACH-000557,-2.21804671083
ACH-000570,-2.00832219767
ACH-000571,-2.16459138341
ACH-000573,-2.06173415648
ACH-000576,-1.9058685653099998
ACH-000580,-2.29567830117
ACH-000584,-1.93177283742
ACH-000585,-1.8135126691799999
ACH-000588,-1.8713345721599999
ACH-000589,-1.57994121007
ACH-000591,-1.92564493089
ACH-000593,-1.8840278742200003
ACH-000600,-1.80700703212
ACH-000601,-1.7615744446900001
ACH-000604,-1.60358428641
ACH-000605,-2.0434895803
ACH-000606,-1.66636407682
ACH-000608,-1.8315951930400003
ACH-000614,-2.2672309733200002
ACH-000616,-1.8528185381400002
ACH-000618,-1.69555129474
ACH-000619,-1.71661023852
ACH-000620,-1.9698071662
ACH-000621,-1.97994908657
ACH-000622,-1.90216220819
ACH-000623,-1.94376494491
ACH-000624,-1.7269780136500001
ACH-000627,-1.6623602484600002
ACH-000630,-1.8310168708599999
ACH-000632,-2.25493978947
ACH-000633,-1.81989411199
ACH-000637,-2.00095356629
ACH-000638,-1.7445484504
ACH-000646,-1.44260475113
ACH-000647,-1.90213091003
ACH-000648,-2.0913236208200003
ACH-000649,-1.97885326097
ACH-000651,-1.5832687826499998
ACH-000652,-1.8525174460799998
ACH-000653,-1.69281302523
ACH-000657,-1.80871644765
ACH-000658,-1.82992462199
ACH-000661,-2.2476616845599997
ACH-000662,-1.4716000572
ACH-000663,-1.8907118502900002
ACH-000665,-1.67603245359
ACH-000671,-2.23557499134
ACH-000673,-1.61923510419
ACH-000676,-1.8320529702000001
ACH-000677,-1.77733049197
ACH-000681,-2.1149881954599996
ACH-000682,-1.9246535974
ACH-000683,-1.89597096522
ACH-000684,-1.94223704028
ACH-000688,-1.4954613669499999
ACH-000693,-1.7718191359
ACH-000694,-1.78590613883
ACH-000695,-1.9543420253900001
ACH-000696,-1.7096273624899998
ACH-000697,-1.7569095783200002
ACH-000699,-1.6082897286500002
ACH-000701,-1.82028776344
ACH-000706,-1.9842471020599997
ACH-000711,-1.7753159704599997
ACH-000713,-2.00078944385
ACH-000714,-1.87053046061
ACH-000718,-1.84954925143
ACH-000720,-1.7336001005900001
ACH-000721,-1.80498753345
ACH-000724,-1.9384824722299998
ACH-000725,-1.4414478512399997
ACH-000732,-1.69791747347
ACH-000734,-1.8601060649599999
ACH-000735,-1.8276089116599998
ACH-000736,-1.62856752695
ACH-000738,-1.94059548181
ACH-000746,-1.8790017854700003
ACH-000747,-1.8550280960299999
ACH-000748,-1.7855361038
ACH-000753,-1.9833185174799999
ACH-000756,-1.9257313915099998
ACH-000757,-2.05122791949
ACH-000758,-1.72403214165
ACH-000760,-1.85475468176
ACH-000763,-1.7806233571799999
ACH-000764,-1.9723167797799999
ACH-000765,-2.1471572830700003
ACH-000766,-2.00186319493
ACH-000767,-1.9389362900099998
ACH-000768,-1.92433906379
ACH-000769,-1.82304200075
ACH-000770,-1.76310117823
ACH-000771,-1.71208277634
ACH-000773,-1.75430978792
ACH-000776,-1.7912266048400003
ACH-000777,-2.2172017473700003
ACH-000778,-1.6233787529600001
ACH-000781,-1.90196287366
ACH-000782,-1.8741489773500002
ACH-000783,-1.71170509101
ACH-000784,-2.1906440617299996
ACH-000785,-1.8479943329599997
ACH-000787,-1.7957791682099997
ACH-000788,-1.8455192404900003
ACH-000791,-1.8581749793
ACH-000792,-1.98811170402
ACH-000794,-1.80105764732
ACH-000796,-1.6435402387
ACH-000799,-1.51715383913
ACH-000800,-2.0306271998099996
ACH-000802,-1.65307924387
ACH-000804,-1.9518925382099999
ACH-000805,-1.75016205939
ACH-000809,-1.9892181992500002
ACH-000810,-1.9715691368400001
ACH-000811,-1.8849645912900002
ACH-000817,-1.79875658542
ACH-000819,-1.4623453127500001
ACH-000820,-2.19175337184
ACH-000821,-1.9501062278599999
ACH-000822,-1.3682211322799998
ACH-000823,-1.7876025446400001
ACH-000824,-2.14615031636
ACH-000827,-1.6064753084299999
ACH-000829,-1.53936671526
ACH-000831,-1.7145150645200002
ACH-000832,-1.5788808979100002
ACH-000833,-1.7338504599400002
ACH-000834,-1.6778217711399999
ACH-000835,-1.66554407341
ACH-000836,-1.94049259176
ACH-000837,-1.70199777733
ACH-000838,-2.21992946133
ACH-000839,-1.56350555572
ACH-000840,-1.87188887615
ACH-000841,-1.97549587433
ACH-000843,-1.8238959045400003
ACH-000846,-1.7521831458900001
ACH-000847,-1.93802215322
ACH-000848,-1.81123562026
ACH-000849,-1.9189934776700002
ACH-000851,-1.6235429963799999
ACH-000855,-1.8854840507599997
ACH-000856,-1.76851491569
ACH-000858,-1.60041563442
ACH-000859,-1.62591989095
ACH-000861,-1.65636684023
ACH-000862,-1.79065253777
ACH-000865,-1.8882332384
ACH-000866,-1.9608537999400002
ACH-000867,-1.9125416335599998
ACH-000869,-1.3685035870299997
ACH-000872,-1.8369788676099998
ACH-000873,-1.66451478229
ACH-000876,-1.730077805
ACH-000878,-1.99600691221
ACH-000880,-2.1537655024599998
ACH-000881,-1.9884249066900004
ACH-000882,-1.8493060532700003
ACH-000884,-1.87135008126
ACH-000885,-1.8063086715599999
ACH-000887,-1.84028042724
ACH-000888,-1.8429009051499998
ACH-000889,-1.9815249707700002
ACH-000890,-2.19239095122
ACH-000896,-1.8812395989500001
ACH-000898,-1.7152766763
ACH-000900,-1.82714917449
ACH-000901,-1.9631558844299999
ACH-000905,-2.0041693473599995
ACH-000906,-1.84360234667
ACH-000907,-1.6982118803900002
ACH-000910,-2.25771795573
ACH-000911,-1.6937833897499999
ACH-000912,-1.7641333785
ACH-000913,-1.8474987458099996
ACH-000915,-1.91984455185
ACH-000916,-2.02441210745
ACH-000917,-1.6877761014300001
ACH-000921,-1.8115794452400003
ACH-000924,-1.74537122403
ACH-000926,-1.6569299376100002
ACH-000928,-1.88226630758
ACH-000929,-1.91501555229
ACH-000932,-1.88309382968
ACH-000935,-1.5964012836
ACH-000936,-1.93990254782
ACH-000937,-1.8758351051700002
ACH-000938,-1.84005152075
ACH-000939,-1.9887604470700002
ACH-000941,-1.8079128480700002
ACH-000943,-1.7932732442200001
ACH-000946,-1.7113125480899998
ACH-000947,-1.73038529527
ACH-000948,-1.5748158835400001
ACH-000950,-1.7309192113799998
ACH-000953,-2.09799751676
ACH-000957,-1.8065762517500001
ACH-000958,-1.78869874815
ACH-000960,-1.81941850646
ACH-000963,-2.1874952477200003
ACH-000968,-1.9407634392099997
ACH-000969,-1.7835050280700002
ACH-000973,-1.9238659161400002
ACH-000974,-1.84167657315
ACH-000975,-2.0470160304099996
ACH-000976,-1.9052451813799998
ACH-000978,-2.22345383537
ACH-000980,-1.86885466021
ACH-000984,-1.8786551093700001
ACH-000986,-1.61574647931
ACH-000988,-2.2318989921
ACH-000993,-1.65185495974
ACH-000994,-2.00521756618
ACH-000996,-1.2268980085899999
ACH-001001,-1.8402419257799998
ACH-001020,-2.04635139662
ACH-001028,-2.05985663225
ACH-001031,-1.8456362201499998
ACH-001038,-2.11420463943
ACH-001048,-1.85836333447
ACH-001050,-1.88767069983
ACH-001053,-1.91171850116
ACH-001054,-1.8120816225799998
ACH-001061,-1.7586952404499998
ACH-001067,-1.78896170445
ACH-001075,-1.9025766541999998
ACH-001096,-1.7672285632299998
ACH-001128,-1.7230114836200001
ACH-001134,-1.70859234268
ACH-001151,-1.74378512725
ACH-001163,-1.77541823235
ACH-001164,-1.9791785189500002
ACH-001173,-1.7384879841999998
ACH-001183,-1.8210095357599998
ACH-001184,-2.1279092865
ACH-001190,-1.52129028598
ACH-001192,-2.072674278
ACH-001193,-2.0596112616999998
ACH-001196,-1.8638949040900001
ACH-001197,-1.86521142839
ACH-001205,-1.8341275554400003
ACH-001211,-1.78468443755
ACH-001212,-1.48657998916
ACH-001228,-1.48187498678
ACH-001232,-1.9071081023299998
ACH-001239,-2.10469279375
ACH-001274,-2.02542965938
ACH-001275,-1.58511029137
ACH-001277,-2.01859541248
ACH-001278,-1.9660838619299998
ACH-001280,-2.20917086473
ACH-001283,-1.89913756461
ACH-001289,-1.90113921684
ACH-001295,-1.8592226058
ACH-001300,-1.9762182685299998
ACH-001301,-1.53532715996
ACH-001302,-1.76934869257
ACH-001303,-1.6282887824
ACH-001306,-1.63261293272
ACH-001318,-2.04769683142
ACH-001322,-1.5892486755200002
ACH-001328,-1.73368840056
ACH-001332,-1.55114202817
ACH-001333,-1.93553861055
ACH-001336,-1.75856870095
ACH-001340,-1.6280313063799998
ACH-001346,-1.78865146598
ACH-001353,-1.91096283363
ACH-001354,-2.24897507314
ACH-001367,-1.48763955833
ACH-001368,-1.7648253338099997
ACH-001374,-2.03518106152
ACH-001375,-1.6874978651199999
ACH-001377,-1.89767782835
ACH-001380,-1.71477973135
ACH-001391,-1.8381773805300001
ACH-001407,-2.03591301904
ACH-001408,-1.8236109364200002
ACH-001413,-1.50478296815
ACH-001430,-1.9487909117099997
ACH-001431,-1.8817718026599997
ACH-001450,-1.9342982169599998
ACH-001496,-1.8833156159
ACH-001500,-1.7722734887
ACH-001521,-1.7441158609
ACH-001523,-1.69123652306
ACH-001532,-1.81347992021
ACH-001536,-1.92340694648
ACH-001550,-2.20484440137
ACH-001552,-2.0219322005400002
ACH-001554,-1.93585156199
ACH-001645,-1.8866825448099998
ACH-001654,-1.95656093307
ACH-001715,-1.75807578034
ACH-001735,-1.905274431
ACH-001736,-1.94468389465
ACH-001737,-1.9183840045200002
ACH-001740,-1.99056165723
ACH-001745,-1.84143506721
ACH-001750,-1.80500152426
ACH-001765,-1.8171480402700002
ACH-001956,-1.70519354133
ACH-001957,-1.8060083479700002
