,SMYD5 (10322)
ACH-000638,-0.252968800396
ACH-000646,-0.027530921239
ACH-000647,0.0576685571583
ACH-000648,-0.539116008829
ACH-000649,-0.19477651408500002
ACH-000651,-0.0927332183681
ACH-000652,-0.046989128923699996
ACH-000653,-0.387405075346
ACH-000657,-0.159254101525
ACH-000658,-0.0145976490793
ACH-000661,-0.405309523696
ACH-000662,-0.417205015854
ACH-000663,-0.346517356348
ACH-000665,-0.40529496953199995
ACH-000671,-0.0645430897477
ACH-000673,-0.221557315427
ACH-000676,-0.175505949487
ACH-000677,-0.258306017316
ACH-000681,-0.025516776817200004
ACH-000682,-0.0901925087638
ACH-000683,-0.143888819555
ACH-000684,-0.31018864324400003
ACH-000688,0.12229672595
ACH-000693,-0.0631141721912
ACH-000694,-0.0658213291854
ACH-000695,-0.005593648863489999
ACH-000696,-0.192746147326
ACH-000697,0.251170536496
ACH-000699,-0.26758201835
ACH-000701,-0.0830501389395
ACH-000706,-0.155642306906
ACH-000711,-0.21227883004700002
ACH-000713,-0.40144507538199997
ACH-000714,-0.32107402418000003
ACH-000718,-0.105454027001
ACH-000720,-0.226838045344
ACH-000721,-0.22067095205200002
ACH-000724,0.044073072145300006
ACH-000725,-0.237394697635
ACH-000732,-0.571477016822
ACH-000734,-0.20576592027899998
ACH-000735,-0.301987613811
ACH-000736,-0.36885225518
ACH-000738,-0.29333223216800003
ACH-000746,-0.035274361615
ACH-000747,-0.209682092337
ACH-000748,0.0351768746372
ACH-000753,-0.10063369861600001
ACH-000756,0.0270222641426
ACH-000757,-0.18658502398899998
ACH-000758,-0.265214686093
ACH-000760,-0.18963160951299998
ACH-000763,0.0233493523797
ACH-000764,-0.380752521903
ACH-000765,0.174091372267
ACH-000766,-0.142267728029
ACH-000767,-0.204825866059
ACH-000768,-0.281242001442
ACH-000769,-0.0804910695032
ACH-000770,-0.0916252612531
ACH-000771,-0.118562599233
ACH-000773,-0.109895912038
ACH-000776,0.125295663865
ACH-000777,-0.12842837964
ACH-000778,-0.0198117754168
ACH-000781,-0.132815788619
ACH-000782,-0.215648310813
ACH-000783,-0.22995213461199998
ACH-000784,-0.0531992486869
ACH-000785,-0.145478481686
ACH-000787,-0.13154365143400001
ACH-000788,-0.15604950910999998
ACH-000791,-0.260544963349
ACH-000792,-0.1659961436
ACH-000794,-0.269333191275
ACH-000796,-0.21445763270399998
ACH-000799,-0.532899117919
ACH-000800,-0.241641145123
ACH-000802,-0.117213070987
ACH-000804,0.016285767314899998
ACH-000805,-0.28934786842300003
ACH-000809,-0.314394805008
ACH-000810,-0.239346021569
ACH-000811,-0.137740320701
ACH-000817,-0.38957716003700005
ACH-000819,-0.232481473205
ACH-000820,-0.141130066508
ACH-000821,0.00618448719242
ACH-000822,-0.269877987504
ACH-000823,-0.0344530700413
ACH-000824,-0.18272007491300002
ACH-000827,-0.15222498146
ACH-000829,-0.0046025731085800005
ACH-000831,-0.226226596289
ACH-000832,-0.135939693601
ACH-000833,-0.0112751573509
ACH-000834,-0.13588660445599998
ACH-000835,-0.331016501906
ACH-000836,0.110905402389
ACH-000837,-0.11973116582900001
ACH-000838,-0.333477185044
ACH-000839,-0.224411856774
ACH-000840,-0.19676524377000001
ACH-000841,-0.207724974487
ACH-000843,-0.23509871791499998
ACH-000846,-0.5380912702530001
ACH-000847,-0.21012268479600002
ACH-000848,0.051914986836900004
ACH-000849,-0.220808290254
ACH-000851,0.0449633055595
ACH-000855,-0.552179093396
ACH-000856,-0.40991744442199995
ACH-000858,-0.1992773329
ACH-000859,0.226054456708
ACH-000861,-0.127313803511
ACH-000862,-0.19780087648699998
ACH-000865,-0.214473217806
ACH-000866,-0.0811552582984
ACH-000867,-0.27786958552499996
ACH-000869,-0.0614996227644
ACH-000872,0.0312028232276
ACH-000873,-0.14187546661800002
ACH-000876,-0.130885018992
ACH-000878,-0.18244882001499999
ACH-000880,-0.0474385656372
ACH-000881,-0.166482945789
ACH-000882,-0.101628107608
ACH-000884,-0.10632734323899999
ACH-000885,-0.26307058268399997
ACH-000887,0.0338221514443
ACH-000888,-0.15970760910999998
ACH-000889,-0.164177957471
ACH-000890,-0.183668966355
ACH-000896,-0.00715650553016
ACH-000898,-0.287758799919
ACH-000900,-0.3391548117
ACH-000901,-0.15903849707599998
ACH-000905,-0.345635335946
ACH-000906,-0.08210304171350001
ACH-000907,-0.06130873193530001
ACH-000910,-0.10992786523499999
ACH-000911,-0.22671992205400002
ACH-000912,-0.285420365064
ACH-000913,-0.22980042246
ACH-000915,-0.152035064848
ACH-000916,-0.0822942245071
ACH-000917,-0.191456376675
ACH-000921,-0.24113219671500002
ACH-000924,0.058789190112
ACH-000926,-0.0979926653613
ACH-000928,-0.275485120588
ACH-000929,-0.0875613293373
ACH-000932,-0.120998477483
ACH-000935,-0.19328422491799999
ACH-000936,-0.0950485434698
