,SCNN1A (6337)
ACH-000804,-0.352545636388
ACH-000805,-0.21668644090999997
ACH-000809,0.0693276484272
ACH-000810,0.608904446885
ACH-000811,-0.08944653978599999
ACH-000817,0.0777868810096
ACH-000819,-0.0565417754923
ACH-000820,-0.0703008120035
ACH-000821,-0.129411768167
ACH-000822,-0.08825136798360002
ACH-000823,0.09329059293030001
ACH-000824,0.0964928108915
ACH-000827,0.04109863529169999
ACH-000829,0.046563461815400005
ACH-000831,-0.114241787294
ACH-000832,0.0485963932091
ACH-000833,0.0034523713414000004
ACH-000834,-0.09466891779210002
ACH-000835,-0.0736194746292
ACH-000836,0.00161574386118
ACH-000837,-0.0575324855002
ACH-000838,0.0125732777845
ACH-000839,0.05127404871709999
ACH-000840,0.0124830180231
ACH-000841,-0.168807637599
ACH-000843,-0.14616230613700001
ACH-000846,0.259171389203
ACH-000847,-0.101332492223
ACH-000848,-0.0495752810457
ACH-000849,-0.0147876523295
ACH-000851,0.00791511280271
ACH-000855,-0.0601186178807
ACH-000856,-0.05152896308780001
ACH-000858,-0.0420300477702
ACH-000859,-0.0618111288914
ACH-000861,-0.014426593592299999
ACH-000862,0.09392980957949999
ACH-000865,0.037713916889699994
ACH-000866,-0.048858148555300004
ACH-000867,0.04656058913240001
ACH-000869,-0.0759103485443
ACH-000872,0.160588541787
ACH-000873,-0.098455420577
ACH-000876,-0.10102470911900001
ACH-000878,-0.23476659212499998
ACH-000880,0.167665851779
ACH-000881,-0.0484648483478
ACH-000882,0.081300707393
ACH-000884,-0.0944660266284
ACH-000885,-0.126104566016
ACH-000887,0.142855213904
ACH-000888,-0.0019266238288800001
ACH-000889,-0.10979263612
ACH-000890,0.22390589796
ACH-000896,-0.0765541169296
ACH-000898,0.0172328166022
ACH-000900,-0.08257790116569999
ACH-000901,0.036251875724900004
ACH-000905,-0.015532802841700001
ACH-000906,-0.0690229564382
ACH-000907,-0.0551182920602
ACH-000910,-0.0626147734219
ACH-000911,0.0716988031458
ACH-000912,0.080003123801
ACH-000913,0.0229459678178
ACH-000915,-0.028322868845900004
ACH-000916,-0.19932174868900002
ACH-000917,0.0210428299701
ACH-000921,0.24642133710499997
ACH-000924,-0.06498568457569999
ACH-000926,0.207779217599
ACH-000928,0.08548587414719999
ACH-000929,0.101738518991
ACH-000932,0.0189168753157
ACH-000935,-0.111701945829
ACH-000936,-0.130560094307
ACH-000937,-0.0895441807858
ACH-000938,0.13393510397299999
ACH-000939,0.032346663688500005
ACH-000941,-0.072963426716
ACH-000943,0.0118152279391
ACH-000946,0.10666352976299999
ACH-000947,-0.102829269632
ACH-000948,0.12897007744300001
ACH-000950,0.08593282650319999
ACH-000953,-0.036083879838199995
ACH-000957,-0.0310721100906
ACH-000958,0.120785482969
ACH-000960,0.0793946041068
ACH-000963,0.043550811659
ACH-000968,0.0193339557512
ACH-000969,0.179052389731
ACH-000973,-0.0151142690453
ACH-000974,-0.0542959981603
ACH-000975,-0.0714532277579
ACH-000976,-0.092782386624
ACH-000978,-0.0855249603887
ACH-000980,-0.042611111817500005
ACH-000984,-0.046519059374099996
ACH-000986,-0.152300990827
ACH-000988,0.232582943001
ACH-000993,0.0608508944307
ACH-000994,0.216931794384
ACH-000996,-0.131422846297
ACH-001001,0.057249799419400005
ACH-001020,0.11126224456900001
ACH-001028,-0.048821844487
ACH-001031,-0.0462923094011
ACH-001038,-0.0696524893025
ACH-001048,-0.150432107312
ACH-001050,0.0848722134067
ACH-001053,0.005156914665270001
ACH-001054,0.0208141043127
ACH-001061,0.045489182549900004
ACH-001067,-0.07645341360939999
ACH-001075,0.161023907628
ACH-001096,-0.0326732699592
ACH-001128,0.204075039175
ACH-001134,0.059074443196800004
ACH-001151,-0.167294847028
ACH-001163,-0.209941908512
ACH-001164,-0.311961479135
ACH-001173,-0.0052769197897900005
ACH-001183,0.214709474255
ACH-001184,0.222341431108
ACH-001190,-0.08603739041439999
ACH-001192,-0.184797513932
ACH-001193,-0.053756829486999995
ACH-001196,-0.0795147030613
ACH-001197,-0.0423306289391
ACH-001205,-0.116155856611
ACH-001211,-0.17984241570300002
ACH-001212,-0.15811178398
ACH-001228,-0.164884699908
ACH-001232,-0.0915013522679
ACH-001239,-0.08703102699930002
ACH-001274,-0.31726986205400004
ACH-001275,0.028480311436
ACH-001277,-0.0898699881694
ACH-001278,-0.133064183028
ACH-001280,-0.098288271764
ACH-001283,-0.043990793929500005
ACH-001289,-0.19850194666499998
ACH-001295,0.0185406557784
ACH-001300,-0.0870248866777
ACH-001301,-0.221577871358
ACH-001302,-0.223101995917
ACH-001303,0.23263508655600001
ACH-001306,-0.20689286794199999
ACH-001318,-0.00378634706975
ACH-001322,0.228965377503
ACH-001328,-0.07180912591699999
ACH-001332,0.240199161611
ACH-001333,-0.09785028206119999
ACH-001336,0.10913888980799999
ACH-001340,0.047073848593600004
ACH-001346,-0.00574232554663
ACH-001353,-0.0048561866781
ACH-001354,-0.28867369716499997
ACH-001367,-0.0994622283099
ACH-001368,0.0550475683381
ACH-001374,-0.587256927351
ACH-001375,0.110905803717
ACH-001377,-0.0204693947102
ACH-001380,0.141578620254
ACH-001391,-0.33165779556999997
ACH-001407,-0.0932082194733
ACH-001408,-0.035568578344099995
ACH-001413,0.17788358699499998
ACH-001430,0.31275300478100004
ACH-001431,-0.167813483264
ACH-001450,-0.07397893688070001
ACH-001496,-0.055202275432299996
ACH-001500,0.0957893364642
ACH-001521,0.08172697589919999
ACH-001523,-0.371340472905
ACH-001532,0.181446397982
ACH-001536,-0.16203532487400002
ACH-001550,0.063720912193
ACH-001552,-0.152867875352
ACH-001554,-0.025075419059099997
ACH-001645,-0.134561671135
ACH-001654,-0.100092131108
ACH-001715,0.289608035296
ACH-001735,-0.015001585770199999
ACH-001736,0.256945312315
ACH-001737,0.249356921776
ACH-001740,0.13377501507099998
ACH-001745,-0.0167662598592
ACH-001750,0.08658655978299999
ACH-001765,0.0031403383088000002
ACH-001956,0.026988008490800002
ACH-001957,-0.00822180721214
