,GNB2L1 (10399)
ACH-000207,-1.59170538153
ACH-000211,-1.9832866517299998
ACH-000215,-1.9374274988
ACH-000221,-1.7658181239400002
ACH-000222,-1.87688818215
ACH-000223,-1.6499982201199999
ACH-000226,-1.68407406537
ACH-000227,-2.15477709371
ACH-000228,-2.0243592599099998
ACH-000231,-1.49679718223
ACH-000232,-1.92190908229
ACH-000233,-1.84587021962
ACH-000234,-2.02541228857
ACH-000235,-1.9945954024900001
ACH-000237,-2.0712173633099997
ACH-000238,-2.0719973928
ACH-000243,-1.89814040402
ACH-000244,-1.6492847738499998
ACH-000246,-1.61883541713
ACH-000248,-1.97052334428
ACH-000250,-1.78300002273
ACH-000251,-2.1566829513599997
ACH-000253,-1.63325410472
ACH-000255,-1.60596998022
ACH-000256,-1.99947192229
ACH-000257,-2.2124075362
ACH-000258,-2.2739670632099998
ACH-000259,-1.9036996548400003
ACH-000260,-1.8998833016699999
ACH-000261,-1.81953532305
ACH-000262,-1.82132388059
ACH-000263,-2.11110893508
ACH-000264,-1.57905233611
ACH-000265,-1.9259098039900002
ACH-000266,-1.6661037993799999
ACH-000272,-1.7963938042400003
ACH-000273,-1.94551127651
ACH-000274,-2.06803345759
ACH-000277,-1.81667370763
ACH-000278,-1.6427347546000002
ACH-000279,-1.76758376994
ACH-000280,-1.60653236252
ACH-000281,-1.8167567379099998
ACH-000288,-1.76208301306
ACH-000291,-1.8317092229400003
ACH-000293,-1.98681175097
ACH-000294,-1.9193426523400003
ACH-000295,-1.5779897107700003
ACH-000296,-1.52128923817
ACH-000302,-1.68457214285
ACH-000304,-3.1644263765200003
ACH-000307,-1.9888179661099996
ACH-000308,-1.9976208442299999
ACH-000310,-1.6020319287
ACH-000311,-1.68595280533
ACH-000312,-1.707515048
ACH-000315,-1.88762365828
ACH-000316,-1.83297007588
ACH-000317,-1.81146956528
ACH-000318,-1.9937523288799999
ACH-000319,-1.85642573752
ACH-000320,-1.75117127255
ACH-000322,-1.3628863884600002
ACH-000323,-1.85878979033
ACH-000324,-1.7440430786599999
ACH-000329,-1.5660019723199998
ACH-000330,-1.84937227464
ACH-000331,-1.6492126764100001
ACH-000332,-1.76784633695
ACH-000334,-2.11805899818
ACH-000335,-1.9386351682499998
ACH-000336,-1.8588162036099998
ACH-000337,-1.83981678915
ACH-000339,-1.7657481724000001
ACH-000341,-2.91372220574
ACH-000348,-2.1860916604700003
ACH-000350,-2.16092133723
ACH-000352,-1.97502721667
ACH-000356,-1.54246660617
ACH-000361,-1.5469727444799999
ACH-000362,-1.9317894679299998
ACH-000363,-1.5989535202399998
ACH-000364,-1.9250744443099999
ACH-000365,-1.8624790664200002
ACH-000366,-1.8901598674700002
ACH-000368,-1.82978976104
ACH-000374,-1.60198137021
ACH-000375,-1.9235143692299999
ACH-000376,-1.8133801379499999
ACH-000381,-2.1912565091
ACH-000383,-1.87960643539
ACH-000387,-1.40391936148
ACH-000389,-1.5289922664500002
ACH-000390,-1.8654088813799998
ACH-000393,-1.7386851063799997
ACH-000395,-1.9760168811099996
ACH-000397,-1.67602014042
ACH-000401,-1.82824771883
ACH-000402,-1.02221845019
ACH-000403,-1.8219725181900002
ACH-000404,-1.44755814356
ACH-000406,-2.02842215382
ACH-000407,-1.8186471583400001
ACH-000408,-1.58751430382
ACH-000410,-1.66951549872
ACH-000411,-1.5115053635
ACH-000414,-1.9236988810900002
ACH-000415,-1.8724683164400002
ACH-000416,-1.7175229835699999
ACH-000420,-1.59225619609
ACH-000421,-1.8045985896799999
ACH-000424,-1.8572926767299998
ACH-000425,-1.8430315608099996
ACH-000426,-2.2221115349700002
ACH-000427,-1.35628766563
ACH-000433,-1.8429978689200002
ACH-000436,-2.46899807451
ACH-000444,-1.68515689352
ACH-000445,-1.6089619720100001
ACH-000448,-1.37289725403
ACH-000450,-2.29253769793
ACH-000452,-1.70346742312
ACH-000454,-1.6631881805500002
ACH-000458,-1.76781231626
ACH-000459,-1.9083205826299998
ACH-000460,-1.86415091849
ACH-000461,-2.3258430042900002
ACH-000463,-1.4906113215099999
ACH-000464,-1.91072875159
ACH-000466,-2.04632274244
ACH-000467,-1.74597473949
ACH-000468,-1.58134990713
ACH-000469,-1.87863036651
ACH-000470,-1.7833755192700003
ACH-000471,-1.74802300999
ACH-000472,-2.03782224542
ACH-000473,-1.99754451768
ACH-000475,-1.81738711688
ACH-000476,-2.00508304518
ACH-000477,-2.21082523602
ACH-000480,-1.73102524235
ACH-000481,-1.63494928565
ACH-000483,-1.7700619414400003
ACH-000484,-1.7290222794499999
ACH-000485,-1.96567065401
ACH-000486,-1.90705324896
ACH-000487,-2.12854307577
ACH-000488,-1.9455067570299998
ACH-000490,-1.81434706052
ACH-000491,-2.1103813745299997
ACH-000495,-1.1991142238799999
ACH-000496,-1.89005790932
ACH-000499,-2.0789248583599997
ACH-000500,-2.1423671403999998
ACH-000502,-1.7436207848299998
ACH-000503,-1.80592740497
ACH-000505,-1.88300554097
ACH-000507,-1.55160051104
ACH-000510,-1.56254547294
ACH-000511,-1.90548737999
ACH-000512,-1.71446923363
ACH-000516,-1.70301460963
ACH-000517,-1.39883846042
ACH-000518,-1.89398379968
ACH-000520,-1.54294686338
ACH-000521,-1.7935369786900002
ACH-000522,-1.80469471643
ACH-000524,-1.95927590065
ACH-000527,-1.82447890741
ACH-000528,-1.615576111
ACH-000537,-1.8800027956799998
ACH-000541,-2.43804817102
ACH-000542,-1.7029355266600001
ACH-000544,-2.04643351157
ACH-000545,-2.04541586347
ACH-000547,-1.32678387797
ACH-000548,-1.83680437488
ACH-000549,-1.7255247777
ACH-000550,-2.0855851214900003
ACH-000552,-1.7873242407299998
ACH-000556,-1.7030871160499998
ACH-000557,-2.397121116
ACH-000570,-1.8639173007799998
ACH-000571,-1.8314461008099998
ACH-000573,-1.48913141266
ACH-000576,-2.0006693218700002
ACH-000580,-1.89925975143
ACH-000584,-1.59004007182
ACH-000585,-1.6527185354700002
ACH-000588,-2.15065627221
ACH-000589,-1.65304905659
ACH-000591,-2.19214563944
ACH-000593,-1.8063119931
ACH-000600,-1.8328277598400002
ACH-000601,-1.7339358062099999
ACH-000604,-1.5926098702200002
ACH-000605,-1.6402015129299998
ACH-000606,-1.71449855628
ACH-000608,-2.78894807324
ACH-000614,-1.9020219289200002
ACH-000616,-1.8230742551099999
ACH-000618,-1.85803277563
ACH-000619,-1.84583116412
ACH-000620,-2.04046288698
ACH-000621,-1.33682503551
ACH-000622,-1.9651969359099999
ACH-000623,-1.8418283897299998
ACH-000624,-1.8145940840900001
ACH-000627,-1.8531787501099999
ACH-000630,-2.02555569634
ACH-000632,-2.23966571357
ACH-000633,-2.33031669199
ACH-000637,-1.8328484756299999
ACH-000638,-1.5185477087099999
ACH-000646,-1.95387706265
ACH-000647,-2.0383067132900003
ACH-000648,-2.18880771629
ACH-000649,-2.01811992203
ACH-000651,-1.6909115568200002
ACH-000652,-1.97128583307
ACH-000653,-1.9920509142099998
ACH-000657,-1.98208442493
ACH-000658,-2.04321604237
ACH-000661,-2.54410999592
ACH-000662,-1.72551771887
ACH-000663,-2.10225879287
ACH-000665,-1.62983779787
ACH-000671,-1.89034993593
ACH-000673,-1.7244718446400003
ACH-000676,-1.84517108605
ACH-000677,-1.8090911496400002
ACH-000681,-1.88662281868
ACH-000682,-1.75023113196
ACH-000683,-2.28564207341
ACH-000684,-2.13626773553
ACH-000688,-1.19387938323
ACH-000693,-1.64893127796
ACH-000694,-1.7018142077399998
ACH-000695,-1.9234558101400003
ACH-000696,-1.7239975375799999
ACH-000697,-1.69825029564
ACH-000699,-1.55741948662
ACH-000701,-1.7044408121399999
ACH-000706,-1.7285294598700003
ACH-000711,-1.57578031098
ACH-000713,-1.90107718776
ACH-000714,-1.8597104049200002
ACH-000718,-1.89463513563
ACH-000720,-1.9056863835099997
ACH-000721,-1.71043233435
ACH-000724,-2.0636132223400003
ACH-000725,-1.5583024349799999
ACH-000732,-1.8438339716699998
ACH-000734,-1.9558795826299997
ACH-000735,-1.93818640532
ACH-000736,-2.02639516038
ACH-000738,-2.13463407019
ACH-000746,-1.87583919783
ACH-000747,-1.4982781089300001
ACH-000748,-1.56274592064
ACH-000753,-1.9721029318
ACH-000756,-1.7015143012
ACH-000757,-1.62014004773
ACH-000758,-1.8031389335699999
ACH-000760,-2.0492256437000003
ACH-000763,-1.6661150459099998
ACH-000764,-1.6256771204
ACH-000765,-2.03289690175
ACH-000766,-1.5663183677799999
ACH-000767,-1.94284769693
ACH-000768,-1.7181425450099999
ACH-000769,-1.7838325544099998
ACH-000770,-1.92134477306
ACH-000771,-1.81519955727
ACH-000773,-1.8661497664500002
ACH-000776,-2.03958579238
ACH-000777,-1.7996308047599998
ACH-000778,-1.9644444319099998
ACH-000781,-2.0761627374900002
ACH-000782,-2.0588187288900004
ACH-000783,-1.9635420255200002
ACH-000784,-1.94812106569
ACH-000785,-1.9206160622599997
ACH-000787,-1.91038739605
ACH-000788,-1.8962860808700002
ACH-000791,-1.8497860692800001
ACH-000792,-2.026905795
ACH-000794,-2.01810805491
ACH-000796,-1.88881737565
ACH-000799,-1.25959047718
ACH-000800,-1.79979981148
ACH-000802,-2.00909529575
ACH-000804,-2.27648148994
ACH-000805,-2.01773462473
ACH-000809,-1.95937430775
ACH-000810,-1.91949680438
ACH-000811,-1.5675209163
ACH-000817,-1.84350060637
ACH-000819,-1.68280162982
ACH-000820,-1.55963988014
ACH-000821,-2.06485959371
ACH-000822,-1.7765101218500001
ACH-000823,-1.7897113608300002
ACH-000824,-1.9291196695299997
ACH-000827,-1.9619932802200002
ACH-000829,-1.76908223565
ACH-000831,-1.59218134808
ACH-000832,-1.84355491977
ACH-000833,-2.0874964464200003
ACH-000834,-1.8837491076800001
ACH-000835,-1.71236245936
ACH-000836,-1.8128817824099999
ACH-000837,-1.7237771417900003
ACH-000838,-1.4181214698700002
ACH-000839,-1.95409167539
ACH-000840,-1.8709668507700001
ACH-000841,-1.80559396741
ACH-000843,-1.87043306103
ACH-000846,-1.89396857312
ACH-000847,-1.78311344963
ACH-000848,-1.97861161287
ACH-000849,-1.8961598771200001
ACH-000851,-1.69260444411
ACH-000855,-1.78636676107
ACH-000856,-2.2418368135900004
ACH-000858,-1.76453187468
ACH-000859,-1.74480326377
ACH-000861,-2.19805315743
ACH-000862,-1.86800531354
ACH-000865,-1.61445273312
ACH-000866,-1.8779906304799998
ACH-000867,-1.77914760123
ACH-000869,-2.13848910402
ACH-000872,-1.6347734963299998
ACH-000873,-1.77078926312
ACH-000876,-2.1145671829799997
ACH-000878,-1.9182323306599998
ACH-000880,-1.69066473937
ACH-000881,-1.91348032315
ACH-000882,-1.9946549344099997
ACH-000884,-1.9201646674400001
ACH-000885,-1.6526242424899997
ACH-000887,-1.95286544805
ACH-000888,-1.79948427007
ACH-000889,-1.9636727653000001
ACH-000890,-2.0353894170599998
ACH-000896,-2.12836397438
ACH-000898,-1.78661170877
ACH-000900,-1.59297572461
ACH-000901,-1.81476645278
ACH-000905,-1.62743027089
ACH-000906,-1.93216693117
ACH-000907,-1.62832449223
ACH-000910,-1.84681845713
ACH-000911,-1.7327791669
ACH-000912,-1.8637451435299999
ACH-000913,-2.16006596806
ACH-000915,-1.7864028488199999
ACH-000916,-1.55760785637
ACH-000917,-1.6216054975299998
ACH-000921,-1.48846414031
ACH-000924,-1.6501463566699999
ACH-000926,-1.7931294563
ACH-000928,-1.6382311872600002
ACH-000929,-1.9437603525599998
ACH-000932,-1.8886497147999999
ACH-000935,-1.89253493534
ACH-000936,-2.0770440364
ACH-000937,-2.21616295171
ACH-000938,-2.18250381313
ACH-000939,-1.8679523909
ACH-000941,-1.3299026144700001
ACH-000943,-1.7556330813999999
ACH-000946,-1.8200174082799998
ACH-000947,-1.62103056051
ACH-000948,-1.8922816651099998
ACH-000950,-2.0765416339500002
ACH-000953,-1.98710774561
ACH-000957,-1.6572169052399999
ACH-000958,-1.55460093079
ACH-000960,-1.8688517624599998
ACH-000963,-1.78433645896
ACH-000968,-2.33653307801
ACH-000969,-1.5837360868
ACH-000973,-1.9890377955200003
ACH-000974,-1.71132137055
ACH-000975,-1.9088293823500002
ACH-000976,-1.9617452684599999
ACH-000978,-1.6329957505200001
ACH-000980,-1.9813546149
ACH-000984,-1.7119759487700001
ACH-000986,-1.82575433095
ACH-000988,-1.9643913623400002
ACH-000993,-1.13743074217
ACH-000994,-2.50521685717
ACH-000996,-1.4818758690399998
ACH-001001,-1.71152498791
ACH-001020,-1.76036507604
ACH-001028,-1.6878121635299999
ACH-001031,-2.2860997995599996
ACH-001038,-1.67603459769
ACH-001048,-1.90541008027
ACH-001050,-1.9630191600099998
ACH-001053,-1.95943691197
ACH-001054,-1.76686832425
ACH-001061,-1.7916076145700002
ACH-001067,-1.51463521118
ACH-001075,-1.9025993444799998
ACH-001096,-1.7593122576400002
ACH-001128,-2.37287861835
ACH-001134,-1.8367569227
ACH-001151,-1.4668445534799999
ACH-001163,-1.13438914237
ACH-001164,-1.8194812650599999
ACH-001173,-1.5700878595200003
ACH-001183,-1.87361566246
ACH-001184,-1.8563560038999998
ACH-001190,-1.56428462438
ACH-001192,-1.9570451043700001
ACH-001193,-1.94039479183
ACH-001196,-2.05959785974
ACH-001197,-1.7097706922100002
ACH-001205,-1.90120021687
ACH-001211,-1.8234225652900002
ACH-001212,-1.61897797714
ACH-001228,-2.3198649481499998
ACH-001232,-1.9222204062200001
ACH-001239,-2.02211149945
ACH-001274,-1.8522195713099998
ACH-001275,-1.8315116999999999
ACH-001277,-1.6642115310799999
ACH-001278,-1.9206409714400003
ACH-001280,-1.57874345787
ACH-001283,-1.7581556353999999
ACH-001289,-2.0683794851
ACH-001295,-1.73857526843
ACH-001300,-2.13321287361
ACH-001301,-1.78914325833
ACH-001302,-1.6784713994999998
ACH-001303,-1.71250389383
ACH-001306,-1.6594665498199999
ACH-001318,-1.97110645955
ACH-001322,-1.7672863669099999
ACH-001328,-2.0655833259
ACH-001332,-1.62126403815
ACH-001333,-1.9186550910299998
ACH-001336,-1.7873336300799998
ACH-001340,-1.7792858871200001
ACH-001346,-1.85831655657
ACH-001353,-2.0177864796700002
ACH-001354,-2.12299056232
ACH-001367,-2.05627961955
ACH-001368,-1.7169307706799999
ACH-001374,-1.4955264697100001
ACH-001375,-1.8071572345900002
ACH-001377,-1.7686002070400002
ACH-001380,-1.7102705624399999
ACH-001391,-1.32461359968
ACH-001407,-2.26928163828
ACH-001408,-1.94163527515
ACH-001413,-1.41866107875
ACH-001430,-1.7448583714500001
ACH-001431,-1.6805095078499999
ACH-001450,-1.7838745498500002
ACH-001496,-1.8228220215200002
ACH-001500,-1.8267500427599999
ACH-001521,-2.1111864870200003
ACH-001523,-2.1193060252200002
ACH-001532,-1.87491178303
ACH-001536,-1.8242965984200001
ACH-001550,-2.0804302458099997
ACH-001552,-2.03458321623
ACH-001554,-1.8334015245099997
ACH-001645,-1.9437910866299999
ACH-001654,-1.9033907461000001
ACH-001715,-1.9394188315099998
ACH-001735,-1.9608445211200003
ACH-001736,-2.1112328524
ACH-001737,-1.6758463341999998
ACH-001740,-2.42087120055
ACH-001745,-2.10915556534
ACH-001750,-1.83349444623
ACH-001765,-1.81454973765
ACH-001956,-1.9882654057299998
ACH-001957,-1.8869854452500001
