,NIFK (84365)
ACH-000887,-1.38412119357
ACH-000888,-1.16757427324
ACH-000889,-1.48629272984
ACH-000890,-1.4427570704600001
ACH-000896,-1.56999724072
ACH-000898,-1.4825130426700002
ACH-000900,-1.35163602093
ACH-000901,-1.4017228872799998
ACH-000905,-1.20194747564
ACH-000906,-1.43849068839
ACH-000907,-1.33731101157
ACH-000910,-1.76295813146
ACH-000911,-0.986312118158
ACH-000912,-1.14094083485
ACH-000913,-1.2443356199700002
ACH-000915,-1.23809462765
ACH-000916,-1.12675272435
ACH-000917,-1.36112595212
ACH-000921,-1.07200697889
ACH-000924,-1.4690899836000002
ACH-000926,-1.40407400974
ACH-000928,-1.2123761392299999
ACH-000929,-1.2076210917
ACH-000932,-1.07684289047
ACH-000935,-1.20524035371
ACH-000936,-1.6474266497999999
ACH-000937,-1.37810340104
ACH-000938,-1.4431948127
ACH-000939,-1.3311131489399999
ACH-000941,-1.3769028154700003
ACH-000943,-1.29966273085
ACH-000946,-1.2281986715200002
ACH-000947,-1.36533972987
ACH-000948,-1.24063005998
ACH-000950,-1.3496382752200002
ACH-000953,-1.3047483021600002
ACH-000957,-1.1926685730500002
ACH-000958,-1.33818228173
ACH-000960,-1.41737032144
ACH-000963,-1.14162124935
ACH-000968,-1.2695101417
ACH-000969,-1.2726778652
ACH-000973,-1.28788936782
ACH-000974,-1.32404687051
ACH-000975,-1.36219891206
ACH-000976,-1.2176960428599999
ACH-000978,-0.7618609599070001
ACH-000980,-1.28511238139
ACH-000984,-1.4568267021799999
ACH-000986,-1.2836308492200001
ACH-000988,-1.06702169984
ACH-000993,-1.18404047824
ACH-000994,-1.2929506597799998
ACH-000996,-1.3868347271099999
ACH-001001,-1.39882483896
ACH-001020,-1.7514604256200001
ACH-001028,-1.47346385813
ACH-001031,-1.28806644309
ACH-001038,-1.22977277904
ACH-001048,-1.4326846453
ACH-001050,-1.35299240118
ACH-001053,-1.16335198708
ACH-001054,-1.16652574036
ACH-001061,-1.3295338310299998
ACH-001067,-1.24093720837
ACH-001075,-1.40892868881
ACH-001096,-1.20688010255
ACH-001128,-1.60000142153
ACH-001134,-1.5375764846000002
ACH-001151,-1.24013787202
ACH-001163,-1.42330228567
ACH-001164,-1.34975348062
ACH-001173,-1.2447034199200002
ACH-001183,-1.28750228279
ACH-001184,-1.34860450129
ACH-001190,-1.40654141986
ACH-001192,-1.348398714
ACH-001193,-1.43148769007
ACH-001196,-1.29097463787
ACH-001197,-1.51749603684
ACH-001205,-1.42965549016
ACH-001211,-1.07946200343
ACH-001212,-1.4580616735
ACH-001228,-1.5960834336399998
ACH-001232,-1.38624894567
ACH-001239,-1.14324872814
ACH-001274,-1.4090612497
ACH-001275,-1.26826994481
ACH-001277,-1.5333295689500002
ACH-001278,-1.0477870171700001
ACH-001280,-1.46759798325
ACH-001283,-1.32153398411
ACH-001289,-1.3372002971899999
ACH-001295,-1.23140311892
ACH-001300,-1.43743763215
ACH-001301,-1.03248193686
ACH-001302,-1.51713028341
ACH-001303,-1.19148953649
ACH-001306,-1.3581894605000002
ACH-001318,-1.1946049317
ACH-001322,-1.3279232164700001
ACH-001328,-1.26182319915
ACH-001332,-1.43395555562
ACH-001333,-1.19304479739
ACH-001336,-1.4848414935799998
ACH-001340,-1.1662026522
ACH-001346,-1.0849537378899998
ACH-001353,-1.22999964074
ACH-001354,-0.98602000248
ACH-001367,-1.3321662778399999
ACH-001368,-1.10864688836
ACH-001374,-1.5295223902700001
ACH-001375,-1.00224024656
ACH-001377,-1.45378199841
ACH-001380,-1.29974673364
ACH-001391,-1.24799746735
ACH-001407,-1.18563083679
ACH-001408,-1.30781317274
ACH-001413,-1.30971851712
ACH-001430,-1.6316423458200002
ACH-001431,-1.5464092523800002
ACH-001450,-1.2993676651700001
ACH-001496,-1.17875745859
ACH-001500,-1.24802940761
ACH-001521,-1.3899044482799998
ACH-001523,-1.25185781316
ACH-001532,-1.24898054829
ACH-001536,-1.22178486491
ACH-001550,-1.4157844524399998
ACH-001552,-1.4049043535299999
ACH-001554,-1.26312880851
ACH-001645,-1.5993159906099998
ACH-001654,-1.38927723451
ACH-001715,-0.717069435031
ACH-001735,-1.27852116187
ACH-001736,-1.22673171137
ACH-001737,-0.889556631942
ACH-001740,-1.1075540715999999
ACH-001745,-1.27220991094
ACH-001750,-1.23136409661
ACH-001765,-1.19328201865
ACH-001956,-1.4019826560600002
ACH-001957,-1.16989825502
