,BRK1 (55845)
ACH-000756,-0.252070871902
ACH-000757,-0.17609624119800002
ACH-000758,-0.5499238007949999
ACH-000760,-0.513002250662
ACH-000763,-0.6962674948729999
ACH-000764,-0.677815981293
ACH-000765,-0.331799911026
ACH-000766,-0.518921868465
ACH-000767,-0.146523982376
ACH-000768,-0.573624042318
ACH-000769,-0.532027287874
ACH-000770,-0.401315469276
ACH-000771,-0.646670808713
ACH-000773,-0.38225562373800004
ACH-000776,-0.023143568645799997
ACH-000777,-0.437621634393
ACH-000778,-0.540196161692
ACH-000781,-0.48617303049599997
ACH-000782,-0.5558048630269999
ACH-000783,-0.40145724862899995
ACH-000784,-0.365913518483
ACH-000785,-0.490749104198
ACH-000787,-0.554613641311
ACH-000788,-0.528188151241
ACH-000791,-0.5145953493909999
ACH-000792,-0.338180568107
ACH-000794,-0.502855905212
ACH-000796,-1.11844755142
ACH-000799,-0.587919681388
ACH-000800,-0.219758616199
ACH-000802,-0.645646626974
ACH-000804,-0.728833279879
ACH-000805,-0.310856109464
ACH-000809,-0.439565147317
ACH-000810,-0.802064773812
ACH-000811,-0.630076349962
ACH-000817,-0.43499541779399997
ACH-000819,-0.643998344172
ACH-000820,-0.650894346663
ACH-000821,-0.55466560351
ACH-000822,-0.589983781745
ACH-000823,-0.570889114516
ACH-000824,-0.47882211002400005
ACH-000827,-0.6834061714499999
ACH-000829,-0.944776620669
ACH-000831,-0.24301417178800003
ACH-000832,-0.7959426468330001
ACH-000833,-0.0161037331826
ACH-000834,-0.558523085729
ACH-000835,-0.793496912519
ACH-000836,-0.562285975735
ACH-000837,-0.35677382088299997
ACH-000838,-0.35915948888300003
ACH-000839,-0.7404984255529999
ACH-000840,-0.581867709554
ACH-000841,-0.49481279975299997
ACH-000843,-0.246972567003
ACH-000846,-0.308956513715
ACH-000847,-0.9073373847030001
ACH-000848,-0.58731361759
ACH-000849,-0.548973784701
ACH-000851,-0.730268749638
ACH-000855,-0.531723732603
ACH-000856,-0.837767848952
ACH-000858,-0.229047120748
ACH-000859,-0.346541528123
ACH-000861,-0.7272442017290001
ACH-000862,-0.580383829872
ACH-000865,-0.617541643621
ACH-000866,-0.5224973791390001
ACH-000867,-0.350834852284
ACH-000869,-0.6155426809319999
ACH-000872,-0.469255281596
ACH-000873,-0.44446909279299995
ACH-000876,-0.940921518704
ACH-000878,-0.281975714237
ACH-000880,-0.84238568191
ACH-000881,-0.46779130834700006
ACH-000882,-0.6617349354209999
ACH-000884,-0.575354229195
ACH-000885,-0.762131676107
ACH-000887,-0.515097677543
ACH-000888,-0.469876770147
ACH-000889,-0.132681100901
ACH-000890,-0.9925768000759999
ACH-000896,-0.563511825515
ACH-000898,-0.528020618224
ACH-000900,-0.134746754477
ACH-000901,-0.299268165642
ACH-000905,-0.567272253264
ACH-000906,-0.38296251364100004
ACH-000907,-0.794866864216
ACH-000910,-0.27564218378600003
ACH-000911,-0.446627722357
ACH-000912,-0.802767694271
ACH-000913,-0.711807511482
ACH-000915,-0.699824790099
ACH-000916,-0.304540566949
ACH-000917,-0.40791618278
ACH-000921,-0.555074271629
ACH-000924,-0.43922199534100004
ACH-000926,-1.1541257927600002
ACH-000928,-0.732285830944
ACH-000929,-0.09126550645369999
ACH-000932,-0.15579208179
ACH-000935,-0.6337922857580001
ACH-000936,-0.732407006103
ACH-000937,-0.340297484054
ACH-000938,-0.43731458353200003
ACH-000939,-0.382159299378
ACH-000941,-0.501660679127
ACH-000943,-0.282865275036
ACH-000946,-0.6578299959939999
ACH-000947,-0.5546149015940001
ACH-000948,-0.798124932151
ACH-000950,-0.534371046058
ACH-000953,-0.327310771907
ACH-000957,-0.5611959512879999
ACH-000958,-0.5773218650240001
ACH-000960,-0.634853210686
ACH-000963,-0.265972669141
ACH-000968,-0.471565269878
ACH-000969,-0.36283848158299997
ACH-000973,-0.581922738503
ACH-000974,-0.64735483008
ACH-000975,-0.257492405208
ACH-000976,-0.6973418150139999
ACH-000978,-0.335100590237
ACH-000980,-0.39948016886
ACH-000984,-0.37496128377
ACH-000986,-0.612894070298
ACH-000988,-0.969599011983
ACH-000993,-0.481694757739
ACH-000994,-0.583857719191
ACH-000996,-0.467833382667
ACH-001001,-0.7741015232899999
ACH-001020,-0.8592399071789999
ACH-001028,-0.301678111742
ACH-001031,-0.534817338419
ACH-001038,-0.556634109088
ACH-001048,-0.859528512288
ACH-001050,-0.495429864402
ACH-001053,-0.40695863206699995
ACH-001054,-0.513934253268
ACH-001061,-0.424697594167
ACH-001067,-0.500910661572
ACH-001075,-0.647915313869
ACH-001096,-0.532678837191
ACH-001128,-0.758382242399
ACH-001134,-0.733727861577
ACH-001151,-0.487451101581
ACH-001163,-0.407429296313
ACH-001164,-0.572399869063
ACH-001173,-0.684401102886
ACH-001183,-0.7943663472020001
ACH-001184,-0.332903293248
ACH-001190,-0.543754607346
ACH-001192,-0.552848716172
ACH-001193,-0.5421553433
ACH-001196,-0.5761643787749999
ACH-001197,-0.5689704799840001
ACH-001205,-0.81743133698
ACH-001211,-0.527967467683
ACH-001212,-1.22576018912
ACH-001228,-0.420101246932
ACH-001232,-0.704480351919
ACH-001239,-0.46912117719999996
ACH-001274,-1.01929685564
ACH-001275,-0.502846780806
ACH-001277,-0.479739935291
ACH-001278,-0.45228623716300004
ACH-001280,-0.156600143115
ACH-001283,-0.576438525262
ACH-001289,-0.37091191148100006
ACH-001295,-0.397449618574
ACH-001300,-0.587300597535
ACH-001301,-0.630075844684
ACH-001302,-0.269268877355
ACH-001303,-0.417688928363
ACH-001306,-0.08121001152889999
ACH-001318,-0.391494580759
ACH-001322,-0.903542113417
ACH-001328,-0.596750371203
ACH-001332,-0.49594114999300004
ACH-001333,-0.37232252894400003
ACH-001336,-0.498718972429
ACH-001340,-0.510303577341
ACH-001346,-0.29590863652
ACH-001353,-0.7896164175110001
ACH-001354,0.0608726269646
ACH-001367,-0.814164937492
ACH-001368,-0.29148255597
ACH-001374,-0.780908571211
ACH-001375,-0.6318754881759999
ACH-001377,-0.42687118690399994
ACH-001380,-0.8806506714869999
ACH-001391,-0.990478911917
ACH-001407,-0.678780626841
ACH-001408,-0.776646707343
ACH-001413,-0.870753682709
ACH-001430,-0.603847890282
ACH-001431,-0.540174776957
ACH-001450,-0.539985119065
ACH-001496,-0.5159016428850001
ACH-001500,-0.7056030287270001
ACH-001521,-0.785537475373
ACH-001523,-0.46167881470100003
ACH-001532,-0.6376607221399999
ACH-001536,-0.47634094336000005
ACH-001550,-0.380748941057
ACH-001552,-0.622121412178
ACH-001554,-0.535608730937
ACH-001645,-0.38499772672300003
ACH-001654,-0.597104573645
ACH-001715,-0.518908560153
ACH-001735,-0.47953250627800004
ACH-001736,-0.507134329233
ACH-001737,-0.116207538212
ACH-001740,-0.213796934461
ACH-001745,-0.37254316539800003
ACH-001750,-0.694692607636
ACH-001765,-0.311447291547
ACH-001956,-0.683616821654
ACH-001957,-0.7617561904719999
