,AP1S3 (130340)
ACH-000765,-0.412919784915
ACH-000766,-0.286691101301
ACH-000767,-0.07099447709989999
ACH-000768,-0.121690949847
ACH-000769,-0.5269427421940001
ACH-000770,-0.0980810646709
ACH-000771,-0.23973840198000002
ACH-000773,-0.151767446034
ACH-000776,-0.0646124101036
ACH-000777,-0.328968427527
ACH-000778,-0.218543165169
ACH-000781,-0.25019698826
ACH-000782,0.00477039710841
ACH-000783,-0.27589919942200003
ACH-000784,-0.185814908295
ACH-000785,-0.24841612301
ACH-000787,-0.243573864423
ACH-000788,-0.294226153676
ACH-000791,-0.350192643416
ACH-000792,-0.0632295865723
ACH-000794,-0.36394611427699997
ACH-000796,-0.325919703262
ACH-000799,-0.294849883935
ACH-000800,-0.389297692429
ACH-000802,-0.31058241961599997
ACH-000804,-0.151478596446
ACH-000805,-0.193908417915
ACH-000809,-0.178942448146
ACH-000810,-0.38472159527099997
ACH-000811,-0.23089707539999998
ACH-000817,-0.123989167556
ACH-000819,-0.272170444461
ACH-000820,-0.315971357509
ACH-000821,-0.0963826908305
ACH-000822,-0.150485018463
ACH-000823,-0.129106480657
ACH-000824,-0.288112534905
ACH-000827,-0.277619892566
ACH-000829,-0.314162001649
ACH-000831,-0.45220038298799997
ACH-000832,-0.256376968383
ACH-000833,0.035277773278300006
ACH-000834,-0.153776139156
ACH-000835,-0.277312320437
ACH-000836,-0.39292826222099997
ACH-000837,-0.28924936554200004
ACH-000838,-0.181219994362
ACH-000839,-0.250644956085
ACH-000840,-0.36871787526199995
ACH-000841,-0.384177035286
ACH-000843,-0.333714670183
ACH-000846,-0.151398696894
ACH-000847,-0.0981059325117
ACH-000848,-0.148492551108
ACH-000849,-0.192630094328
ACH-000851,-0.482739466027
ACH-000855,-0.06477239770740001
ACH-000856,-0.102082242665
ACH-000858,-0.185981000768
ACH-000859,-0.356114594395
ACH-000861,-0.19778424422600002
ACH-000862,-0.248561023993
ACH-000865,-0.165021066504
ACH-000866,-0.159236111161
ACH-000867,-0.360311046227
ACH-000869,-0.244125678741
ACH-000872,-0.07165453693900001
ACH-000873,0.056064589478699994
ACH-000876,-0.295105360054
ACH-000878,-0.302167364167
ACH-000880,-0.14465312705
ACH-000881,-0.211518596847
ACH-000882,-0.112200443895
ACH-000884,-0.262758428652
ACH-000885,-0.28255665940499997
ACH-000887,-0.182998025885
ACH-000888,-0.271399931925
ACH-000889,-0.27850685463
ACH-000890,-0.150512390014
ACH-000896,-0.201960843187
ACH-000898,-0.232874604311
ACH-000900,-0.325611471606
ACH-000901,-0.17347055035599998
ACH-000905,-0.29112767676600004
ACH-000906,-0.210063991671
ACH-000907,-0.122719163205
ACH-000910,-0.170632301142
ACH-000911,-0.299532506548
ACH-000912,-0.13003240660499998
ACH-000913,-0.17463430050999998
ACH-000915,-0.166285513737
ACH-000916,-0.432919623626
ACH-000917,-0.166827375123
ACH-000921,-0.21048534978100003
ACH-000924,-0.25936884231199997
ACH-000926,-0.25577748619
ACH-000928,-0.25612558677700004
ACH-000929,-0.260929916128
ACH-000932,-0.0188192264715
ACH-000935,-0.419056408795
ACH-000936,-0.0574238001514
