,CYP26C1 (340665)
ACH-000632,-0.22491409497099998
ACH-000633,-0.19265947321199997
ACH-000637,-0.259241027794
ACH-000638,-0.206009214399
ACH-000646,0.170948865184
ACH-000647,-0.24562338929699998
ACH-000648,-0.0714581183408
ACH-000649,-0.216390440281
ACH-000651,-0.260519319401
ACH-000652,-0.209976328707
ACH-000653,0.026124465242300002
ACH-000657,-0.25072080154599996
ACH-000658,-0.0929493310619
ACH-000661,-0.227989229361
ACH-000662,0.156857611837
ACH-000663,-0.181238725496
ACH-000665,-0.251144153701
ACH-000671,-0.278762359392
ACH-000673,-0.27284410709
ACH-000676,-0.231744091446
ACH-000677,-0.327502944077
ACH-000681,-0.17690219085
ACH-000682,-0.29684683944400003
ACH-000683,-0.360603518086
ACH-000684,-0.30072106546599997
ACH-000688,-0.301582646831
ACH-000693,-0.35983603369499995
ACH-000694,-0.309769528345
ACH-000695,-0.09997119780649999
ACH-000696,-0.093185269433
ACH-000697,-0.301678927325
ACH-000699,-0.109699776947
ACH-000701,-0.35998624612400004
ACH-000706,-0.158666141964
ACH-000711,-0.22411605817
ACH-000713,-0.0567751730388
ACH-000714,-0.302742600646
ACH-000718,-0.055927408915599996
ACH-000720,-0.17225284694200002
ACH-000721,-0.20924114246800002
ACH-000724,-0.30527617373599997
ACH-000725,-0.277018332343
ACH-000732,-0.312112839237
ACH-000734,-0.157254070074
ACH-000735,-0.336652999196
ACH-000736,-0.291387637662
ACH-000738,-0.467596067438
ACH-000746,-0.178275258325
ACH-000747,-0.451796045543
ACH-000748,-0.122002267357
ACH-000753,-0.172319059527
ACH-000756,-0.310800564331
ACH-000757,-0.14214031785599998
ACH-000758,-0.36806265140699995
ACH-000760,-0.302474879525
ACH-000763,-0.154529979852
ACH-000764,-0.212673510854
ACH-000765,-0.10634879947300001
ACH-000766,-0.152713247075
ACH-000767,-0.157050371795
ACH-000768,-0.203085953215
ACH-000769,-0.0235448992197
ACH-000770,-0.0407912355557
ACH-000771,-0.305580236891
ACH-000773,-0.18465308647999998
ACH-000776,-0.0916659190938
ACH-000777,-0.24522091160700002
ACH-000778,-0.029521658664
ACH-000781,-0.201581696018
ACH-000782,-0.412352608887
ACH-000783,-0.326657588503
ACH-000784,-0.338706533212
ACH-000785,-0.178673121096
ACH-000787,-0.178316175348
ACH-000788,-0.11948725116699999
ACH-000791,-0.0866137430438
ACH-000792,-0.16400128882
ACH-000794,-0.200066476696
ACH-000796,-0.323463756171
ACH-000799,0.07997345013330001
ACH-000800,-0.118483881196
ACH-000802,-0.264756415253
ACH-000804,-0.11549893755599999
ACH-000805,-0.19340566504099999
ACH-000809,-0.27713441773200004
ACH-000810,-0.354191995404
ACH-000811,-0.292614343479
ACH-000817,-0.20614318042500002
ACH-000819,-0.271704442606
ACH-000820,0.168170131542
ACH-000821,-0.43275045398999995
ACH-000822,-0.10356681650800001
ACH-000823,-0.286357832783
ACH-000824,-0.33434085819000003
ACH-000827,-0.24515588859200002
ACH-000829,-0.0939653494334
ACH-000831,-0.29659566581999997
ACH-000832,-0.274618798903
ACH-000833,-0.350925752712
ACH-000834,-0.256374249318
ACH-000835,-0.255476641766
ACH-000836,-0.227249528715
ACH-000837,-0.10268987369999999
ACH-000838,-0.39767224058
ACH-000839,-0.38018420875500003
ACH-000840,0.0973758984218
ACH-000841,0.0688189946792
ACH-000843,-0.0175962633125
ACH-000846,-0.406168548717
ACH-000847,-0.420045325498
ACH-000848,-0.20288206655000002
ACH-000849,-0.30351292185
ACH-000851,-0.228942267567
ACH-000855,-0.209042429971
ACH-000856,-0.25893846949
ACH-000858,-0.33806902394
ACH-000859,-0.440421251257
ACH-000861,-0.2657007697
ACH-000862,-0.230418394537
ACH-000865,-0.145255314553
ACH-000866,-0.12989063529300002
ACH-000867,-0.235968818286
ACH-000869,-0.243526917583
ACH-000872,-0.0479176647652
ACH-000873,-0.233237264679
ACH-000876,-0.220220777161
ACH-000878,-0.23944441182700002
ACH-000880,-0.163206237683
ACH-000881,-0.137915954118
ACH-000882,-0.245192782248
ACH-000884,-0.3435649986
ACH-000885,-0.269101272273
ACH-000887,-0.20475934746899999
ACH-000888,-0.288882137507
ACH-000889,-0.332841459219
ACH-000890,-0.22395903926999997
ACH-000896,-0.167511911638
ACH-000898,-0.24625186555
ACH-000900,-0.17682098464200002
ACH-000901,-0.203579754556
ACH-000905,-0.316023592553
ACH-000906,-0.11892302818600001
ACH-000907,-0.08910091049360001
ACH-000910,-0.315899319316
ACH-000911,-0.21911684978
ACH-000912,-0.127229376094
ACH-000913,-0.177907038396
ACH-000915,-0.18390880089699999
ACH-000916,-0.728677900552
ACH-000917,-0.140235641182
ACH-000921,-0.21732687261199998
ACH-000924,-0.355603365365
ACH-000926,-0.227328271321
ACH-000928,-0.00607114412078
ACH-000929,-0.311581390004
ACH-000932,-0.251142424688
ACH-000935,-0.0620540734346
ACH-000936,-0.405017725161
ACH-000937,-0.375750665379
ACH-000938,-0.116291852154
ACH-000939,-0.253450498485
ACH-000941,-0.232317944105
ACH-000943,-0.20427677827799998
ACH-000946,-0.220783930856
ACH-000947,-0.26533398981
ACH-000948,-0.117525577364
ACH-000950,-0.189685659558
ACH-000953,-0.325738484373
ACH-000957,-0.35418804150300004
ACH-000958,0.0633290959654
ACH-000960,-0.0719002506745
ACH-000963,-0.221142626762
ACH-000968,-0.282008254947
ACH-000969,-0.302667610491
ACH-000973,-0.215490375816
ACH-000974,-0.259091515539
ACH-000975,-0.248967366783
ACH-000976,-0.220353748905
ACH-000978,-0.220606443829
ACH-000980,-0.318887022833
ACH-000984,-0.34202729467500004
ACH-000986,0.0221689423066
ACH-000988,-0.137040135456
ACH-000993,0.0658354101177
ACH-000994,-0.35946462101800003
ACH-000996,-0.21846739993900002
ACH-001001,-0.27678208198300003
ACH-001020,-0.0267731015949
ACH-001028,-0.355419256652
ACH-001031,-0.143709119537
ACH-001038,-0.056791768642100005
ACH-001048,-0.366381608582
ACH-001050,-0.0761091244134
ACH-001053,-0.344921321419
ACH-001054,-0.185822194111
ACH-001061,-0.175034031569
ACH-001067,-0.0609317226719
ACH-001075,-0.014027686225
ACH-001096,-0.145877257582
ACH-001128,-0.232990018809
ACH-001134,-0.18590564307
ACH-001151,-0.19073518739300002
ACH-001163,-0.413694715168
ACH-001164,-0.325224506679
ACH-001173,-0.244062264706
ACH-001183,-0.355020893025
ACH-001184,-0.0844754576199
ACH-001190,-0.17952779729600002
ACH-001192,-0.25109470815699997
ACH-001193,-0.262649198488
ACH-001196,-0.056079717006800006
ACH-001197,-0.0953016719835
ACH-001205,-0.19801633557599999
ACH-001211,-0.33007452412099997
ACH-001212,-0.38868708641800004
ACH-001228,-0.501251425476
ACH-001232,-0.214476396422
ACH-001239,-0.36467450378399996
ACH-001274,-0.208760291196
ACH-001275,-0.291751350279
ACH-001277,-0.09019038401440001
ACH-001278,-0.10859427338099999
ACH-001280,0.125453461203
ACH-001283,-0.255554126712
ACH-001289,-0.266980120396
ACH-001295,-0.34265848311700003
ACH-001300,-0.148173125168
ACH-001301,-0.178106310957
ACH-001302,-0.21798791206
ACH-001303,-0.121501309408
ACH-001306,-0.212256415383
ACH-001318,-0.0603620624482
ACH-001322,-0.228100135781
ACH-001328,-0.280648831052
ACH-001332,0.044406059389000004
ACH-001333,-0.36624013141199996
ACH-001336,-0.35446142607000003
ACH-001340,-0.07565971439569999
ACH-001346,-0.29737900620700003
ACH-001353,-0.21252389437
ACH-001354,-0.317136338102
ACH-001367,-0.139172442848
