,SYNDIG1L (646658)
ACH-000524,-0.164179582695
ACH-000527,-0.116377938609
ACH-000528,-0.22690951627099998
ACH-000537,0.116895793993
ACH-000541,-0.256353604451
ACH-000542,-0.10480602548699999
ACH-000544,-0.128811155504
ACH-000545,-0.146564708382
ACH-000547,0.0191472959723
ACH-000548,-0.186388212205
ACH-000549,-0.0162349157027
ACH-000550,-0.356032881421
ACH-000552,-0.0659559741389
ACH-000556,-0.08285113488410001
ACH-000557,-0.013167154998700002
ACH-000570,-0.219974359752
ACH-000571,-0.08819352447
ACH-000573,-0.201820328632
ACH-000576,-0.11813456831800001
ACH-000580,-0.206937850685
ACH-000584,-0.128161673673
ACH-000585,-0.201552206363
ACH-000588,0.0325687594086
ACH-000589,-0.0372943324372
ACH-000591,-0.331735665438
ACH-000593,-0.14133886040899998
ACH-000600,-0.27664300972100003
ACH-000601,-0.047317138842400006
ACH-000604,-0.031071133310700005
ACH-000605,-0.08290600580419999
ACH-000606,-0.24194069674600002
ACH-000608,-0.16696271132999999
ACH-000614,-0.11122674974999999
ACH-000616,-0.230904036058
ACH-000618,-0.108970479221
ACH-000619,-0.116180532694
ACH-000620,-0.205023038313
ACH-000621,-0.205952149355
ACH-000622,-0.311815375108
ACH-000623,-0.239973453361
ACH-000624,-0.06836413920369999
ACH-000627,-0.14613892495
ACH-000630,-0.23569622010299998
ACH-000632,-0.0920668745782
ACH-000633,-0.09237509370489999
ACH-000637,-0.19117210550900002
ACH-000638,-0.09606528386180001
ACH-000646,-0.461143707879
ACH-000647,-0.060982405509
ACH-000648,0.10986855193499999
ACH-000649,-0.17999096308499998
ACH-000651,-0.028343980753599996
ACH-000652,-0.0394872476055
ACH-000653,0.0262927054786
ACH-000657,-0.07870582598510001
ACH-000658,0.0497032188703
ACH-000661,-0.160200712562
ACH-000662,0.335659225635
ACH-000663,-0.0802493358754
ACH-000665,-0.06720275737499999
ACH-000671,0.0512066421544
ACH-000673,-0.185599768548
ACH-000676,-0.08602079229569999
ACH-000677,0.035319201498
ACH-000681,0.158774269857
ACH-000682,-0.184254774845
ACH-000683,0.026656408843099996
ACH-000684,-0.0970484517438
ACH-000688,-0.13325584446799998
ACH-000693,-0.00137336364818
ACH-000694,-0.06951442316100001
ACH-000695,-0.336395910642
ACH-000696,-0.147652942238
ACH-000697,0.09135040763630001
ACH-000699,-0.10564281519200001
ACH-000701,-0.143925402247
ACH-000706,-0.045554649146800005
ACH-000711,-0.135444747239
ACH-000713,0.132552986726
ACH-000714,-0.311473512952
ACH-000718,-0.274569778481
ACH-000720,-0.134710609881
ACH-000721,-0.19727621465999998
ACH-000724,-0.050356453921300004
ACH-000725,-0.29074136241099996
ACH-000732,-0.23725439006700003
ACH-000734,0.0263521408256
ACH-000735,-0.251946115413
ACH-000736,-0.446543581184
ACH-000738,-0.0859245970535
ACH-000746,-0.0163751888536
ACH-000747,-0.0948246432075
