,ATP6V1D (51382)
ACH-000688,-1.018345799
ACH-000693,-0.46176018322800005
ACH-000694,-0.593205033078
ACH-000695,-0.7777219932709999
ACH-000696,-0.7784060150100001
ACH-000697,-0.882720826175
ACH-000699,-0.9071755665200001
ACH-000701,-0.387079530005
ACH-000706,-0.811856288626
ACH-000711,-1.1078088013299998
ACH-000713,-0.639256024969
ACH-000714,-0.5810925445530001
ACH-000718,-0.848999628583
ACH-000720,-0.6253001307720001
ACH-000721,-0.801908996134
ACH-000724,-0.87387987811
ACH-000725,-0.709528774772
ACH-000732,-0.963238431459
ACH-000734,-0.725151048449
ACH-000735,-0.8523997652940001
ACH-000736,-1.033596992
ACH-000738,-0.701085485489
ACH-000746,-0.981818118946
ACH-000747,-0.99116191979
ACH-000748,-0.38170211985799996
ACH-000753,-0.842205416233
ACH-000756,-0.5034901917100001
ACH-000757,-0.961538776588
ACH-000758,-0.8307919000599999
ACH-000760,-0.8523128865899999
ACH-000763,-1.12527745237
ACH-000764,-0.520101733988
ACH-000765,-1.01525281012
ACH-000766,-1.09963263777
ACH-000767,-0.310107844742
ACH-000768,-0.756575535117
ACH-000769,-0.867345834999
ACH-000770,-0.943304090989
ACH-000771,-0.9610449267810001
ACH-000773,-0.8313904650239999
ACH-000776,-0.614900700849
ACH-000777,-0.352822678493
ACH-000778,-0.86143006491
ACH-000781,-0.886397107861
ACH-000782,-0.46611832691000005
ACH-000783,-1.04204009015
ACH-000784,-0.678097959066
ACH-000785,-0.870992481388
ACH-000787,-0.781034736776
ACH-000788,-0.949934311833
ACH-000791,-1.0272366430700002
ACH-000792,-0.854030106133
ACH-000794,-1.16212417293
ACH-000796,-0.768859056463
ACH-000799,-1.08512666566
ACH-000800,-0.733014070606
ACH-000802,-0.452854269815
ACH-000804,-0.857077497934
ACH-000805,-0.7380087001510001
ACH-000809,-0.869020111093
ACH-000810,-0.643888093687
ACH-000811,-0.585133856538
ACH-000817,-1.17704689952
ACH-000819,-0.703846618544
ACH-000820,-0.73286323949
ACH-000821,-0.9761005706010001
ACH-000822,-1.25584274495
ACH-000823,-0.70830943639
ACH-000824,-0.592401699401
ACH-000827,-0.7653573922750001
ACH-000829,-0.927163204103
ACH-000831,-0.8038978948209999
ACH-000832,-0.973606063529
ACH-000833,-0.802323691574
ACH-000834,-0.744503318104
ACH-000835,-0.6714462897169999
ACH-000836,-0.784884523354
ACH-000837,-0.9434969996189999
ACH-000838,-0.495056953727
ACH-000839,-1.09599305159
ACH-000840,-0.9061632091700002
ACH-000841,-0.964034162774
ACH-000843,-0.646777494815
ACH-000846,-0.78712301892
ACH-000847,-0.652239117402
ACH-000848,-0.842534827808
ACH-000849,-0.988527228699
ACH-000851,-1.07922254389
ACH-000855,-0.917472300292
ACH-000856,-0.8069700496969999
ACH-000858,-0.7669531708
ACH-000859,-0.886555323134
ACH-000861,-0.6063887396050001
ACH-000862,-0.43638027674099994
ACH-000865,-0.793555173424
ACH-000866,-0.603774604966
ACH-000867,-0.7015624745010001
ACH-000869,-0.652468794818
ACH-000872,-0.7281974755
ACH-000873,-0.755193448314
ACH-000876,-0.520821981609
ACH-000878,-0.971740370694
ACH-000880,-0.5167394672300001
ACH-000881,-0.7577519321170001
ACH-000882,-0.6571942611399999
ACH-000884,-1.00536796721
ACH-000885,-0.690844053604
ACH-000887,-0.878000284845
ACH-000888,-0.46226520113700004
ACH-000889,-0.727301740205
ACH-000890,-1.13629325146
ACH-000896,-0.879172163575
ACH-000898,-0.7332527957930001
ACH-000900,-1.27910196634
ACH-000901,-0.6254392132509999
ACH-000905,-0.753269631969
ACH-000906,-0.8447564775309999
ACH-000907,-0.75978445486
ACH-000910,-0.548033237811
ACH-000911,-1.02529607871
ACH-000912,-0.596297752448
ACH-000913,-0.687448887068
ACH-000915,-0.967684705429
ACH-000916,-1.2531511972
ACH-000917,-0.952128039737
ACH-000921,-0.908917914391
ACH-000924,-0.7167689957410001
ACH-000926,-0.8193920560969999
ACH-000928,-1.0224006510299999
ACH-000929,-0.669081965982
