,MARK4 (57787)
ACH-000584,-0.25145305803199997
ACH-000585,-0.190267495848
ACH-000588,-0.221815778396
ACH-000589,-0.115730865356
ACH-000591,-0.30413445487
ACH-000593,-0.20020133204399998
ACH-000600,-0.293235767639
ACH-000601,-0.0761489869717
ACH-000604,-0.47045438558799996
ACH-000605,-0.27690897413800003
ACH-000606,-0.24959589671500002
ACH-000608,-0.28811919049699997
ACH-000614,-0.10605368140100001
ACH-000616,-0.07125198198419999
ACH-000618,-0.07639884532039999
ACH-000619,-0.182864251786
ACH-000620,-0.23385617132
ACH-000621,-0.160963085575
ACH-000622,0.0211331761669
ACH-000623,-0.229481664391
ACH-000624,-0.0966787202923
ACH-000627,-0.169650864874
ACH-000630,-0.0694434627081
ACH-000632,-0.228773035981
ACH-000633,0.110674856205
ACH-000637,-0.183005295425
ACH-000638,-0.106791867702
ACH-000646,-0.304497844744
ACH-000647,0.0618752541467
ACH-000648,-0.155583479774
ACH-000649,-0.0838397769382
ACH-000651,-0.0102781907163
ACH-000652,0.07616309384810001
ACH-000653,-0.0768390956543
ACH-000657,-0.22731767086399998
ACH-000658,-0.0547949197122
ACH-000661,-0.182961215084
ACH-000662,0.38920271801899997
ACH-000663,-0.0966405895202
ACH-000665,-0.08372703481430001
ACH-000671,-0.0347891848595
ACH-000673,-0.153470997064
ACH-000676,-0.0635891237571
ACH-000677,-0.0586012212316
ACH-000681,-0.0412706286516
ACH-000682,-0.19561215169799998
ACH-000683,-0.0116111392411
ACH-000684,-0.233478471329
ACH-000688,-0.0411844261918
ACH-000693,-0.160267922973
ACH-000694,-0.0632215265275
ACH-000695,-0.105543743214
ACH-000696,-0.137988280917
ACH-000697,-0.387728340348
ACH-000699,-0.158831180894
ACH-000701,-0.269359402134
ACH-000706,-0.195801938211
ACH-000711,-0.080286827162
ACH-000713,-0.293599082879
ACH-000714,-0.28412095487399996
ACH-000718,-0.0715126335212
ACH-000720,-0.288018764187
ACH-000721,-0.0708013477752
ACH-000724,-0.16307544887
ACH-000725,0.0118798143713
ACH-000732,0.0240826549079
ACH-000734,-0.136642450824
ACH-000735,-0.0837073931623
ACH-000736,-0.234514024507
ACH-000738,-0.0778979689266
ACH-000746,-0.149770388916
ACH-000747,-0.021398419411800002
ACH-000748,-0.057159703905800004
ACH-000753,-0.0330252968298
ACH-000756,-0.48043184883400003
ACH-000757,0.0038439357893
ACH-000758,-0.216796123002
ACH-000760,-0.139114883449
ACH-000763,0.023083649878700003
ACH-000764,-0.232689483215
ACH-000765,-0.153506950021
ACH-000766,-0.0992970645631
ACH-000767,-0.12356172932800001
ACH-000768,-0.00999918396621
ACH-000769,-0.308595114208
ACH-000770,-0.15207198450200002
ACH-000771,-0.05121433753790001
ACH-000773,-0.193665867561
ACH-000776,-0.454243745795
ACH-000777,-0.283164303274
ACH-000778,-0.45457251374799995
ACH-000781,-0.044445387071
ACH-000782,-0.0716326980596
ACH-000783,-0.22816994046999997
ACH-000784,-0.106682593705
ACH-000785,-0.18997196032400002
ACH-000787,-0.19100749682
ACH-000788,-0.21215591370900003
ACH-000791,-0.118015287732
ACH-000792,-0.25088548731800003
ACH-000794,-0.0471865042153
ACH-000796,-0.158421587432
ACH-000799,-0.180280844819
ACH-000800,-0.0195976421417
ACH-000802,-0.19268419903700001
ACH-000804,-0.163382393353
ACH-000805,-0.139391444983
ACH-000809,-0.155754496838
ACH-000810,0.0069271941837
ACH-000811,-0.129335208123
ACH-000817,-0.304945427841
ACH-000819,-0.154588963995
ACH-000820,-0.333835814068
ACH-000821,-0.23941533828699998
ACH-000822,-0.307174677441
ACH-000823,-0.157124820051
ACH-000824,-0.37977059748099995
ACH-000827,-0.189491126551
ACH-000829,-0.09589127026489999
ACH-000831,-0.0972492140054
ACH-000832,-0.0216454888589
ACH-000833,-0.177892056298
ACH-000834,-0.029392082398
ACH-000835,-0.129337152259
ACH-000836,-0.125245901442
ACH-000837,-0.127129443725
ACH-000838,-0.119994595206
