,IL1RL1 (9173)
ACH-000416,0.145060627404
ACH-000420,0.0543447624625
ACH-000421,0.053793925873800004
ACH-000424,0.20016026449299998
ACH-000425,0.07848756702060002
ACH-000426,0.129581702476
ACH-000427,0.244259245307
ACH-000433,0.101180838979
ACH-000436,0.0318291910964
ACH-000444,0.144509103048
ACH-000445,0.047034917812099994
ACH-000448,0.139635606307
ACH-000450,0.182863461791
ACH-000452,0.17347749724199998
ACH-000454,0.107001339294
ACH-000458,0.157987265184
ACH-000459,0.0309812481292
ACH-000460,0.028775631907000002
ACH-000461,0.15256648273600001
ACH-000463,0.024911587089
ACH-000464,0.257537895229
ACH-000466,0.0163750415744
ACH-000467,0.027869253200500002
ACH-000468,0.143135405779
ACH-000469,0.23368075852200001
ACH-000470,0.152408223059
ACH-000471,0.14255711931099999
ACH-000472,0.166829922587
ACH-000473,0.141845455418
ACH-000475,0.0344101859073
ACH-000476,0.257951209487
ACH-000477,0.0774254428729
ACH-000480,0.0435053450485
ACH-000481,-0.0447340499936
ACH-000483,0.13111689811899999
ACH-000484,0.194065004174
ACH-000485,0.08285440145169999
ACH-000486,0.0335290958323
ACH-000487,0.19989386521299998
ACH-000488,0.11953495077500001
ACH-000490,0.147365151284
ACH-000491,-0.0143475108573
ACH-000495,-0.0906978306258
ACH-000496,-0.009052012587589999
ACH-000499,0.0885163314031
ACH-000500,0.029230093215200002
ACH-000502,0.0545368565221
ACH-000503,0.24154810618900002
ACH-000505,0.154865852106
ACH-000507,0.178736424646
ACH-000510,-0.031541937694700005
ACH-000511,0.135973469097
ACH-000512,-0.0550479424136
ACH-000516,0.11897615839600001
ACH-000517,0.200169492189
ACH-000518,0.120763932205
ACH-000520,0.130106106478
ACH-000521,0.026585636713400005
ACH-000522,0.0587641424856
ACH-000524,0.115795774296
ACH-000527,0.141815132449
ACH-000528,0.0753541552713
ACH-000537,0.09238967934219999
ACH-000541,0.226966941561
ACH-000542,0.10889283688200001
ACH-000544,0.171528778453
ACH-000545,0.231155558535
ACH-000547,0.205447362545
ACH-000548,0.06975425113589999
ACH-000549,0.0456105150491
ACH-000550,0.153704135447
ACH-000552,0.00709814760136
ACH-000556,0.10001903886800001
ACH-000557,0.245397876682
ACH-000570,0.0319759863345
ACH-000571,0.228653112259
ACH-000573,0.221775343057
ACH-000576,0.136896147465
ACH-000580,0.131672326087
ACH-000584,0.147893205419
ACH-000585,-0.008839791656290001
ACH-000588,0.143337010267
ACH-000589,-0.042192486919599995
ACH-000591,0.0402962207648
ACH-000593,0.24418818254
ACH-000600,0.241676335329
ACH-000601,0.04698179914680001
ACH-000604,0.086247312369
ACH-000605,0.07178964260969999
ACH-000606,0.0402142839565
ACH-000608,0.144441664251
ACH-000614,0.13980760283399998
ACH-000616,0.11117850218
ACH-000618,0.0533098857319
ACH-000619,-0.0015629080410400002
ACH-000620,0.05953530338819999
ACH-000621,0.12783136257000002
ACH-000622,0.0835320020912
ACH-000623,0.09315560992540001
ACH-000624,0.129073937081
ACH-000627,0.0943104431653
ACH-000630,0.020578083908299998
ACH-000632,0.152458040166
ACH-000633,0.081491031974
ACH-000637,0.201376612892
ACH-000638,0.0332398073507
ACH-000646,0.29227656289500004
ACH-000647,0.0947444919551
ACH-000648,-0.010212737131899999
ACH-000649,0.019922021598499998
ACH-000651,0.143425650996
ACH-000652,0.152714040352
ACH-000653,0.124568084176
ACH-000657,0.08278149350889999
ACH-000658,0.0870368317812
ACH-000661,0.05887679275169999
ACH-000662,0.137162004911
ACH-000663,0.0549468901645
ACH-000665,0.0263401818272
ACH-000671,0.0377962925324
ACH-000673,0.055233322063100006
ACH-000676,0.129062292972
ACH-000677,0.08751467114880002
ACH-000681,0.00323276187447
ACH-000682,0.105981463033
ACH-000683,0.160397423816
ACH-000684,-0.0573699355574
ACH-000688,0.221991710615
ACH-000693,0.104480009662
ACH-000694,0.161633987215
ACH-000695,0.17361956452100002
ACH-000696,0.0863611051244
ACH-000697,0.059968361551299997
ACH-000699,0.0783188964712
ACH-000701,0.0615800640379
ACH-000706,0.138056161727
ACH-000711,-0.0201130403447
ACH-000713,0.160563979962
ACH-000714,0.056939820484100005
ACH-000718,0.212924744326
ACH-000720,0.177033874993
ACH-000721,-0.102413693192
ACH-000724,0.182477369749
ACH-000725,-0.0147866010543
ACH-000732,0.0343180074208
ACH-000734,0.02661936909
ACH-000735,0.0944667072016
ACH-000736,0.270007049895
ACH-000738,0.04483013250580001
ACH-000746,0.29016276616500003
ACH-000747,0.08993661426010001
ACH-000748,0.19321037686200002
ACH-000753,0.13790963748500001
ACH-000756,0.034840688123199993
ACH-000757,-0.0379941421641
ACH-000758,0.017744228921400002
ACH-000760,0.208635775454
ACH-000763,0.0117274525556
ACH-000764,0.0374677576649
ACH-000765,0.226952267186
ACH-000766,0.0655853739397
ACH-000767,0.262371163389
ACH-000768,-0.00639366683359
ACH-000769,-0.0939511369647
ACH-000770,0.048518811190599996
ACH-000771,0.176869782805
ACH-000773,0.148878527845
ACH-000776,0.10471828770700001
ACH-000777,0.101863534485
ACH-000778,0.131103580852
ACH-000781,0.063739718545
ACH-000782,0.111844015755
ACH-000783,0.127716734114
ACH-000784,0.127848782824
ACH-000785,0.08093700420760001
ACH-000787,0.180529545663
ACH-000788,0.15186851632
ACH-000791,-0.0924337002936
ACH-000792,0.1296575454
ACH-000794,0.326656454576
ACH-000796,0.0253672621213
ACH-000799,0.0705608690605
ACH-000800,0.139809349852
ACH-000802,0.16903038841200002
ACH-000804,0.0435083520555
ACH-000805,0.12575261557700002
ACH-000809,0.125177996483
ACH-000810,0.239825273632
ACH-000811,0.049775888864699996
ACH-000817,0.0409712991558
ACH-000819,0.062426462536399996
ACH-000820,0.48281953007100004
ACH-000821,-0.0943137415667
ACH-000822,0.07506661166510001
ACH-000823,0.128702934676
ACH-000824,0.170080207404
ACH-000827,0.09990339607550001
ACH-000829,0.0794467185263
ACH-000831,-0.00494233031821
