,RNF145 (153830)
ACH-000763,-0.187027515851
ACH-000764,-0.320793133131
ACH-000765,0.0220650256803
ACH-000766,-0.0748491817597
ACH-000767,-0.18520632024300002
ACH-000768,-0.41701379379000003
ACH-000769,-0.28824554081099996
ACH-000770,-0.329304084329
ACH-000771,0.021746045728400002
ACH-000773,-0.584805674929
ACH-000776,-0.147019052694
ACH-000777,0.0032931891797299997
ACH-000778,-0.346673823753
ACH-000781,-0.262884351459
ACH-000782,-0.307966915869
ACH-000783,-0.206521114433
ACH-000784,-0.170003814294
ACH-000785,-0.12907511025
ACH-000787,-0.450732228594
ACH-000788,-0.395623813461
ACH-000791,-0.373687148973
ACH-000792,-0.11053719863900001
ACH-000794,0.050625985528300006
ACH-000796,-0.300088563721
ACH-000799,-0.321325146026
ACH-000800,-0.137323105483
ACH-000802,-0.361164352855
ACH-000804,-0.28242917315099997
ACH-000805,-0.280564146202
ACH-000809,-0.0550239244924
ACH-000810,-0.42827136755
ACH-000811,-0.27733323828699996
ACH-000817,-0.22447472145599998
ACH-000819,-0.0841024418835
ACH-000820,-0.181314062282
ACH-000821,-0.125182887733
ACH-000822,-0.0731355198542
ACH-000823,-0.30363441831
ACH-000824,-0.170035139553
ACH-000827,-0.19225837926
ACH-000829,-0.252543443197
ACH-000831,-0.340244380717
ACH-000832,-0.0369963869498
ACH-000833,-0.06763982771180001
ACH-000834,-0.163313691261
ACH-000835,-0.0501411205906
ACH-000836,-0.251415206891
ACH-000837,-0.139253308485
ACH-000838,0.06863047374549999
ACH-000839,-0.203987207201
ACH-000840,-0.330476175169
ACH-000841,-0.461375194662
ACH-000843,-0.277414947679
ACH-000846,-0.017879558862400002
ACH-000847,-0.630969165845
ACH-000848,-0.258051611873
ACH-000849,-0.45323049494900003
ACH-000851,-0.153829552113
ACH-000855,-0.17799136492400003
ACH-000856,-0.170572368174
ACH-000858,-0.239876471448
ACH-000859,-0.07939613402489999
ACH-000861,-0.10066114963
ACH-000862,0.0397863275744
ACH-000865,-0.293759390789
ACH-000866,-0.155066770016
ACH-000867,-0.179401387095
ACH-000869,-0.11632311936699999
ACH-000872,-0.129841435672
ACH-000873,-0.10240130419500001
ACH-000876,-0.032056706686
ACH-000878,-0.5178523920970001
ACH-000880,-0.235316965757
ACH-000881,-0.255165864445
ACH-000882,-0.27464975822
ACH-000884,-0.21512390430999997
ACH-000885,-0.185501806936
ACH-000887,-0.053714157707699994
ACH-000888,-0.0896970770848
ACH-000889,-0.0356834301516
ACH-000890,-0.22660675553399998
ACH-000896,-0.07154707481530001
ACH-000898,-0.517674108208
ACH-000900,-0.131858373536
ACH-000901,-0.154339020665
ACH-000905,-0.09180817676280001
ACH-000906,-0.40213288945200004
ACH-000907,-0.5849746425
ACH-000910,-0.0775033551938
ACH-000911,-0.42277812334700005
ACH-000912,-0.0670133957604
ACH-000913,-0.0950677475152
ACH-000915,-0.285691778564
ACH-000916,-0.383629161989
ACH-000917,-0.129570887534
ACH-000921,0.0639245462495
ACH-000924,-0.154926894576
ACH-000926,-0.012297584163799998
ACH-000928,-0.38549918192
ACH-000929,0.081755062187
ACH-000932,-0.226633679952
ACH-000935,-0.0882973641532
ACH-000936,-0.174435779855
ACH-000937,-0.270914349023
ACH-000938,-0.08150637865430001
ACH-000939,-0.389313776332
ACH-000941,-0.19682216742199998
ACH-000943,-0.39938809046499996
ACH-000946,-0.209419246096
ACH-000947,-0.39465785238000006
ACH-000948,-0.27683483590700003
ACH-000950,-0.22500597082600002
ACH-000953,-0.33921877778399995
ACH-000957,-0.37692783875299996
ACH-000958,-0.488184528244
ACH-000960,-0.120839441117
ACH-000963,-0.620791551964
ACH-000968,-0.122150316271
ACH-000969,-0.501331266289
ACH-000973,-0.43742407177299997
ACH-000974,-0.168285751972
ACH-000975,-0.33842532840499995
ACH-000976,-0.287461387934
ACH-000978,-0.0493724270641
ACH-000980,-0.308054538285
ACH-000984,-0.127911380209
ACH-000986,-0.27044842149099996
ACH-000988,-0.329418745878
ACH-000993,-0.20004600917800003
ACH-000994,-0.297897579772
ACH-000996,-0.357885555651
ACH-001001,-0.15981455045499998
ACH-001020,0.0499282461679
ACH-001028,-0.10256983022
ACH-001031,-0.18195110338
ACH-001038,-0.349176697512
ACH-001048,-0.20027087877099997
ACH-001050,-0.22078583227200002
ACH-001053,-0.69720804253
ACH-001054,-0.259949299027
ACH-001061,-0.0208307154168
ACH-001067,-0.131747565909
ACH-001075,-0.196596774427
ACH-001096,-0.226235122063
ACH-001128,-0.12795510153
ACH-001134,-0.302014677986
ACH-001151,0.08076246683999999
ACH-001163,-0.46146490899400006
ACH-001164,-0.12172300905200001
ACH-001173,-0.210249506822
ACH-001183,-0.180207649478
ACH-001184,-0.208616948415
ACH-001190,-0.279990470994
ACH-001192,-0.285885578569
ACH-001193,-0.486698948252
ACH-001196,-0.117163040296
ACH-001197,0.0826534031974
ACH-001205,-0.0311092952948
ACH-001211,-0.22402186221
ACH-001212,0.0128615001841
ACH-001228,-0.168545252898
ACH-001232,-0.240948653301
ACH-001239,-0.145913965487
ACH-001274,-0.148662213816
ACH-001275,-0.202470990123
ACH-001277,-0.32146741945
ACH-001278,-0.41094472307700003
ACH-001280,-0.536871863232
ACH-001283,-0.427214290753
ACH-001289,-0.495123428559
ACH-001295,-0.47044832201700004
ACH-001300,-0.119292304322
ACH-001301,0.045086588769899995
ACH-001302,-0.364152012596
ACH-001303,0.39240581379699996
ACH-001306,-0.0893782666328
ACH-001318,-0.25466449159000004
ACH-001322,-0.45656834857100004
ACH-001328,-0.26814297422
ACH-001332,-0.617436630533
ACH-001333,0.00944713129502
ACH-001336,-0.1876405535
ACH-001340,-0.116825520464
ACH-001346,-0.0989862589779
ACH-001353,-0.22891388352699998
ACH-001354,0.05938750794290001
ACH-001367,-0.0130899456085
ACH-001368,-0.245468084022
ACH-001374,-0.665697500612
ACH-001375,-0.195190256027
ACH-001377,-0.08469533353599999
ACH-001380,-0.0329741641851
ACH-001391,-0.34405407511299996
ACH-001407,-0.703134188503
ACH-001408,-0.187533769644
ACH-001413,-0.43916611843000003
ACH-001430,-0.193502097197
ACH-001431,-0.120038859338
ACH-001450,-0.22655851788000003
ACH-001496,-0.050270668208599996
ACH-001500,-0.440938845469
ACH-001521,-0.167311046385
ACH-001523,0.11962895842599999
ACH-001532,-0.0803085329803
ACH-001536,-0.291241229448
ACH-001550,-0.229049460772
ACH-001552,-0.171886572616
ACH-001554,-0.133333108804
ACH-001645,-0.200864638882
ACH-001654,-0.336554901893
ACH-001715,-0.47860752785800004
ACH-001735,-0.170087026079
ACH-001736,-0.299759819039
ACH-001737,-0.37574836153700003
ACH-001740,-0.0888220389281
ACH-001745,-0.07190957623960001
ACH-001750,-0.30415113869000004
ACH-001765,-0.390640421617
ACH-001956,-0.344539796713
ACH-001957,-0.23665390906
