,OTOP3 (347741)
ACH-001050,0.389297406488
ACH-001053,0.0156475505713
ACH-001054,0.23741192036699998
ACH-001061,0.09955975092660001
ACH-001067,0.109259267793
ACH-001075,0.301141337289
ACH-001096,0.138161108116
ACH-001128,0.285921879131
ACH-001134,0.0829272069638
ACH-001151,0.228048588266
ACH-001163,0.0696382466638
ACH-001164,0.20856290129299998
ACH-001173,0.155039047683
ACH-001183,0.301972844892
ACH-001184,0.17500584761500002
ACH-001190,0.373879246377
ACH-001192,0.31975254389
ACH-001193,0.11439375004499999
ACH-001196,0.143318313405
ACH-001197,-0.081094730175
ACH-001205,0.349236469539
ACH-001211,0.0644181443273
ACH-001212,0.156556403659
ACH-001228,-0.010606266036
ACH-001232,0.22136918206599998
ACH-001239,0.289403520934
ACH-001274,0.0355821057024
ACH-001275,0.156883810167
ACH-001277,0.0982918055245
ACH-001278,0.144113687527
ACH-001280,0.237182857256
ACH-001283,0.0953450630353
ACH-001289,0.25851241276000003
ACH-001295,0.15230466660599998
ACH-001300,0.139435323775
ACH-001301,0.471652217161
ACH-001302,0.317258847195
ACH-001303,-0.109317017482
ACH-001306,0.31715485651
ACH-001318,0.17643019692200002
ACH-001322,-0.0789896616853
ACH-001328,0.218037473022
ACH-001332,0.10416656924499999
ACH-001333,0.153982307085
ACH-001336,0.213246710867
ACH-001340,0.163373850712
ACH-001346,0.181823592309
ACH-001353,0.122189930891
ACH-001354,0.135092067147
ACH-001367,0.33286224120200003
ACH-001368,0.183056562214
ACH-001374,0.207330710299
ACH-001375,0.21783292755800002
ACH-001377,0.147101150504
ACH-001380,0.180801813052
ACH-001391,0.181125746225
ACH-001407,0.19564867638
ACH-001408,0.251078146421
ACH-001413,0.09049203086030001
ACH-001430,0.282913519723
ACH-001431,0.146943454296
ACH-001450,0.125802139167
ACH-001496,0.12560203838300002
ACH-001500,0.143833352227
ACH-001521,-0.0661726688399
ACH-001523,0.147541180864
ACH-001532,0.279698269993
ACH-001536,0.260404528002
ACH-001550,0.30834881605799996
ACH-001552,0.140530573328
ACH-001554,0.19365523963300002
ACH-001645,0.173912102416
ACH-001654,0.110880124955
ACH-001715,0.10276476849999999
ACH-001735,0.0147060120097
ACH-001736,-0.0355097699887
ACH-001737,-0.0910956243861
ACH-001740,0.349651049477
ACH-001745,0.32720057411
ACH-001750,0.224014218008
ACH-001765,0.222708245447
ACH-001956,0.184272549487
ACH-001957,0.10605828851
