,DHTKD1 (55526)
ACH-000381,0.0741510755155
ACH-000383,0.312009768166
ACH-000387,0.0697273548859
ACH-000389,0.054656341014
ACH-000390,0.20552060785700002
ACH-000393,0.182770240999
ACH-000395,0.284740831737
ACH-000397,0.183508988444
ACH-000401,0.32448269403700003
ACH-000402,-0.0370955865837
ACH-000403,0.137698378248
ACH-000404,0.032605341863500004
ACH-000406,0.22824060511500002
ACH-000407,0.16812273779599998
ACH-000408,0.094469602751
ACH-000410,0.196023551708
ACH-000411,0.223216396243
ACH-000414,0.233356315742
ACH-000415,0.143481064246
ACH-000416,0.153641676363
ACH-000420,0.282901210343
ACH-000421,0.132062765928
ACH-000424,-0.0354454916048
ACH-000425,0.038097325626599995
ACH-000426,0.223902391966
ACH-000427,0.340421214803
ACH-000433,-0.040636985458499995
ACH-000436,0.310466438367
ACH-000444,0.0694969836834
ACH-000445,0.172775284292
ACH-000448,0.21839590102499998
ACH-000450,-0.00207909638104
ACH-000452,0.0289012382978
ACH-000454,0.131578936482
ACH-000458,0.197825598277
ACH-000459,0.39332077812
ACH-000460,0.0269664063308
ACH-000461,0.280550468502
ACH-000463,0.026569175717700004
ACH-000464,0.09624964539419999
ACH-000466,0.0622397637125
ACH-000467,0.12551146175300001
ACH-000468,0.24554746164900002
ACH-000469,0.251686858661
ACH-000470,0.040570301607
ACH-000471,0.20524001353500002
ACH-000472,0.163485484144
ACH-000473,0.0657579959539
ACH-000475,0.173262063766
ACH-000476,0.161041140458
ACH-000477,0.157792928745
ACH-000480,0.042956937106300004
ACH-000481,0.0525900134786
ACH-000483,0.24455710884100001
ACH-000484,0.288715091907
ACH-000485,0.101114717454
ACH-000486,0.238568127303
ACH-000487,0.173045411554
ACH-000488,0.156394833199
ACH-000490,0.16714905635299998
ACH-000491,0.156530986455
ACH-000495,0.0393719628983
ACH-000496,0.23431761436299997
ACH-000499,0.020385675070900004
ACH-000500,0.26820995900600003
ACH-000502,0.06687651464449999
ACH-000503,0.190673059226
ACH-000505,0.104356217426
ACH-000507,0.17732297000799999
ACH-000510,0.272603602284
ACH-000511,0.0775458016488
ACH-000512,0.189196506938
ACH-000516,0.24267454773400002
ACH-000517,0.173516177243
ACH-000518,0.234080702082
ACH-000520,0.252239536578
ACH-000521,0.30056910305100004
ACH-000522,0.196297646936
ACH-000524,0.147445662696
ACH-000527,0.199313259025
ACH-000528,0.20371762532999999
ACH-000537,0.118786397735
ACH-000541,0.14835563768100002
ACH-000542,0.17783554666200002
ACH-000544,0.0713880005578
ACH-000545,0.200901557757
ACH-000547,-0.109412000174
ACH-000548,0.44126325855899995
ACH-000549,0.182794813739
ACH-000550,0.178072047805
ACH-000552,0.10738718888599999
ACH-000556,0.18115972965799998
ACH-000557,0.007954730651770001
ACH-000570,0.18861059905000002
ACH-000571,0.196389854073
ACH-000573,0.237621677825
ACH-000576,0.22245401100900003
ACH-000580,0.31286113610599997
ACH-000584,0.19439560926600002
ACH-000585,0.21602565214699998
ACH-000588,0.18870005610100002
ACH-000589,0.178638554709
ACH-000591,0.232866354778
ACH-000593,0.243038358287
ACH-000600,0.08437224261989999
ACH-000601,0.283167156501
ACH-000604,0.0634985378623
ACH-000605,0.00826824079386
ACH-000606,0.140451380412
ACH-000608,0.113983931511
ACH-000614,0.38248355795999994
ACH-000616,0.0524719642678
ACH-000618,0.172137309846
ACH-000619,0.214287488812
ACH-000620,0.235190380924
ACH-000621,0.143104216506
ACH-000622,0.09150062190819999
ACH-000623,0.0257573037329
ACH-000624,0.150011880077
ACH-000627,0.202652222683
ACH-000630,0.237612507193
ACH-000632,0.154343620882
ACH-000633,0.0846101703741
ACH-000637,0.20066462612999997
ACH-000638,0.339365062314
ACH-000646,0.316619971592
ACH-000647,0.21871926411400003
ACH-000648,0.162553122332
ACH-000649,0.135403057498
ACH-000651,0.177536902027
ACH-000652,0.27220563895100003
ACH-000653,0.208310033727
ACH-000657,0.19649697383
ACH-000658,0.190217830437
ACH-000661,0.133246229051
ACH-000662,0.435928340792
ACH-000663,0.10135347616399999
ACH-000665,0.253171052804
ACH-000671,0.158026864952
ACH-000673,0.270768600874
ACH-000676,0.27614701384
ACH-000677,0.235703937143
ACH-000681,0.142408038742
ACH-000682,0.0964033842629
