,SAMSN1 (64092)
ACH-000912,0.136509734158
ACH-000913,0.328675888478
ACH-000915,0.268217433912
ACH-000916,0.27630923461199997
ACH-000917,0.215282809197
ACH-000921,0.0700764372007
ACH-000924,0.12835636449100002
ACH-000926,0.166494043524
ACH-000928,0.299333053818
ACH-000929,0.179086147476
ACH-000932,0.25754477287300004
ACH-000935,0.241203471937
ACH-000936,0.21789258425500002
ACH-000937,0.109647352691
ACH-000938,0.130259515376
ACH-000939,0.135383809887
ACH-000941,0.133007315311
ACH-000943,0.137119301353
ACH-000946,0.106867600413
ACH-000947,0.163612787628
ACH-000948,0.0633406238129
ACH-000950,0.0191770739841
ACH-000953,0.187068276955
ACH-000957,0.07905481217060001
ACH-000958,0.154642013393
ACH-000960,0.0765278946329
ACH-000963,0.0004705858684059999
ACH-000968,0.05689863645769999
ACH-000969,-0.0536407995133
ACH-000973,0.168067594147
ACH-000974,0.131916115101
ACH-000975,0.22204869178599998
ACH-000976,0.190158525039
ACH-000978,-0.0409951212539
ACH-000980,0.141383393795
ACH-000984,0.138360792383
ACH-000986,0.063766320676
ACH-000988,0.17545130284000002
ACH-000993,0.115707440666
ACH-000994,0.265800687779
ACH-000996,0.270583491842
ACH-001001,0.15915643252
ACH-001020,0.09453792280869999
ACH-001028,0.15314730942500002
ACH-001031,0.175934165045
ACH-001038,0.17183868420600001
ACH-001048,0.0966247740746
ACH-001050,-0.057163627099400004
ACH-001053,0.378666965448
ACH-001054,0.21627867468800002
ACH-001061,0.28938042976
ACH-001067,0.158163821777
ACH-001075,0.16805205529800002
ACH-001096,0.21316461576499998
ACH-001128,0.206719414518
ACH-001134,-0.278167894262
ACH-001151,0.10855414299699999
ACH-001163,0.0296447320765
ACH-001164,0.196398256046
ACH-001173,0.132150411084
ACH-001183,0.0217186756563
ACH-001184,0.126363277268
ACH-001190,0.21392688045299998
ACH-001192,0.0844175340115
ACH-001193,0.302936974114
ACH-001196,0.181269062575
ACH-001197,0.0775350843835
ACH-001205,0.212961524636
ACH-001211,-0.182129745686
ACH-001212,0.10924838468699999
ACH-001228,0.318611293713
ACH-001232,0.00830693651638
ACH-001239,0.155896422514
ACH-001274,0.21885642427299998
ACH-001275,0.23591772627500002
ACH-001277,-0.0317038741679
ACH-001278,0.107261765304
ACH-001280,-0.100825464012
ACH-001283,0.300686862138
ACH-001289,0.0774596872465
ACH-001295,0.103792965949
ACH-001300,0.0707809137532
ACH-001301,0.202266369631
ACH-001302,0.149248736001
ACH-001303,-0.046200298416099995
ACH-001306,0.11227240174900001
ACH-001318,0.158603506817
ACH-001322,0.319178555669
ACH-001328,0.174308212672
ACH-001332,-0.0135072865209
ACH-001333,0.22897904263399999
ACH-001336,0.220266575459
ACH-001340,0.0806253620535
ACH-001346,0.13589492624500002
ACH-001353,0.172707298485
ACH-001354,0.11658308947999999
ACH-001367,0.14016686024900002
ACH-001368,0.254373334303
ACH-001374,-0.191457946478
ACH-001375,0.191949257865
ACH-001377,0.0631457644112
ACH-001380,0.00027585527984400006
ACH-001391,-0.0224626584417
ACH-001407,0.18190792419
ACH-001408,0.333711296083
ACH-001413,0.165211664851
ACH-001430,0.168657010842
ACH-001431,0.204753243901
ACH-001450,0.309001404137
ACH-001496,0.22092891527199998
ACH-001500,0.254663142248
ACH-001521,0.17869567954799997
ACH-001523,0.124558572998
ACH-001532,0.018281643882
ACH-001536,0.208274167142
ACH-001550,0.08216539399060001
ACH-001552,0.11941738286499999
