,TANGO6 (79613)
ACH-000624,-1.47466068042
ACH-000627,-1.0328773311200001
ACH-000630,-1.3253953543299999
ACH-000632,-1.20492243546
ACH-000633,-0.9148681859960001
ACH-000637,-1.32150184175
ACH-000638,-1.1403212950200001
ACH-000646,-1.5451588706400001
ACH-000647,-1.5638245135
ACH-000648,-1.53081821261
ACH-000649,-1.26747947138
ACH-000651,-1.0346991893100002
ACH-000652,-1.2282756640299999
ACH-000653,-1.4431732599
ACH-000657,-1.37088513076
ACH-000658,-1.14834704264
ACH-000661,-1.19502940659
ACH-000662,-1.28482137111
ACH-000663,-1.04781869798
ACH-000665,-1.1212153126100002
ACH-000671,-1.12250463913
ACH-000673,-1.25615637161
ACH-000676,-1.3043572373799999
ACH-000677,-1.3644015807299998
ACH-000681,-1.30325370789
ACH-000682,-1.29997775341
ACH-000683,-1.33198388244
ACH-000684,-1.19816975685
ACH-000688,-1.6345639138999999
ACH-000693,-1.29877369767
ACH-000694,-1.33257783901
ACH-000695,-1.54168785305
ACH-000696,-1.3110896565299999
ACH-000697,-1.15671462752
ACH-000699,-1.3765082474099999
ACH-000701,-1.3076949514
ACH-000706,-1.3055851117
ACH-000711,-1.32630090158
ACH-000713,-1.20555490702
ACH-000714,-1.23816534916
ACH-000718,-1.36839352201
ACH-000720,-1.25250631703
ACH-000721,-0.987556379076
ACH-000724,-1.3968582425
ACH-000725,-1.02796444859
ACH-000732,-1.03396915372
ACH-000734,-1.45156043466
ACH-000735,-1.29781714173
ACH-000736,-1.5620202514500001
ACH-000738,-1.30279587293
ACH-000746,-1.32351956787
ACH-000747,-1.3896075043399998
ACH-000748,-1.4034474322400001
ACH-000753,-1.1685472409
ACH-000756,-1.17097273683
ACH-000757,-1.03218261081
ACH-000758,-1.19733448098
ACH-000760,-1.26397225597
ACH-000763,-1.24613110619
ACH-000764,-1.32420707406
ACH-000765,-1.15244114329
ACH-000766,-1.27711232464
ACH-000767,-1.63959042556
ACH-000768,-1.35267546039
ACH-000769,-1.5271652574599999
ACH-000770,-1.35775822456
ACH-000771,-1.54268338069
ACH-000773,-1.27829791783
ACH-000776,-1.0437882657700002
ACH-000777,-1.5671265968
ACH-000778,-1.5062941363100002
ACH-000781,-1.3226418707799998
ACH-000782,-1.26547957348
ACH-000783,-1.4177711649399998
ACH-000784,-1.46559030338
ACH-000785,-1.32011478284
ACH-000787,-1.0785472465200001
ACH-000788,-1.3576200039200002
ACH-000791,-1.4265728511899998
ACH-000792,-0.9371316864110001
ACH-000794,-1.07364731061
ACH-000796,-1.47981334898
ACH-000799,-0.9757319810330001
ACH-000800,-1.5847112815200002
ACH-000802,-1.08506278901
ACH-000804,-1.34379495928
ACH-000805,-1.12095640751
ACH-000809,-1.13802247597
ACH-000810,-1.5174807111700002
ACH-000811,-1.1622100145799998
ACH-000817,-1.12268245653
ACH-000819,-1.01499011032
ACH-000820,-1.27124929878
ACH-000821,-1.3717081289
ACH-000822,-1.62088935485
ACH-000823,-1.4292572374
ACH-000824,-1.51325681824
ACH-000827,-1.30011776232
ACH-000829,-1.15978745051
ACH-000831,-1.32852443752
ACH-000832,-1.0530791231299999
ACH-000833,-1.10403097251
ACH-000834,-1.24997653735
ACH-000835,-1.4726296997200001
ACH-000836,-1.3749714073500001
ACH-000837,-1.25963587526
ACH-000838,-1.1743582962
ACH-000839,-1.4735303776100002
ACH-000840,-1.5677088022499999
ACH-000841,-1.27618200125
ACH-000843,-1.12857963015
ACH-000846,-1.0522671397399999
ACH-000847,-1.3848345669600002
ACH-000848,-1.26003327392
ACH-000849,-1.301177125
ACH-000851,-1.1629720797
ACH-000855,-1.3139275045799998
ACH-000856,-1.2813614948799998
ACH-000858,-1.31147909595
ACH-000859,-1.11127861984
ACH-000861,-0.9143475626790001
ACH-000862,-1.4191205304299999
ACH-000865,-1.1330078365
ACH-000866,-1.6445925366299998
ACH-000867,-1.4580160097100001
ACH-000869,-1.8777873482900003
ACH-000872,-1.1230722695200002
ACH-000873,-1.03075569905
ACH-000876,-1.3053092230299999
ACH-000878,-1.0596597807500001
ACH-000880,-1.6289893818799999
ACH-000881,-1.08871111957
ACH-000882,-1.39307496741
ACH-000884,-1.2934210023200001
ACH-000885,-1.20348409104
ACH-000887,-1.18406613094
ACH-000888,-1.2076745045000001
ACH-000889,-1.06884900369
ACH-000890,-1.4213908489700002
ACH-000896,-1.21616577107
ACH-000898,-1.30227087624
ACH-000900,-1.1845047064899998
ACH-000901,-1.56148104816
ACH-000905,-1.51726439037
ACH-000906,-1.1519592739700002
ACH-000907,-1.23032812761
ACH-000910,-1.6911190768200002
ACH-000911,-1.2614956838200002
ACH-000912,-1.16516364134
ACH-000913,-1.23507607849
ACH-000915,-1.2911555665899999
ACH-000916,-1.27660755565
ACH-000917,-1.36752817871
ACH-000921,-1.3134806570200002
ACH-000924,-1.16027499481
ACH-000926,-1.4204941163299998
ACH-000928,-1.14086492861
ACH-000929,-1.50529332754
ACH-000932,-1.5636053506999998
ACH-000935,-1.3432912129499999
ACH-000936,-1.1418962832700001
ACH-000937,-1.0804148837
ACH-000938,-1.2353460115700001
ACH-000939,-1.4300268395500002
ACH-000941,-0.994886543829
ACH-000943,-1.10997819716
ACH-000946,-1.13853346019
ACH-000947,-1.18929478498
ACH-000948,-1.55806669508
ACH-000950,-1.30142867595
ACH-000953,-1.33075629166
ACH-000957,-1.4620024598199999
ACH-000958,-1.18506538367
ACH-000960,-1.05854133373
ACH-000963,-0.933741309155
ACH-000968,-1.5428105805399999
ACH-000969,-1.37874201139
ACH-000973,-1.29211399991
ACH-000974,-1.5446064447299999
ACH-000975,-1.2703265126
ACH-000976,-1.49855085978
ACH-000978,-1.85445138505
ACH-000980,-1.3450197957799999
