,C10orf95 (79946)
ACH-000980,-0.290332707081
ACH-000984,-0.330200537144
ACH-000986,-0.392495767931
ACH-000988,-0.177398267339
ACH-000993,-0.274699633689
ACH-000994,-0.17212032666299998
ACH-000996,-0.495623412833
ACH-001001,-0.292204452637
ACH-001020,-0.360790977835
ACH-001028,-0.311649524708
ACH-001031,-0.266248117362
ACH-001038,-0.355145348019
ACH-001048,-0.41464299109499997
ACH-001050,-0.0689936054284
ACH-001053,-0.331229811918
ACH-001054,-0.050140958667900005
ACH-001061,-0.22852821938999998
ACH-001067,-0.458437618432
ACH-001075,-0.432925620104
ACH-001096,-0.196042241089
ACH-001128,-0.21934288276
ACH-001134,-0.313444220938
ACH-001151,-0.32712890493200003
ACH-001163,-0.369128263275
ACH-001164,-0.287051407489
ACH-001173,-0.40121284075499997
ACH-001183,-0.16355716399
ACH-001184,-0.181525828127
ACH-001190,-0.276180790071
ACH-001192,-0.407949604656
ACH-001193,-0.490073408555
ACH-001196,-0.304121275789
ACH-001197,-0.27321772805399996
ACH-001205,-0.42450846293399996
ACH-001211,-0.251565598216
ACH-001212,-0.504705232848
ACH-001228,-0.380577849028
ACH-001232,-0.30716732178000006
ACH-001239,-0.24059840207699998
ACH-001274,-0.24090560020799998
ACH-001275,-0.0572381191264
ACH-001277,-0.149753241927
ACH-001278,-0.202399296646
ACH-001280,-0.256132769859
ACH-001283,-0.303730553199
ACH-001289,-0.29817232382500003
ACH-001295,-0.41429872724100003
ACH-001300,-0.349271565497
ACH-001301,-0.443330271554
ACH-001302,-0.204315858348
ACH-001303,-0.0538068481009
ACH-001306,-0.278191186519
ACH-001318,-0.420030753886
ACH-001322,-0.392443431758
ACH-001328,-0.364441677948
ACH-001332,-0.266384726611
ACH-001333,-0.40824553872599995
ACH-001336,-0.299715983394
ACH-001340,-0.367381051192
ACH-001346,-0.229321058314
ACH-001353,-0.294862630001
ACH-001354,-0.31399409459600003
ACH-001367,-0.389572627424
ACH-001368,-0.282152394806
ACH-001374,-0.209725334263
ACH-001375,-0.308873341026
ACH-001377,-0.261390413596
ACH-001380,-0.420810795887
ACH-001391,-0.07013215772810001
ACH-001407,-0.354333279876
ACH-001408,-0.290289026974
ACH-001413,-0.43936851187700005
ACH-001430,-0.42935352975599994
ACH-001431,-0.322389145854
ACH-001450,-0.250876738589
ACH-001496,-0.18748136856800002
ACH-001500,-0.16331293800000002
ACH-001521,-0.35104910046800003
ACH-001523,-0.212298137606
ACH-001532,-0.478232014589
ACH-001536,-0.161104430593
ACH-001550,-0.400962273737
ACH-001552,-0.130560668898
ACH-001554,-0.374543075079
ACH-001645,-0.315330102885
ACH-001654,-0.30166897476300003
ACH-001715,-0.31689196902899996
ACH-001735,-0.253317026152
ACH-001736,-0.074094795132
ACH-001737,-0.617174116267
ACH-001740,-0.244558829826
ACH-001745,-0.286899518352
ACH-001750,-0.268083643025
ACH-001765,-0.410466913644
ACH-001956,-0.344565067349
ACH-001957,-0.38487695575400005
