,NOTO (344022)
ACH-000296,0.033154417867200005
ACH-000302,-0.165996294352
ACH-000304,-0.322045385721
ACH-000307,-0.322694465836
ACH-000308,-0.255115844384
ACH-000310,0.14487071920999997
ACH-000311,-0.08538117156510001
ACH-000312,-0.0901238055002
ACH-000315,-0.659606540454
ACH-000316,0.0111575655455
ACH-000317,-0.209779315611
ACH-000318,-0.210168785333
ACH-000319,-0.144474532711
ACH-000320,0.09735250598850001
ACH-000322,-0.158507841609
ACH-000323,-0.399426357422
ACH-000324,-0.2191290129
ACH-000329,-0.129119653963
ACH-000330,0.0151069186466
ACH-000331,-0.43890667653099996
ACH-000332,-0.0771757807227
ACH-000334,0.159065068008
ACH-000335,-0.28591791366999997
ACH-000336,-0.140909282484
ACH-000337,-0.33856441722400005
ACH-000339,-0.156989817677
ACH-000341,-0.33457649561700004
ACH-000348,-0.171678608787
ACH-000350,-0.09807964014180001
ACH-000352,-0.36256981938199995
ACH-000356,-0.180902190874
ACH-000361,-0.20349174657400002
ACH-000362,-0.185171631473
ACH-000363,-0.158298855851
ACH-000364,-0.05631121698580001
ACH-000365,-0.22502970855300003
ACH-000366,-0.234896306111
ACH-000368,-0.268251100014
ACH-000374,-0.262663158277
ACH-000375,-0.200057060275
ACH-000376,-0.333071426337
ACH-000381,-0.23826889374200003
ACH-000383,-0.190138052416
ACH-000387,-0.016975261130899998
ACH-000389,-0.158586516352
ACH-000390,-0.25726228761799996
ACH-000393,-0.290207527251
ACH-000395,-0.190532300982
ACH-000397,-0.329992865762
ACH-000401,-0.227627567636
ACH-000402,-0.145529971549
ACH-000403,-0.31094609618200003
ACH-000404,-0.117409124329
ACH-000406,-0.10519670786100001
ACH-000407,-0.213357580447
ACH-000408,-0.241973768785
ACH-000410,-0.271059008653
ACH-000411,-0.13653027885
ACH-000414,0.00787652863345
ACH-000415,-0.24804858709000002
ACH-000416,-0.176133626999
ACH-000420,-0.42416959854999997
ACH-000421,-0.374896079934
ACH-000424,-0.47013990512599996
ACH-000425,-0.33868427227
ACH-000426,-0.0729928969481
ACH-000427,-0.414898202763
ACH-000433,-0.40051195913599996
ACH-000436,-0.42152598751000003
ACH-000444,-0.35039965744400003
ACH-000445,-0.349386400687
ACH-000448,-0.028890324647499997
ACH-000450,-0.634335307777
ACH-000452,-0.375784970057
ACH-000454,-0.521311306244
ACH-000458,-0.36272289148500003
ACH-000459,-0.671924741085
ACH-000460,-0.24656817729699998
ACH-000461,-0.232309581765
ACH-000463,-0.16562095812799998
ACH-000464,-0.23338720047699998
ACH-000466,-0.184222622615
ACH-000467,-0.37109649169200004
ACH-000468,-0.0743090304427
ACH-000469,-0.20010452356199998
ACH-000470,-0.389942522801
ACH-000471,-0.30042677414
ACH-000472,-0.171519204801
ACH-000473,-0.141720890441
ACH-000475,-0.18430225033300002
ACH-000476,-0.347596916947
ACH-000477,-0.193368302953
ACH-000480,-0.242753079472
ACH-000481,-0.325230902177
ACH-000483,-0.295323708974
ACH-000484,-0.410227549968
ACH-000485,-0.43049048702799997
ACH-000486,-0.266539092286
ACH-000487,-0.391985816192
ACH-000488,-0.303811591302
ACH-000490,-0.308249368933
ACH-000491,-0.332726472874
ACH-000495,-0.289848706244
ACH-000496,-0.217189601668
ACH-000499,-0.148340642336
ACH-000500,-0.511168158426
ACH-000502,-0.116480364448
ACH-000503,-0.324738198993
ACH-000505,-0.35604598797200004
ACH-000507,-0.05593553891559999
ACH-000510,-0.168919560255
ACH-000511,-0.23593368799000003
ACH-000512,-0.24746564856699999
ACH-000516,-0.23540241871800002
ACH-000517,-0.276591868843
ACH-000518,-0.162083210339
ACH-000520,-0.20405815143599998
ACH-000521,-0.24741487986900002
ACH-000522,-0.44012164189499997
ACH-000524,-0.18660722341
ACH-000527,-0.39014932644699996
ACH-000528,-0.205036670804
ACH-000537,-0.32028345287500004
ACH-000541,-0.21040687075199999
ACH-000542,-0.21156393476399998
ACH-000544,-0.207396701726
ACH-000545,-0.221957580669
ACH-000547,-0.0871944768097
ACH-000548,-0.41796908324500004
ACH-000549,-0.241300334687
ACH-000550,0.0471136313568
ACH-000552,-0.287540921986
ACH-000556,-0.201040057267
ACH-000557,-0.239235106415
ACH-000570,-0.178699955217
ACH-000571,-0.101987217399
ACH-000573,-0.219253027651
ACH-000576,-0.09881546933910001
ACH-000580,-0.30431032123
ACH-000584,-0.445149470594
ACH-000585,-0.343667434411
ACH-000588,-0.32421703451699996
ACH-000589,-0.10819535015699999
ACH-000591,-0.41651635090899997
ACH-000593,-0.31753007341
ACH-000600,-0.363142822464
ACH-000601,-0.272753532979
ACH-000604,0.132883824418
ACH-000605,-0.35908823019
ACH-000606,-0.339148732728
ACH-000608,-0.230350171498
ACH-000614,0.00410601776709
ACH-000616,-0.302374811096
ACH-000618,-0.35037031460600004
ACH-000619,-0.477423179102
ACH-000620,-0.278301422944
ACH-000621,-0.253534977138
ACH-000622,-0.234560054393
ACH-000623,-0.247538598026
ACH-000624,-0.32204659274
ACH-000627,-0.193723574977
ACH-000630,-0.301337087886
ACH-000632,-0.421418666314
ACH-000633,-0.307633296872
ACH-000637,-0.47458332901100003
ACH-000638,-0.268952956264
ACH-000646,-0.39246523285499996
ACH-000647,-0.242766082401
ACH-000648,-0.282817391351
ACH-000649,-0.218326974731
ACH-000651,-0.276459463755
ACH-000652,-0.10515586309000001
ACH-000653,-0.19706191418699998
ACH-000657,-0.240760795907
ACH-000658,-0.140453306479
ACH-000661,-0.351071668714
ACH-000662,-0.7700794697750001
ACH-000663,0.0450040584198
ACH-000665,-0.44080819972900004
ACH-000671,-0.25576287314199997
ACH-000673,-0.472028093056
ACH-000676,-0.0559424167039
ACH-000677,-0.35007088910899997
ACH-000681,-0.202369593464
ACH-000682,-0.26848559169
ACH-000683,-0.411635404831
ACH-000684,-0.0975494750869
ACH-000688,-0.08605332063349999
ACH-000693,-0.25682656514
ACH-000694,-0.17896456017499998
ACH-000695,-0.315944592731
ACH-000696,-0.250751613491
ACH-000697,-0.472018201531
ACH-000699,-0.058278360374600005
ACH-000701,-0.0672574650526
ACH-000706,-0.239682008271
ACH-000711,-0.252933598268
ACH-000713,-0.150695495939
ACH-000714,-0.238119788125
ACH-000718,-0.256418859417
ACH-000720,-0.22546330182399998
ACH-000721,-0.35706322192100004
ACH-000724,-0.52883107419
ACH-000725,-0.338952868552
ACH-000732,-0.521142852191
ACH-000734,-0.186795926648
ACH-000735,-0.288865523665
ACH-000736,-0.330895549194
ACH-000738,-0.311463142321
ACH-000746,-0.282718589332
ACH-000747,-0.215517181525
ACH-000748,-0.152267820919
ACH-000753,-0.214376113847
ACH-000756,-0.37908294157600003
ACH-000757,-0.202992077128
ACH-000758,-0.374762029855
ACH-000760,-0.238025833576
ACH-000763,0.12275822389
ACH-000764,-0.20612855406599997
ACH-000765,-0.192937563091
ACH-000766,-0.182150742645
ACH-000767,-0.255049484471
ACH-000768,-0.238044565619
ACH-000769,-0.21719640005
ACH-000770,-0.11296924119200001
ACH-000771,-0.49045232776500003
ACH-000773,-0.188791514047
ACH-000776,-0.136039840726
ACH-000777,-0.277022560658
ACH-000778,-0.344624349531
ACH-000781,-0.130493260846
ACH-000782,-0.588004557428
ACH-000783,-0.09625729544600001
ACH-000784,-0.293445355039
ACH-000785,-0.23806479134300002
ACH-000787,-0.2272227693
ACH-000788,-0.20908865511
ACH-000791,-0.263172613937
ACH-000792,-0.232004830456
ACH-000794,-0.288059546064
ACH-000796,-0.0715584800158
ACH-000799,-0.46027078276100003
ACH-000800,-0.561781106273
ACH-000802,-0.314970176297
ACH-000804,-0.346307200719
ACH-000805,-0.35179801090499996
ACH-000809,-0.267032018848
ACH-000810,-0.41681719776
ACH-000811,-0.226778816659
ACH-000817,-0.268000339717
ACH-000819,-0.249973944233
ACH-000820,-0.313648453486
ACH-000821,-0.15349990357899998
ACH-000822,-0.340782548447
ACH-000823,-0.19822800734499998
ACH-000824,-0.182884181187
ACH-000827,-0.27082096732
ACH-000829,-0.39217111110799996
ACH-000831,-0.207862006668
ACH-000832,-0.17851926844000002
ACH-000833,-0.0148917618132
ACH-000834,-0.203519284527
ACH-000835,-0.312362406047
ACH-000836,-0.25472396793499996
ACH-000837,-0.195648843646
ACH-000838,-0.08603092336750001
ACH-000839,-0.21933007672899998
ACH-000840,-0.279782401397
ACH-000841,-0.0717153778098
ACH-000843,-0.344923597539
ACH-000846,-0.7100395624150001
ACH-000847,-0.21366150486
ACH-000848,-0.16828587399099998
ACH-000849,-0.0904324900882
ACH-000851,0.05828510683680001
ACH-000855,-0.48195628505599997
ACH-000856,-0.11267828771400001
ACH-000858,-0.33345353075399997
ACH-000859,-0.07403619731889999
ACH-000861,-0.329775302835
ACH-000862,-0.09594218776889998
ACH-000865,-0.128320254817
ACH-000866,-0.29170609031800004
ACH-000867,-0.23958600559999998
ACH-000869,-0.154168154049
ACH-000872,-0.18026138020799998
ACH-000873,-0.25359468922600004
ACH-000876,-0.171553357044
ACH-000878,0.0159580294184
ACH-000880,-0.052459362970099996
ACH-000881,-0.214071132769
ACH-000882,-0.308029408334
ACH-000884,-0.215526614029
ACH-000885,-0.22668344378199998
ACH-000887,-0.277143645288
ACH-000888,-0.277333727102
ACH-000889,-0.24953483359900003
ACH-000890,-0.038084596837199995
ACH-000896,-0.35768329072
ACH-000898,-0.272335542348
ACH-000900,-0.184158934376
ACH-000901,-0.23360579499200002
ACH-000905,-0.28054604780299996
ACH-000906,-0.206048200522
ACH-000907,-0.46800898729699997
ACH-000910,-0.15633064182700002
ACH-000911,-0.406031219026
ACH-000912,-0.240020107154
ACH-000913,-0.28326798412500004
ACH-000915,-0.345791713077
ACH-000916,-0.903963276322
ACH-000917,-0.15130648585
ACH-000921,-0.174629944915
ACH-000924,-0.315689090559
ACH-000926,-0.196820925382
ACH-000928,-0.493443957601
ACH-000929,-0.172010684263
ACH-000932,-0.243364658661
ACH-000935,0.0414372084419
ACH-000936,-0.34303653996
ACH-000937,-0.378052089463
ACH-000938,-0.477423714529
ACH-000939,-0.04815433195669999
ACH-000941,-0.156783952813
ACH-000943,-0.29381325791900004
ACH-000946,-0.283945160156
ACH-000947,-0.325059862348
ACH-000948,-0.201835465316
ACH-000950,-0.295085990901
ACH-000953,-0.30618999422800003
ACH-000957,-0.39626252162000003
ACH-000958,-0.149097815703
ACH-000960,-0.254710391553
ACH-000963,-0.381402445381
ACH-000968,-0.23110534223499998
ACH-000969,-0.13420601684900002
ACH-000973,-0.218832352813
ACH-000974,-0.378370044375
ACH-000975,-0.221569131536
ACH-000976,-0.223704178072
ACH-000978,0.08442089515119999
ACH-000980,-0.244553774458
ACH-000984,-0.22997648437100002
ACH-000986,-0.252501993473
ACH-000988,-0.266640960586
ACH-000993,-0.537479078664
ACH-000994,-0.22169668740899998
ACH-000996,-0.773480349589
ACH-001001,-0.306885336256
ACH-001020,-0.18256205499400002
ACH-001028,-0.326684044235
ACH-001031,-0.178391618051
ACH-001038,-0.524465326676
ACH-001048,-0.374787695516
ACH-001050,-0.367424880588
ACH-001053,-0.437966575263
ACH-001054,-0.232223787383
ACH-001061,-0.546307598529
ACH-001067,-0.173472290675
ACH-001075,-0.0866127070018
ACH-001096,-4.12110880246e-05
ACH-001128,-0.086083271037
ACH-001134,-0.213261881721
ACH-001151,-0.34862344293700004
ACH-001163,-0.232516542573
ACH-001164,-0.301568341036
ACH-001173,-0.32866931501400004
ACH-001183,-0.0203547255155
ACH-001184,-0.303564140225
ACH-001190,-0.420306130305
ACH-001192,-0.290638200962
ACH-001193,-0.311270781151
ACH-001196,-0.31840815171799997
ACH-001197,-0.34478559858400004
ACH-001205,-0.29675255580800003
ACH-001211,-0.42124376000299996
ACH-001212,-0.5947343649360001
ACH-001228,-0.447073715893
ACH-001232,-0.232210289684
ACH-001239,-0.351192168447
ACH-001274,-0.0820528643703
ACH-001275,-0.236290118822
ACH-001277,-0.576356630824
ACH-001278,-0.287806538458
ACH-001280,-0.420862323945
ACH-001283,-0.314315100746
ACH-001289,-0.24088836362
ACH-001295,-0.259624633618
ACH-001300,-0.169923698303
ACH-001301,-0.281995306338
ACH-001302,-0.234980901097
ACH-001303,-0.542169345128
ACH-001306,-0.24015446366
ACH-001318,-0.28793900602600003
ACH-001322,-0.405692398383
ACH-001328,-0.397912706372
ACH-001332,-0.25442320926399997
ACH-001333,-0.508274395736
ACH-001336,-0.20896528396400002
ACH-001340,-0.322354957893
ACH-001346,-0.369775114884
ACH-001353,-0.23427213370299999
ACH-001354,-0.592895064362
ACH-001367,-0.199815342454
ACH-001368,-0.262608075011
ACH-001374,-0.253108703191
ACH-001375,-0.38078002854099996
ACH-001377,-0.196775000346
ACH-001380,-0.312059151125
ACH-001391,-0.285160255933
ACH-001407,-0.269711770131
ACH-001408,-0.378284579296
ACH-001413,-0.539788805494
ACH-001430,-0.350419965876
ACH-001431,-0.183368697012
ACH-001450,-0.0785025447783
ACH-001496,-0.397380340514
ACH-001500,-0.174680944712
ACH-001521,-0.25356893006
ACH-001523,-0.26150559319
ACH-001532,-0.269808300243
ACH-001536,-0.284930572787
ACH-001550,-0.138780025093
ACH-001552,-0.612380135175
ACH-001554,-0.264831703582
ACH-001645,-0.24094263528499998
ACH-001654,-0.265448350951
ACH-001715,-0.026170739080599997
ACH-001735,-0.193635230264
ACH-001736,-0.32876840581
ACH-001737,-0.24357580159000003
ACH-001740,-0.321370517669
ACH-001745,-0.31636312058000005
ACH-001750,-0.236234231257
ACH-001765,-0.16736819628
ACH-001956,-0.171059864157
ACH-001957,-0.14136797269200002
