,PSMD4 (5710)
ACH-001301,-1.5198660976299998
ACH-001302,-1.60610343757
ACH-001303,-1.19621672231
ACH-001306,-1.69914151813
ACH-001318,-1.4708904958899998
ACH-001322,-1.5571500659600002
ACH-001328,-1.26900411412
ACH-001332,-1.31151871127
ACH-001333,-1.31871895983
ACH-001336,-1.47438265889
ACH-001340,-1.4106306259
ACH-001346,-1.33913920701
ACH-001353,-1.6247270540399998
ACH-001354,-1.11155841101
ACH-001367,-1.53694289947
ACH-001368,-1.5058812804100001
ACH-001374,-1.7055798866499998
ACH-001375,-1.59973586563
ACH-001377,-1.35727805933
ACH-001380,-1.37489821354
ACH-001391,-1.17931207919
ACH-001407,-1.57951640271
ACH-001408,-1.33902660788
ACH-001413,-1.29384724755
ACH-001430,-1.41899092152
ACH-001431,-1.19674276789
ACH-001450,-1.5414439088499998
ACH-001496,-1.4995523872
ACH-001500,-1.36597060472
ACH-001521,-1.4307294206
ACH-001523,-1.04610685627
ACH-001532,-1.62312278292
ACH-001536,-1.4492922443
ACH-001550,-1.4750042444999998
ACH-001552,-1.4626095274000002
ACH-001554,-1.4224227380599999
ACH-001645,-1.43793657035
ACH-001654,-1.46824538631
ACH-001715,-1.4328238324
ACH-001735,-1.4635446907
ACH-001736,-1.5497819236300001
ACH-001737,-1.8326526068400002
ACH-001740,-1.01254668547
ACH-001745,-1.4374675946000002
ACH-001750,-1.37000559896
ACH-001765,-1.4152038207
ACH-001956,-1.1040134664799999
ACH-001957,-1.1789019041600002
