,IFIT1B (439996)
ACH-000159,-0.025566952105200002
ACH-000160,-0.226642522031
ACH-000163,-0.109708233346
ACH-000167,0.0183889435882
ACH-000168,-0.0192280866489
ACH-000169,-0.0818673445638
ACH-000178,0.0500271098835
ACH-000182,-0.0246097943493
ACH-000183,0.228868621434
ACH-000188,-0.113470716971
ACH-000189,-0.18466987614
ACH-000190,-0.10479576678300001
ACH-000198,0.018198558757099997
ACH-000204,-0.0276347681893
ACH-000206,0.045245452800199995
ACH-000207,-0.140713328227
ACH-000211,-0.126895342705
ACH-000215,0.0120218984171
ACH-000221,0.124372390974
ACH-000222,0.0394865362604
ACH-000223,-0.16588667299499998
ACH-000226,0.037081145989300006
ACH-000227,-0.234345356847
ACH-000228,-0.169960963035
ACH-000231,-0.11665948173
ACH-000232,-0.0433655925309
ACH-000233,0.015586319442
ACH-000234,-0.069586412862
ACH-000235,0.00401006371177
ACH-000237,-0.11403563120600001
ACH-000238,0.0539791636215
ACH-000243,-0.0742838055983
ACH-000244,-0.157244400264
ACH-000246,0.0136161278635
ACH-000248,-0.08043881584389999
ACH-000250,-0.0641117520275
ACH-000251,-0.0429936787471
ACH-000253,-0.093801931524
ACH-000255,-0.167676689096
ACH-000256,-0.20250511888599998
ACH-000257,0.0730470556152
ACH-000258,-0.142675371678
ACH-000259,-0.021520725289599998
ACH-000260,0.0388662375085
ACH-000261,-0.020093094368900003
ACH-000262,-0.146925836145
ACH-000263,-0.165761283718
ACH-000264,-0.033211271189799996
ACH-000265,-0.194915681017
ACH-000266,-0.037364829219699996
ACH-000272,0.005532258827109999
ACH-000273,-0.0585167304672
ACH-000274,0.10124238292099999
ACH-000277,-0.0671879883303
ACH-000278,-0.044454740335099996
ACH-000279,0.0334684016791
ACH-000280,-0.0965246485341
ACH-000281,-0.0162758952911
ACH-000288,-0.034106960071
ACH-000291,0.0912806537102
ACH-000293,-0.0913294923577
ACH-000294,0.025566486308900002
ACH-000295,-0.07247876319060001
ACH-000296,0.09609123855799999
ACH-000302,-0.0935538664161
ACH-000304,0.09686045321720001
