,PABPC1L (80336)
ACH-000542,0.0039209246041
ACH-000544,-0.0025076565561999997
ACH-000545,0.00619816347491
ACH-000547,-0.188527291926
ACH-000548,-0.0101044718175
ACH-000549,0.0678116865385
ACH-000550,-0.058632809332099994
ACH-000552,0.050527772597900006
ACH-000556,-0.0677410088731
ACH-000557,-0.147783410678
ACH-000570,-0.0621767905892
ACH-000571,0.0789217739656
ACH-000573,-0.06425427165019999
ACH-000576,0.137128451149
ACH-000580,-0.122556562034
ACH-000584,0.0937762470483
ACH-000585,0.127498072829
ACH-000588,0.14533006483799998
ACH-000589,-0.06532068412190001
ACH-000591,-0.0231741207098
ACH-000593,0.008785508585229999
ACH-000600,-0.09973321252289999
ACH-000601,-0.103881898084
ACH-000604,-0.0765781899175
ACH-000605,-0.159850037573
ACH-000606,-0.00704423078846
ACH-000608,-0.0070230816088999995
ACH-000614,-0.40135868449
ACH-000616,-0.040872812803500004
ACH-000618,0.026757593980799996
ACH-000619,0.0255066119082
ACH-000620,0.0642987028844
ACH-000621,0.13499903709
ACH-000622,-0.06325052976430001
ACH-000623,-0.037742698588
ACH-000624,-0.0066484707964
ACH-000627,-0.149661567576
ACH-000630,0.209386957038
ACH-000632,0.07477350766739999
ACH-000633,-0.132197579749
ACH-000637,0.0684141698882
ACH-000638,-0.0188459682225
ACH-000646,-0.0211655813998
ACH-000647,0.110132681187
ACH-000648,-0.046718079238
ACH-000649,-0.068978711075
ACH-000651,-0.129470574675
ACH-000652,0.0504507792103
ACH-000653,0.23373872375500002
ACH-000657,-0.226764687191
ACH-000658,-0.026358215712599997
ACH-000661,-0.061554738643
ACH-000662,0.0164934139127
ACH-000663,-0.0571594213845
ACH-000665,-0.128550789547
ACH-000671,-0.22315635070700002
ACH-000673,-0.03135413134559999
ACH-000676,-0.018120089636599997
ACH-000677,-0.047142386321400005
ACH-000681,-0.0955630014832
ACH-000682,-0.0450403950535
ACH-000683,-0.056706664823000005
ACH-000684,-0.140682377615
ACH-000688,-0.243232186219
ACH-000693,0.048734118535900005
ACH-000694,-0.0160865200004
ACH-000695,0.0551944459
ACH-000696,-0.0301566371806
ACH-000697,-0.173798549239
ACH-000699,0.017617727256799998
ACH-000701,-0.201907796198
ACH-000706,0.0394800273981
ACH-000711,-0.0254487069822
ACH-000713,-0.41421937064400005
ACH-000714,-0.08374131682989999
ACH-000718,-0.153167481623
ACH-000720,-0.112801315322
ACH-000721,-0.0642497281856
ACH-000724,0.22273167254
ACH-000725,0.0162488387829
ACH-000732,-0.258575944613
ACH-000734,0.16137260383899998
ACH-000735,-0.09928398947339999
ACH-000736,0.12620204149
ACH-000738,-0.0234690797296
ACH-000746,-0.048213893718
ACH-000747,-0.05062657086590001
ACH-000748,-0.167530289674
ACH-000753,0.071701273335
ACH-000756,0.170049262718
ACH-000757,-0.040314559442099995
ACH-000758,-0.32088247449499996
ACH-000760,-0.0498358287955
ACH-000763,0.252301175512
ACH-000764,0.203815747876
ACH-000765,0.133995232868
ACH-000766,0.0626095615392
ACH-000767,-0.0727906409868
ACH-000768,0.0563715442129
ACH-000769,0.055962152525199996
ACH-000770,0.13756075174000001
ACH-000771,0.0139508533079
ACH-000773,0.116541752639
ACH-000776,0.126401692554
ACH-000777,-0.0172759700843
ACH-000778,-0.0802793914469
ACH-000781,-0.16756016686
ACH-000782,0.136971394918
ACH-000783,0.0801145376602
ACH-000784,-0.0387159016805
ACH-000785,0.052882249627
ACH-000787,-0.09576268510389999
ACH-000788,-0.113110534023
ACH-000791,0.0584726453572
ACH-000792,0.041872074411499996
ACH-000794,0.00900012547584
ACH-000796,-0.206886773813
ACH-000799,-0.26755736124699997
ACH-000800,0.08969497153619999
ACH-000802,0.105177884729
ACH-000804,0.08745830230360001
ACH-000805,-0.145293978267
ACH-000809,0.06504304976610001
ACH-000810,0.0831842489936
ACH-000811,-0.10550408355900001
ACH-000817,0.349127761001
ACH-000819,0.12235543533299999
ACH-000820,0.272613282684
ACH-000821,0.083023992525
ACH-000822,-0.200362942566
ACH-000823,-0.0744318053989
ACH-000824,0.015345170143600002
ACH-000827,-0.102623881513
ACH-000829,0.116481097298
ACH-000831,-0.028416600247299997
ACH-000832,-0.07444412045439999
ACH-000833,0.0182050504121
ACH-000834,-0.14884358042600002
ACH-000835,0.07917981613589999
ACH-000836,-0.129854455243
ACH-000837,-0.05633481984619999
ACH-000838,0.149028200503
ACH-000839,-0.0404824248104
ACH-000840,-0.08183842167510001
ACH-000841,-0.0641022680785
ACH-000843,0.125073243986
ACH-000846,0.233561711409
ACH-000847,-0.130835601164
ACH-000848,-0.18159189074
ACH-000849,0.0384343472436
ACH-000851,-0.188666069586
ACH-000855,0.128793532557
ACH-000856,-0.0678797448345
ACH-000858,-0.06724836526240001
ACH-000859,-0.152100547239
ACH-000861,0.19107251462299998
ACH-000862,0.132394151189
ACH-000865,0.0702687631354
ACH-000866,0.0376983135547
ACH-000867,-0.131064051716
ACH-000869,-0.150318337533
ACH-000872,0.0070004588753800005
ACH-000873,0.143252814057
ACH-000876,0.0296732810965
ACH-000878,-0.120715833509
ACH-000880,0.11380352697000001
ACH-000881,0.025853740523599997
ACH-000882,-0.10847707377900001
ACH-000884,-0.08925090181220001
ACH-000885,-0.0773152515848
ACH-000887,0.112177237234
ACH-000888,-0.21466310745
ACH-000889,0.04796053290709999
ACH-000890,-0.11351494090299999
ACH-000896,0.00032286452074299995
ACH-000898,-0.0670092468875
ACH-000900,-0.144440090253
ACH-000901,-0.0898449512483
ACH-000905,0.03919244306630001
ACH-000906,-0.0322781839018
ACH-000907,-0.0104515510609
ACH-000910,0.07797676191660001
ACH-000911,-0.05188274809309999
ACH-000912,-0.12161253994200001
ACH-000913,-0.0906587286213
ACH-000915,0.008264371654760001
ACH-000916,0.383628807904
ACH-000917,-0.0142777486241
ACH-000921,-0.0109015309046
ACH-000924,0.055749552043699996
ACH-000926,0.0908655722624
ACH-000928,-0.08234737286439998
ACH-000929,0.011875434998000001
ACH-000932,0.000168027971468
ACH-000935,0.0497564166553
ACH-000936,0.0157505767722
ACH-000937,-0.07225211261339999
ACH-000938,-0.0013412220308700001
ACH-000939,-0.150355666936
ACH-000941,-0.0636755281979
ACH-000943,-0.0751473336712
ACH-000946,0.0459861864671
ACH-000947,-0.016375728154
ACH-000948,-0.04626563513450001
ACH-000950,-0.149464124201
ACH-000953,-0.031803626048900004
ACH-000957,0.0995175783322
ACH-000958,0.184593500978
ACH-000960,0.0743021681181
ACH-000963,-0.0288959033385
ACH-000968,0.00152431339949
ACH-000969,0.0932978892796
ACH-000973,-0.0885715881378
ACH-000974,0.0753189757396
ACH-000975,-0.0331352091
ACH-000976,-0.00718267822547
ACH-000978,-0.0686311010772
ACH-000980,-0.029573260866
ACH-000984,-0.051980446461199994
ACH-000986,0.0033393107322800004
ACH-000988,-0.189745857683
ACH-000993,-0.15880543758500001
ACH-000994,-0.179743112718
ACH-000996,-0.343393586167
ACH-001001,0.029429232854599998
ACH-001020,0.243694486808
ACH-001028,-0.149782033457
ACH-001031,-0.0630734749251
ACH-001038,-0.13835414193099999
ACH-001048,-0.0288665642246
ACH-001050,0.0553979823157
ACH-001053,0.272717950647
ACH-001054,0.0659237855636
ACH-001061,0.051295292026699996
ACH-001067,-0.127657339055
ACH-001075,-0.0784318352968
ACH-001096,0.00314143744237
ACH-001128,-0.06348586768419999
ACH-001134,0.110725961326
ACH-001151,0.032920091328699996
ACH-001163,-0.0809716039424
ACH-001164,-0.150657738871
ACH-001173,0.0342891122041
ACH-001183,-0.0118577713294
ACH-001184,0.06355399518299999
ACH-001190,0.0807963382091
ACH-001192,-0.0440010506401
ACH-001193,0.22111979480399999
ACH-001196,-0.127559800118
ACH-001197,-0.0293924297994
ACH-001205,-0.0970299034053
ACH-001211,-0.125328136352
ACH-001212,-0.04223385898569999
ACH-001228,-0.106574606164
ACH-001232,-0.104350257085
ACH-001239,-0.128334551006
ACH-001274,-0.195958590202
ACH-001275,0.0629954506683
ACH-001277,0.15412376875
ACH-001278,0.106498140393
ACH-001280,0.0367316342326
ACH-001283,0.137049383369
ACH-001289,0.0429037101495
ACH-001295,-0.037426937590300004
ACH-001300,0.101836272517
ACH-001301,0.0632014725304
ACH-001302,0.184791220346
ACH-001303,-0.106597832562
ACH-001306,-0.062152458778
ACH-001318,0.105183702797
ACH-001322,0.0521682130247
ACH-001328,0.013417488888
ACH-001332,-0.143076447638
ACH-001333,0.0167742130175
ACH-001336,0.24163164305799997
ACH-001340,-0.042252872609299996
ACH-001346,-0.00369578397317
ACH-001353,0.006421377248260001
ACH-001354,0.07101798095869999
ACH-001367,0.00818952544522
ACH-001368,-0.189982566613
ACH-001374,-0.502885704361
ACH-001375,0.236946495385
ACH-001377,-0.150033456129
ACH-001380,-0.0214837154677
ACH-001391,-0.392282297588
ACH-001407,0.07762070191460001
ACH-001408,-0.0246615179079
ACH-001413,0.0571851149258
ACH-001430,-0.0023816002761
ACH-001431,-0.061341800924199996
ACH-001450,0.1840859723
ACH-001496,0.050388455943300006
ACH-001500,-0.316073539776
ACH-001521,0.00496878517302
ACH-001523,-0.045880819838
ACH-001532,-0.0171706110357
ACH-001536,-0.09127407915689999
ACH-001550,-0.0244908065136
ACH-001552,0.20232249947900002
ACH-001554,-0.07804396987110002
ACH-001645,0.0398503366467
ACH-001654,-0.048372079683300005
ACH-001715,-0.319696994117
ACH-001735,0.0442446446359
ACH-001736,-0.0026286316971399996
ACH-001737,0.219213473902
ACH-001740,0.128564419732
ACH-001745,0.0550122752932
ACH-001750,-0.157847829027
ACH-001765,0.0739655239677
ACH-001956,-0.0620323339291
ACH-001957,0.04513678776650001
