,VSIG10 (54621)
ACH-001061,0.0815539526976
ACH-001067,0.007398991824819999
ACH-001075,-0.017669137309700003
ACH-001096,0.00755781270458
ACH-001128,0.022879113470200003
ACH-001134,-0.296240044414
ACH-001151,-0.08433369426719999
ACH-001163,-0.149413270028
ACH-001164,0.114378834559
ACH-001173,-0.0524983336247
ACH-001183,-0.159779717523
ACH-001184,0.149321595429
ACH-001190,-0.11337630906400001
ACH-001192,-0.0337685015198
ACH-001193,-0.109649412753
ACH-001196,-0.11697765716399999
ACH-001197,-0.15159915474400001
ACH-001205,0.06520236076330001
ACH-001211,-0.11901566597100001
ACH-001212,0.0517073638829
ACH-001228,-0.036328047009
ACH-001232,-0.08616398780580001
ACH-001239,-0.215058722018
ACH-001274,0.00011359528619299999
ACH-001275,0.16909422188999998
ACH-001277,0.139859730715
ACH-001278,0.12345245978599999
ACH-001280,0.0631043627914
ACH-001283,0.0738197258033
ACH-001289,0.0596002141462
ACH-001295,-0.0022914305907600005
ACH-001300,-0.027049343347099995
ACH-001301,-0.313944300328
ACH-001302,0.0396068517611
ACH-001303,0.050417330694699995
ACH-001306,-0.153700793125
ACH-001318,-0.20217523224300002
ACH-001322,-0.0712506129223
ACH-001328,-0.0591049536117
ACH-001332,-0.0159047816262
ACH-001333,-0.106398150682
ACH-001336,0.062261751204199994
ACH-001340,-0.0265000136245
ACH-001346,0.0612804083689
ACH-001353,-0.0681834337411
ACH-001354,-0.0317255057863
ACH-001367,-0.0596842064425
ACH-001368,-0.00011544255387700001
ACH-001374,-0.10053556593
ACH-001375,-0.205700485452
ACH-001377,-0.160155013662
ACH-001380,-0.021615766018400002
ACH-001391,-0.20097699032000002
ACH-001407,-0.06283490575299999
ACH-001408,-0.282838329027
ACH-001413,-0.19869161843
ACH-001430,-0.0429685775515
ACH-001431,-0.296980193565
ACH-001450,-0.20910623844700002
ACH-001496,-0.031250226330400005
ACH-001500,0.0994341653808
ACH-001521,-0.305076307845
ACH-001523,-0.10309242923499999
ACH-001532,-0.08397840068910001
ACH-001536,0.100939061179
ACH-001550,-0.0517305633818
ACH-001552,-0.10985276245200001
ACH-001554,-0.0168476148043
ACH-001645,-0.178467686877
ACH-001654,0.016870341804599998
ACH-001715,-0.0147980244582
ACH-001735,-0.0547522696347
ACH-001736,-0.24472428567200002
ACH-001737,0.030877283873
ACH-001740,-0.059025630996
ACH-001745,0.0150757261459
ACH-001750,-0.0276289539389
ACH-001765,-0.191821575866
ACH-001956,-0.190669095335
ACH-001957,-0.025440814780599997
