,UXS1 (80146)
ACH-000753,-1.0855367120100001
ACH-000756,-0.286854978059
ACH-000757,-0.505076723091
ACH-000758,-0.46470767747
ACH-000760,-0.555370576846
ACH-000763,-0.445406494735
ACH-000764,-0.397139367925
ACH-000765,-0.451941041065
ACH-000766,-1.40333014625
ACH-000767,-0.499641877342
ACH-000768,-0.354172902516
ACH-000769,-0.48808473557
ACH-000770,-0.994629353375
ACH-000771,-0.208178124738
ACH-000773,-0.319410554108
ACH-000776,-0.30929875934
ACH-000777,-0.49575013158500003
ACH-000778,-0.416183583266
ACH-000781,-1.23274008448
ACH-000782,-0.343196104974
ACH-000783,-0.415444160533
ACH-000784,-0.332503205398
ACH-000785,-1.71606716364
ACH-000787,-0.871029944543
ACH-000788,-0.549896643535
ACH-000791,-0.776583918625
ACH-000792,-0.323162779454
ACH-000794,-0.500620402442
ACH-000796,-0.598974354351
ACH-000799,-0.517351631048
ACH-000800,-0.7043881267800001
ACH-000802,-0.35164572342699996
ACH-000804,-0.517714165515
ACH-000805,-0.139742223774
ACH-000809,-0.47135331177199996
ACH-000810,-0.328972767443
ACH-000811,-0.23615446748000005
ACH-000817,-0.751951167413
ACH-000819,-0.49922962609
ACH-000820,-0.40619017749700004
ACH-000821,-0.429070166592
ACH-000822,-0.872543107384
ACH-000823,-0.299566754759
ACH-000824,-0.20292947951200002
ACH-000827,-0.369426560635
ACH-000829,-0.46612688852899997
ACH-000831,-0.558463660394
ACH-000832,-0.580436272099
ACH-000833,-0.282961295548
ACH-000834,-0.6488786139399999
ACH-000835,-0.534812678696
ACH-000836,-0.554501226461
ACH-000837,-1.02464823433
ACH-000838,-0.615891808773
ACH-000839,-0.24119316586
ACH-000840,-0.0913804357956
ACH-000841,-0.653486757327
ACH-000843,-0.7863640130830001
ACH-000846,-0.355204610759
ACH-000847,-0.46330774095700006
ACH-000848,-0.431523180266
ACH-000849,-0.560145860629
ACH-000851,-0.39901833843199996
ACH-000855,-0.348532653821
ACH-000856,-0.749348992398
ACH-000858,-0.492186961287
ACH-000859,-0.942608182519
ACH-000861,-0.38853633886100003
ACH-000862,-0.680256185785
ACH-000865,-0.505602349005
ACH-000866,-0.752140252105
ACH-000867,-0.451845084846
ACH-000869,-0.41297837162
ACH-000872,-0.856481441137
ACH-000873,-0.79430050881
ACH-000876,-1.9214938592900002
ACH-000878,-0.24936108016699998
ACH-000880,-1.1048745588
ACH-000881,-0.347466868337
ACH-000882,-0.6710384065739999
ACH-000884,-0.359087273235
ACH-000885,-0.658089906203
ACH-000887,-0.40774466550899996
ACH-000888,-1.6443408321200002
ACH-000889,-0.481837162371
ACH-000890,-0.385581160392
ACH-000896,-0.596668156138
ACH-000898,-1.53788352562
ACH-000900,-0.501479164473
ACH-000901,-0.101918516226
ACH-000905,-0.380315714775
ACH-000906,-0.382797423199
ACH-000907,-0.433556422821
ACH-000910,-0.7203232754180001
ACH-000911,-0.302878345391
ACH-000912,-0.465353956576
ACH-000913,-0.521390436822
ACH-000915,-0.424212240788
ACH-000916,-0.848200961847
ACH-000917,-0.44330653017800004
ACH-000921,-0.814563775315
ACH-000924,-0.8832838208310001
ACH-000926,-0.32820119124
ACH-000928,-0.8232319209540001
ACH-000929,-0.968512973136
ACH-000932,-1.1568059029100002
ACH-000935,-0.41292808830300004
ACH-000936,-0.57839263849
ACH-000937,-0.6640987953840001
ACH-000938,-0.721327447609
ACH-000939,-0.41622227278800006
ACH-000941,-0.662923380826
ACH-000943,-0.7509004623890001
ACH-000946,-1.00186894275
ACH-000947,-0.499875477196
ACH-000948,-0.8777070434919999
ACH-000950,-0.7467588943729999
ACH-000953,-0.348960903291
ACH-000957,-0.55126205874
ACH-000958,-0.644315501594
ACH-000960,-0.5420190460100001
ACH-000963,-0.531500194307
ACH-000968,-0.330846383663
ACH-000969,-0.5929452436770001
ACH-000973,-0.565281190435
ACH-000974,-1.0352771864599999
ACH-000975,-0.8135120745000001
ACH-000976,-0.24657180283100003
ACH-000978,-0.548462082518
ACH-000980,-0.373646652841
ACH-000984,-0.356982462982
ACH-000986,-0.6312240658389999
ACH-000988,-0.686136356558
ACH-000993,-0.858650297513
ACH-000994,-0.631981117134
ACH-000996,-0.34237706307899995
ACH-001001,-0.311205148149
ACH-001020,-0.163643359553
ACH-001028,-0.5211667280110001
ACH-001031,-0.5212358813660001
ACH-001038,-0.546836557948
ACH-001048,-0.8554932598839999
ACH-001050,-0.445535734493
ACH-001053,-0.29493136106400003
ACH-001054,-0.6805470859970001
ACH-001061,-1.17156316296
ACH-001067,-0.658872596842
ACH-001075,-0.590493614903
ACH-001096,-0.20276082938
ACH-001128,-0.39625082478699997
ACH-001134,-0.670044192553
ACH-001151,-1.46256531464
ACH-001163,-0.879970415635
ACH-001164,-0.491994928287
ACH-001173,-0.415193348014
ACH-001183,-0.288711193099
ACH-001184,-0.232918702163
ACH-001190,-0.7840666566310001
ACH-001192,-0.515350247647
ACH-001193,-0.46123188612099997
ACH-001196,-0.636417437882
ACH-001197,-0.177527312333
ACH-001205,-0.688264229212
ACH-001211,-0.7622947656569999
ACH-001212,-0.552179159231
ACH-001228,-0.272880743153
ACH-001232,-0.32288607589699997
ACH-001239,-0.452958417919
ACH-001274,-0.978423313018
ACH-001275,-0.562095881656
ACH-001277,-0.339803800827
ACH-001278,-0.846698353134
ACH-001280,-0.356687956916
ACH-001283,-0.337775997138
ACH-001289,-0.6538277327049999
ACH-001295,-0.39707406606600004
ACH-001300,-0.303924249756
ACH-001301,-0.20942367469099998
ACH-001302,-0.337004256225
ACH-001303,-0.338190279767
ACH-001306,-0.262418486608
ACH-001318,-0.668409529799
ACH-001322,-0.312007843796
ACH-001328,-0.480659033322
ACH-001332,-0.542881019521
ACH-001333,-0.546123624645
ACH-001336,-0.359807311256
ACH-001340,-0.41740444105700003
ACH-001346,-0.496297163999
ACH-001353,-0.22070293031100002
ACH-001354,-0.831556551952
ACH-001367,-0.631618954205
ACH-001368,-1.0587417548
ACH-001374,-0.0315746759524
ACH-001375,-0.499796554331
ACH-001377,-0.486353240654
ACH-001380,-1.1494707809
ACH-001391,-0.400701801368
ACH-001407,-0.9589064948010001
ACH-001408,-1.11158371454
ACH-001413,-0.517876217716
ACH-001430,-0.453260456702
ACH-001431,-0.58545396152
ACH-001450,-0.140393410773
ACH-001496,-0.929913586661
ACH-001500,-0.278914227443
ACH-001521,-0.27251875364
ACH-001523,-0.50556163255
ACH-001532,-0.8718747300299999
ACH-001536,-0.489144251827
ACH-001550,-0.46310106178000005
ACH-001552,-0.205264733277
ACH-001554,-0.619182194059
ACH-001645,-0.36252397242299994
ACH-001654,-0.418963097409
ACH-001715,-0.490804705492
ACH-001735,-0.362108923144
ACH-001736,-0.49676006751400004
ACH-001737,-1.15575634941
ACH-001740,-0.276264909482
ACH-001745,-0.264738671045
ACH-001750,-0.268713967582
ACH-001765,-0.367723477094
ACH-001956,-0.700939976038
ACH-001957,-0.865255508013
