,ZBTB16 (7704)
ACH-000767,-0.348126929036
ACH-000768,0.19735806741999998
ACH-000769,0.019182214144500002
ACH-000770,0.148926750829
ACH-000771,0.21836778446999996
ACH-000773,0.28740592613000004
ACH-000776,0.178108491807
ACH-000777,0.09441611995789999
ACH-000778,0.145508937613
ACH-000781,0.0399055165004
ACH-000782,-0.180591829406
ACH-000783,0.0976060315821
ACH-000784,0.15308468460000002
ACH-000785,0.006248481447159999
ACH-000787,0.253993137163
ACH-000788,0.16667522063100002
ACH-000791,0.10846338565199999
ACH-000792,0.0383734623125
ACH-000794,0.117573267041
ACH-000796,0.162576532876
ACH-000799,0.241209193541
ACH-000800,0.367515449098
ACH-000802,0.23068834021600002
ACH-000804,0.055818599265099994
ACH-000805,0.153839043924
ACH-000809,0.038724741744800006
ACH-000810,0.377295144155
ACH-000811,0.284556473307
ACH-000817,0.17080540079999998
ACH-000819,0.116991887764
ACH-000820,0.16069531243
ACH-000821,0.100916964023
ACH-000822,0.123599217563
ACH-000823,0.156188287505
ACH-000824,0.161233596305
ACH-000827,0.172141892327
ACH-000829,0.0659168648128
ACH-000831,-0.13555260503900002
ACH-000832,0.27881509677
ACH-000833,0.2300031075
ACH-000834,0.219951219401
ACH-000835,0.158082559619
ACH-000836,0.631416832114
ACH-000837,0.014521335977100001
ACH-000838,0.0566189015555
ACH-000839,0.17358152776500002
ACH-000840,-0.112030528147
ACH-000841,0.137323828851
ACH-000843,0.110657466853
ACH-000846,0.116246481446
ACH-000847,0.13278877024
ACH-000848,0.072745093779
ACH-000849,0.197454888904
ACH-000851,0.0464988527346
ACH-000855,0.331096884829
ACH-000856,-0.015963974265
ACH-000858,0.261688108391
ACH-000859,0.150387543643
ACH-000861,0.060420817215
ACH-000862,0.0168498172119
ACH-000865,0.165404040082
ACH-000866,0.168487665456
ACH-000867,0.16772853125999998
ACH-000869,-0.0174419992613
ACH-000872,0.153736273716
ACH-000873,-0.0639489577661
ACH-000876,0.192859455992
ACH-000878,-0.09819839815999999
ACH-000880,0.12151728998500001
ACH-000881,0.032327031142500004
ACH-000882,0.012677110441100002
ACH-000884,0.00889626145558
ACH-000885,0.156079128429
