,FGGY (55277)
ACH-000867,0.16194668695599998
ACH-000869,0.09655252515339999
ACH-000872,-0.0688547869517
ACH-000873,0.122276815746
ACH-000876,0.0484404820854
ACH-000878,0.17578638768399998
ACH-000880,0.172298723161
ACH-000881,0.19200080588100002
ACH-000882,0.263333736037
ACH-000884,0.0493787303005
ACH-000885,0.00431205314972
ACH-000887,0.0792471263619
ACH-000888,0.21700515317
ACH-000889,0.029733187087300002
ACH-000890,0.15565309310699998
ACH-000896,0.052343044254800006
ACH-000898,0.15395102314
ACH-000900,0.144335640632
ACH-000901,0.141145069496
ACH-000905,0.08805280284980001
ACH-000906,0.100242129955
ACH-000907,0.278155539174
ACH-000910,0.0964882908907
ACH-000911,0.210352774287
ACH-000912,0.061573070895
ACH-000913,0.18495459817899998
ACH-000915,0.195095402331
ACH-000916,0.152766131403
ACH-000917,0.104653432397
ACH-000921,0.066534741858
ACH-000924,0.116279148611
ACH-000926,0.0693631389036
ACH-000928,-0.0204935530717
ACH-000929,0.12972504332499998
ACH-000932,0.0791905410877
ACH-000935,-0.09336662739289998
ACH-000936,0.0836198408437
ACH-000937,0.11177430349000002
ACH-000938,0.15160406693700001
ACH-000939,0.09316267036
ACH-000941,0.09904908824410001
ACH-000943,0.0588071061551
ACH-000946,0.0652650349402
ACH-000947,0.115593402012
ACH-000948,0.07381526263619999
ACH-000950,-0.0536948706109
ACH-000953,-0.029314210218099997
ACH-000957,0.143593693728
ACH-000958,0.176825995683
ACH-000960,0.09261788517169998
ACH-000963,0.026953998652400002
ACH-000968,0.134778776191
ACH-000969,-0.022549236997599996
ACH-000973,0.120318166814
ACH-000974,0.026808536534199998
ACH-000975,0.00477379488318
ACH-000976,0.0302073048921
ACH-000978,0.05600754654350001
ACH-000980,0.120375435128
ACH-000984,0.065467476146
ACH-000986,-0.120687318133
ACH-000988,0.0904979413559
ACH-000993,0.147959853307
ACH-000994,0.26275580991700004
ACH-000996,0.102047382439
ACH-001001,0.0600158594823
ACH-001020,0.327537746609
ACH-001028,0.0194680624599
ACH-001031,0.15125912100400002
