,LAD1 (3898)
ACH-000840,-0.219648141406
ACH-000841,0.161754064245
ACH-000843,0.146138753413
ACH-000846,0.171964258202
ACH-000847,0.009791558948860002
ACH-000848,-0.023807034665700003
ACH-000849,0.00540101638976
ACH-000851,0.0199347866913
ACH-000855,0.26410829515
ACH-000856,0.15657144600099998
ACH-000858,-0.017299774004200002
ACH-000859,0.005276167257260001
ACH-000861,0.0826989016598
ACH-000862,0.048460618146500004
ACH-000865,0.07659622531989999
ACH-000866,0.0499743406176
ACH-000867,0.045581746701
ACH-000869,-0.0505101585566
ACH-000872,0.07485041294969999
ACH-000873,-0.07650027431010001
ACH-000876,-0.129685767398
ACH-000878,0.124358378748
ACH-000880,0.0873080814149
ACH-000881,0.0517718592508
ACH-000882,0.054150443947400005
ACH-000884,0.0849712020885
ACH-000885,0.05001841626569999
ACH-000887,0.026303268062900002
ACH-000888,0.009077771869129999
ACH-000889,0.0632403576248
ACH-000890,0.139946839196
ACH-000896,0.078380253367
ACH-000898,0.22845685171
ACH-000900,-0.050534895143200004
ACH-000901,0.024940344622400003
ACH-000905,-0.0446007440142
ACH-000906,-0.015235514936899999
ACH-000907,-0.060893642516999996
ACH-000910,0.05998418964959999
ACH-000911,0.0864672754293
ACH-000912,-0.047591830548
ACH-000913,0.107449545073
ACH-000915,0.0642717984533
ACH-000916,0.237071180499
ACH-000917,0.0639591520322
ACH-000921,0.0761471348976
ACH-000924,0.153212828404
ACH-000926,0.225479476125
ACH-000928,-0.142692418741
ACH-000929,-0.0878256590849
ACH-000932,-0.00234345612869
ACH-000935,-0.09653016546610002
ACH-000936,0.0813790127533
ACH-000937,0.024527835528799998
ACH-000938,-0.042357306736
ACH-000939,0.0426413540474
ACH-000941,0.09081364124389998
ACH-000943,-0.010381420976200002
ACH-000946,0.171754483613
ACH-000947,0.0414332158097
ACH-000948,0.0275555024144
ACH-000950,0.145510967401
ACH-000953,-0.136377841306
ACH-000957,0.318653030785
ACH-000958,0.12216936307
ACH-000960,-0.14017378594799998
ACH-000963,-0.235971034006
ACH-000968,0.11175136073400001
ACH-000969,-0.00361411394318
ACH-000973,0.08217703136099999
ACH-000974,0.0263015934524
ACH-000975,0.0956323558301
ACH-000976,0.033130515831
ACH-000978,-0.34687788355
ACH-000980,0.0604161816232
ACH-000984,0.036535879442800005
ACH-000986,-0.1088000965
ACH-000988,0.108631323906
ACH-000993,0.135763490636
ACH-000994,-0.044537421913900005
ACH-000996,0.0277248863246
ACH-001001,0.104205283574
ACH-001020,-0.267774858193
ACH-001028,0.0689696755048
ACH-001031,0.114026656862
ACH-001038,-0.0836092859387
ACH-001048,0.108282435657
ACH-001050,0.040000443489000004
ACH-001053,0.0617070183692
ACH-001054,0.0571649756433
ACH-001061,-0.00784170384307
ACH-001067,-0.148154664421
ACH-001075,0.199807650053
ACH-001096,-0.253235105631
ACH-001128,0.0645855502532
ACH-001134,-0.0898032093533
ACH-001151,-0.0115387229244
ACH-001163,-0.214233143908
ACH-001164,0.320969074256
ACH-001173,0.058519060536
ACH-001183,-0.231845586464
ACH-001184,0.021959923196200003
ACH-001190,-0.0852009551273
ACH-001192,0.060320742995199995
ACH-001193,-0.159118136283
ACH-001196,0.0754811838149
ACH-001197,-0.215122730833
ACH-001205,-0.04695456265240001
ACH-001211,-0.0192444240068
ACH-001212,0.23355335694200002
ACH-001228,-0.06123909939259999
ACH-001232,0.0580566872516
ACH-001239,0.0213968303873
ACH-001274,-0.13497137497099998
ACH-001275,0.215462695846
ACH-001277,0.12085049006
ACH-001278,0.0354339490827
ACH-001280,-0.31553406777
ACH-001283,0.09944750911830001
ACH-001289,0.147333650526
ACH-001295,0.128866502445
ACH-001300,-0.0421181965286
ACH-001301,0.0658791713475
ACH-001302,0.23331448513300002
ACH-001303,0.0945618819436
ACH-001306,0.0522425252713
ACH-001318,0.0130841984396
ACH-001322,0.10735781027499999
ACH-001328,0.09576806574930001
ACH-001332,-0.21796632999
ACH-001333,0.249662303132
ACH-001336,-0.10462292705800001
ACH-001340,0.0229030102761
ACH-001346,0.0317132606773
ACH-001353,-0.023110534464500003
ACH-001354,0.19705480294
ACH-001367,0.0848493109327
ACH-001368,-0.012503562016399999
ACH-001374,0.10454015424799999
ACH-001375,0.008909401614149999
ACH-001377,0.126134129595
ACH-001380,0.126920747476
ACH-001391,0.054064710257099996
ACH-001407,0.0225227353549
ACH-001408,0.169383172462
ACH-001413,0.00126398751804
ACH-001430,-0.210626693114
ACH-001431,0.133543809751
ACH-001450,0.128656114317
ACH-001496,0.036658848570800005
ACH-001500,0.0976454061043
ACH-001521,0.207335381895
ACH-001523,0.143695316761
ACH-001532,0.104070280253
ACH-001536,0.11363585736300001
ACH-001550,0.0708913464817
ACH-001552,0.105645833953
ACH-001554,0.0109228057585
ACH-001645,0.0819723122512
ACH-001654,0.051157196742400005
ACH-001715,0.37043554305299997
ACH-001735,0.05107773793869999
ACH-001736,-0.0873771923135
ACH-001737,-0.162317507867
ACH-001740,0.0400303937351
ACH-001745,0.129039651845
ACH-001750,0.0047803078285900006
ACH-001765,0.149900827982
ACH-001956,-0.004577415102390001
ACH-001957,-0.0298338405732
