,TTLL10 (254173)
ACH-000817,-0.0545528581926
ACH-000819,-0.08038499234
ACH-000820,0.022128018044599997
ACH-000821,-0.021396163468200002
ACH-000822,-0.00622902701262
ACH-000823,0.000105405725433
ACH-000824,-0.0198165121115
ACH-000827,0.0694356049705
ACH-000829,-0.00277165358397
ACH-000831,0.0608513701168
ACH-000832,0.020716441649599997
ACH-000833,-0.11783619599000002
ACH-000834,0.041485033892800005
ACH-000835,0.0572424921527
ACH-000836,0.00174550966079
ACH-000837,-0.059515814250699996
ACH-000838,-0.0125345767374
ACH-000839,0.12725733601
ACH-000840,-0.00255953941192
ACH-000841,0.0909302334384
ACH-000843,-0.06614844053090001
ACH-000846,0.0184261916485
ACH-000847,-0.116930842761
ACH-000848,-0.089324266217
ACH-000849,0.12150301499000002
ACH-000851,0.11390121799799999
ACH-000855,-0.10667036142400001
ACH-000856,0.0482551094728
ACH-000858,0.037138018860199996
ACH-000859,-0.029900260545900004
ACH-000861,0.0984186667111
ACH-000862,0.08419569021130001
ACH-000865,0.0508805961969
ACH-000866,0.107835853587
ACH-000867,0.0351576355295
ACH-000869,0.2141847536
ACH-000872,0.0199815523472
ACH-000873,-0.0830375075125
ACH-000876,-0.08930403196429999
ACH-000878,-0.0687798048664
ACH-000880,0.123067451109
ACH-000881,0.057043002517699996
ACH-000882,-0.019793652632500002
ACH-000884,-0.172349389802
ACH-000885,0.10056229978499999
ACH-000887,0.0360878695518
ACH-000888,-0.09183578031739999
ACH-000889,-0.040006950784999995
ACH-000890,0.11628769320999999
ACH-000896,0.09619266195699999
ACH-000898,-0.00736624842679
ACH-000900,0.09117120415260001
ACH-000901,-0.110955016936
ACH-000905,0.0765136173664
ACH-000906,0.059275083270300004
ACH-000907,-0.0727670745683
ACH-000910,-0.11131529892000001
ACH-000911,0.0964839460065
ACH-000912,0.00360081939886
ACH-000913,0.0205981657872
ACH-000915,0.0613181796889
ACH-000916,-0.0017419775103900003
ACH-000917,0.237440274544
ACH-000921,0.0416578480661
ACH-000924,0.0984282700629
ACH-000926,0.166650082502
ACH-000928,-0.100397724772
ACH-000929,0.468867314537
ACH-000932,0.21225110507800002
ACH-000935,0.17330894774099997
ACH-000936,0.0534468417425
ACH-000937,-0.0170100016911
ACH-000938,0.100168996259
ACH-000939,0.012720246841799999
ACH-000941,0.150543034979
ACH-000943,0.11004998153
ACH-000946,0.0346084094534
ACH-000947,-0.0175527921319
ACH-000948,0.171718674982
ACH-000950,-0.0788457411543
ACH-000953,-0.126778456797
ACH-000957,0.10770493609699999
ACH-000958,0.27671776907900003
ACH-000960,-0.013335601126399999
ACH-000963,0.00160496673887
ACH-000968,-0.221588660165
ACH-000969,0.0266404545217
ACH-000973,-0.00909128702535
ACH-000974,-0.018889470663299997
ACH-000975,-0.08844281488299999
ACH-000976,0.106602019969
ACH-000978,-0.232947824527
ACH-000980,-0.0181267869099
ACH-000984,-0.045509412191699995
ACH-000986,-0.09754965208239999
ACH-000988,0.054469074909699995
ACH-000993,0.111766917586
ACH-000994,0.0156432876217
ACH-000996,0.0005860869563380001
ACH-001001,-0.020819216567400003
ACH-001020,0.0280163393347
ACH-001028,-0.166456940469
ACH-001031,-0.020532502683
ACH-001038,-0.0655912505817
ACH-001048,-0.0221014435646
ACH-001050,0.078891152856
ACH-001053,0.172440472304
ACH-001054,0.192215146807
ACH-001061,-0.0388763169594
ACH-001067,-0.15123447345899999
ACH-001075,0.0677058898761
ACH-001096,-0.121983763468
ACH-001128,-0.11332823567
ACH-001134,0.0205644387652
ACH-001151,0.125087716361
ACH-001163,-0.08536771210380001
ACH-001164,0.013614954620299997
ACH-001173,-0.0726040218149
ACH-001183,0.09012422124859999
ACH-001184,-0.028778783461
ACH-001190,-0.0471518383356
ACH-001192,0.09294686347310001
ACH-001193,-0.284350481062
ACH-001196,-0.204115545478
ACH-001197,-0.0347338018351
ACH-001205,0.284917321015
ACH-001211,0.0576250609038
ACH-001212,-0.18499691216800002
ACH-001228,0.10387892140100001
ACH-001232,-0.138347442304
ACH-001239,0.06904569094060001
ACH-001274,0.154813539303
ACH-001275,0.32290311247
ACH-001277,-0.026774810380099996
ACH-001278,-0.054073218886199995
ACH-001280,0.157301657417
ACH-001283,0.130849338423
ACH-001289,0.069008438906
ACH-001295,0.0158934215776
ACH-001300,-0.0442374017021
ACH-001301,0.12468126602900001
ACH-001302,-0.00752514239801
ACH-001303,0.0337048612116
ACH-001306,0.0005772709646290001
ACH-001318,0.0812080720448
ACH-001322,0.132266797506
ACH-001328,-0.18095014950999996
ACH-001332,0.11090976902
ACH-001333,0.16071455022
ACH-001336,-0.025604375833299997
ACH-001340,0.12520873018200002
ACH-001346,0.0329125263856
ACH-001353,-0.0820239895947
ACH-001354,-0.307411510153
ACH-001367,0.0700594679667
ACH-001368,-0.049731771431300004
ACH-001374,0.130115930212
ACH-001375,-0.10322464900100001
ACH-001377,0.06848823929480001
ACH-001380,0.0057805272981799995
ACH-001391,0.0359130942735
ACH-001407,0.208345087434
ACH-001408,0.0481384555882
ACH-001413,0.25671930489
ACH-001430,-0.14671996699
ACH-001431,-0.0159158137609
ACH-001450,-0.15966389472200002
ACH-001496,-0.0822114217052
ACH-001500,-0.10416292618100001
ACH-001521,-0.11104475884500001
ACH-001523,0.0770039129973
ACH-001532,0.0998710334928
ACH-001536,-0.006233312466399999
ACH-001550,-0.00697448109501
ACH-001552,-0.185524531162
ACH-001554,0.158670760277
ACH-001645,-0.031059625819700003
ACH-001654,-0.09654013455980001
ACH-001715,-0.0201009142584
ACH-001735,-0.0131974201089
ACH-001736,0.00989749966449
ACH-001737,0.235343648501
ACH-001740,-0.102203301696
ACH-001745,0.12139208947100001
ACH-001750,0.143585792764
ACH-001765,0.09596200258099999
ACH-001956,0.048472295615300004
ACH-001957,0.0976687273622
