,SCNN1D (6339)
ACH-001407,-0.0508920440032
ACH-001408,-0.226319737546
ACH-001413,0.132649953443
ACH-001430,-0.237696028807
ACH-001431,-0.480863870042
ACH-001450,-0.47977817524099997
ACH-001496,-0.269681341639
ACH-001500,-0.378598051172
ACH-001521,-0.352561816216
ACH-001523,-0.2132320266
ACH-001532,-0.199098980259
ACH-001536,-0.45232573144199995
ACH-001550,-0.145386711946
ACH-001552,-0.095769176621
ACH-001554,-0.14764829321200001
ACH-001645,-0.48602448454999997
ACH-001654,-0.12057159828500001
ACH-001715,-0.185340513072
ACH-001735,-0.29220813770799997
ACH-001736,-0.19472640686099998
ACH-001737,-0.292681205309
ACH-001740,-0.123514335825
ACH-001745,-0.306127229742
ACH-001750,-0.22262939936599999
ACH-001765,-0.0283692012485
ACH-001956,-0.222351601008
ACH-001957,-0.15763459825999998
