,PSTPIP2 (9050)
ACH-001096,0.08636962865869999
ACH-001128,0.398197409971
ACH-001134,0.24291784348200002
ACH-001151,0.0457361043267
ACH-001163,0.08566757465040001
ACH-001164,0.45523961101800003
ACH-001173,0.112133675119
ACH-001183,0.040882284955699996
ACH-001184,0.294691820475
ACH-001190,-0.0314726345485
ACH-001192,0.169115571113
ACH-001193,0.13055591509
ACH-001196,-0.0132374917522
ACH-001197,0.239826972742
ACH-001205,-0.06823365257899999
ACH-001211,0.09441670014760001
ACH-001212,0.119707613422
ACH-001228,0.22238793740600002
ACH-001232,0.0953014529445
ACH-001239,0.209243600739
ACH-001274,0.101181296103
ACH-001275,0.116916411286
ACH-001277,0.161393097299
ACH-001278,0.178813952739
ACH-001280,0.0504618522719
ACH-001283,0.16797718652199997
ACH-001289,0.21623102032400002
ACH-001295,-0.0189251006731
ACH-001300,0.0892002471995
ACH-001301,0.05519363868009999
ACH-001302,-0.0207509727423
ACH-001303,-0.127116700239
ACH-001306,0.29512613266300003
ACH-001318,0.241172546529
ACH-001322,0.264562502219
ACH-001328,0.248584796019
ACH-001332,0.155377802057
ACH-001333,0.06135373225890001
ACH-001336,0.21462250709199998
ACH-001340,0.14854479263599998
ACH-001346,0.09679399646749999
ACH-001353,0.235039234505
ACH-001354,0.0549277856384
ACH-001367,0.0799565629648
ACH-001368,0.140399965829
ACH-001374,0.33321811680999996
ACH-001375,0.104608433779
ACH-001377,0.156412462726
ACH-001380,0.159303997127
ACH-001391,0.19385791200599997
ACH-001407,-0.18281179026900002
ACH-001408,0.134244486413
ACH-001413,-0.0134094885591
ACH-001430,0.11873461147
ACH-001431,0.135731978768
ACH-001450,0.154781752416
ACH-001496,0.0748270526644
ACH-001500,0.278722919355
ACH-001521,0.0634116532584
ACH-001523,0.074556001001
ACH-001532,0.185567501353
ACH-001536,0.042210717181900004
ACH-001550,0.235970929376
ACH-001552,0.0488899807548
ACH-001554,0.0778046100941
ACH-001645,0.0619224981222
ACH-001654,0.0179143507126
ACH-001715,0.26808948329300003
ACH-001735,0.153228158798
ACH-001736,0.257142305108
ACH-001737,-0.149013922224
ACH-001740,0.26641241934099996
ACH-001745,0.133303117886
ACH-001750,0.149736109146
ACH-001765,0.145739339753
ACH-001956,0.061530058983699995
ACH-001957,-0.013972656653
