,LPPR5 (163404)
ACH-000706,-0.206610830985
ACH-000711,-0.200591800321
ACH-000713,-0.342273456274
ACH-000714,-0.024383988522299997
ACH-000718,-0.11974445840299999
ACH-000720,-0.13288970702
ACH-000721,-0.243634144606
ACH-000724,-0.09449326270910001
ACH-000725,-0.602894832572
ACH-000732,-0.0919996537447
ACH-000734,-0.39016517295500003
ACH-000735,-0.35811000887500005
ACH-000736,-0.179245692499
ACH-000738,-0.148256638467
ACH-000746,-0.194996964108
ACH-000747,-0.246047928466
ACH-000748,-0.165131544991
ACH-000753,-0.289744529868
ACH-000756,-0.263958102656
ACH-000757,-0.089325541922
ACH-000758,-0.381196817334
ACH-000760,-0.185863973655
ACH-000763,-0.217156460227
ACH-000764,-0.179659307767
ACH-000765,-0.31120229082600004
ACH-000766,0.000192072815301
ACH-000767,0.055851382306
ACH-000768,-0.00742103749647
ACH-000769,-0.240031275862
ACH-000770,-0.052452497202300004
ACH-000771,-0.117741189947
ACH-000773,-0.0013589148220899997
ACH-000776,-0.313865783957
ACH-000777,-0.310536711955
ACH-000778,-0.26704014159600004
ACH-000781,-0.178651389963
ACH-000782,-0.219856978178
ACH-000783,-0.115807790393
ACH-000784,-0.161784716428
ACH-000785,-0.192020616943
ACH-000787,-0.0618675974011
ACH-000788,-0.151731858541
ACH-000791,-0.136760590202
ACH-000792,-0.126584655184
ACH-000794,-0.118728974936
ACH-000796,-0.108854237929
ACH-000799,-0.18336506927000001
ACH-000800,-0.42388172430699994
ACH-000802,-0.13527593136
ACH-000804,-0.423972326689
ACH-000805,-0.304199412243
ACH-000809,-0.18655238789099998
ACH-000810,-0.196293815028
ACH-000811,-0.0920533569414
ACH-000817,-0.18682267019999999
ACH-000819,-0.228958732503
ACH-000820,0.023404204203900002
ACH-000821,-0.138936856255
ACH-000822,-0.19750567033500002
ACH-000823,-0.0952941405263
ACH-000824,-0.08750609246189998
ACH-000827,-0.0505423214578
ACH-000829,-0.17078705476
ACH-000831,-0.134368506935
ACH-000832,-0.249657165607
ACH-000833,-0.12265259736800001
ACH-000834,-0.0806335672771
ACH-000835,-0.190513696776
ACH-000836,-0.128838067917
ACH-000837,-0.143232355604
ACH-000838,-0.22502115380899998
ACH-000839,-0.160023840177
ACH-000840,-0.20821061444000002
ACH-000841,-0.048423079075499996
ACH-000843,-0.174357935702
ACH-000846,-0.302762281955
ACH-000847,-0.315930727003
ACH-000848,-0.131722605855
ACH-000849,-0.37691360204400004
ACH-000851,-0.376896218127
ACH-000855,-0.17382780448
ACH-000856,-0.155210397159
ACH-000858,-0.152950804982
ACH-000859,-0.20301261891300001
ACH-000861,-0.148642252739
ACH-000862,-0.0799134387736
ACH-000865,-0.328336032404
ACH-000866,-0.199650407841
