,ABCG2 (9429)
ACH-000653,0.181167050774
ACH-000657,0.142894014635
ACH-000658,0.08521561421089999
ACH-000661,0.0884334948304
ACH-000662,0.131987429792
ACH-000663,0.188758682238
ACH-000665,0.187123358252
ACH-000671,0.238146835904
ACH-000673,0.190724812307
ACH-000676,0.13155295114499999
ACH-000677,0.0626565239901
ACH-000681,0.14599366931
ACH-000682,0.167665827993
ACH-000683,0.115846789992
ACH-000684,0.19451226172699998
ACH-000688,-0.07759972229289999
ACH-000693,0.141174167874
ACH-000694,0.08118806777960001
ACH-000695,0.0220627015125
ACH-000696,0.117511236685
ACH-000697,0.08458890015170001
ACH-000699,0.23611566534200001
ACH-000701,0.186912736554
ACH-000706,0.155427664702
ACH-000711,0.178248297075
ACH-000713,0.0201323033093
ACH-000714,0.008761685362629999
ACH-000718,0.19969876107999998
ACH-000720,0.10486454059
ACH-000721,0.17328059347199998
ACH-000724,0.510537387667
ACH-000725,0.0776574261853
ACH-000732,0.0270486323229
ACH-000734,0.09312374131000001
ACH-000735,0.186353015129
ACH-000736,0.205701849692
ACH-000738,0.0648850127616
ACH-000746,0.0647630898514
ACH-000747,0.164054212776
ACH-000748,0.149799358789
ACH-000753,0.254848268831
ACH-000756,0.328436228035
ACH-000757,0.180843353124
ACH-000758,0.0787223405805
ACH-000760,0.207382656539
ACH-000763,0.369321159195
ACH-000764,-0.0363356941726
ACH-000765,0.014538117362299999
ACH-000766,0.11277161935
ACH-000767,0.141718139509
ACH-000768,0.154446817916
ACH-000769,0.023362099029599997
ACH-000770,0.16089896833200001
ACH-000771,0.12260903654300001
ACH-000773,0.230435692534
ACH-000776,0.170012622601
ACH-000777,0.0438427545773
ACH-000778,0.33618776867899997
ACH-000781,0.13531317896700001
ACH-000782,0.224914704262
ACH-000783,0.232425637672
ACH-000784,0.19804864876800002
ACH-000785,0.242637820147
ACH-000787,0.101425731662
ACH-000788,0.0289943342796
ACH-000791,0.26931713158000004
ACH-000792,0.220898553954
ACH-000794,0.023662244183400002
ACH-000796,0.0971037675206
ACH-000799,0.33849226468800003
ACH-000800,-0.00225322985802
ACH-000802,0.121014187969
ACH-000804,-0.050992358660699996
ACH-000805,-0.020628777304
ACH-000809,-0.0093343161193
ACH-000810,0.21287033835400002
ACH-000811,0.136864749272
ACH-000817,0.04719476673280001
ACH-000819,0.174959851014
ACH-000820,0.136296888684
ACH-000821,0.236630290477
ACH-000822,0.138228903968
ACH-000823,0.139906222813
ACH-000824,0.083064004973
ACH-000827,0.19270947870400001
ACH-000829,0.23129409914000001
ACH-000831,0.0980144497545
ACH-000832,0.168265942927
ACH-000833,0.00927961683744
ACH-000834,0.0128877088167
ACH-000835,0.0767480503778
ACH-000836,0.156161596776
ACH-000837,0.297296371026
ACH-000838,-0.102858288366
ACH-000839,0.177250072909
ACH-000840,0.00104164746807
ACH-000841,0.0945876159147
ACH-000843,0.0690389973316
ACH-000846,0.0217593474048
ACH-000847,0.0257782176328
ACH-000848,0.13456114992999998
ACH-000849,0.006859754160279999
ACH-000851,0.185906933948
ACH-000855,0.240897854507
ACH-000856,0.18321500818300002
ACH-000858,0.145565139324
ACH-000859,0.158219426138
ACH-000861,0.23547824290199998
ACH-000862,0.18193985435499999
ACH-000865,-0.0625035785361
ACH-000866,0.115604901116
ACH-000867,0.13950872577600001
ACH-000869,0.0282941132158
ACH-000872,0.10362970124700001
ACH-000873,0.057348364821199996
ACH-000876,-0.0040601380682600005
ACH-000878,0.310023384709
ACH-000880,0.262645235246
ACH-000881,0.159178662457
ACH-000882,0.0838284848845
ACH-000884,0.180536774653
ACH-000885,0.152490879815
ACH-000887,0.17938701670200002
ACH-000888,0.206803828484
ACH-000889,0.149010785305
ACH-000890,0.259169123284
ACH-000896,0.172598291041
ACH-000898,0.24832754233600002
ACH-000900,0.0575154300251
ACH-000901,0.135797933516
ACH-000905,0.154467124605
ACH-000906,0.143279454148
ACH-000907,0.39234897554
ACH-000910,0.12011855849400001
ACH-000911,0.22060198718899998
ACH-000912,0.0465838313222
ACH-000913,0.076062671817
ACH-000915,0.126871547426
ACH-000916,-0.026915552384599997
ACH-000917,0.0114814356259
ACH-000921,0.16347091274
ACH-000924,0.17134268877999997
ACH-000926,0.104151216231
ACH-000928,0.0858232149636
ACH-000929,0.052303518796300005
ACH-000932,0.0428663828831
ACH-000935,0.36117370167400004
ACH-000936,0.102570860153
ACH-000937,0.059822765071099994
ACH-000938,-0.0476342059886
ACH-000939,0.035207093114400005
ACH-000941,0.0211190787951
ACH-000943,0.051010832658
ACH-000946,0.26410119959199996
ACH-000947,0.22818668358600003
ACH-000948,0.0506153040176
ACH-000950,0.33124447581300004
ACH-000953,0.10945447080800001
ACH-000957,0.248683908859
ACH-000958,0.286595931649
ACH-000960,0.061246365845099994
ACH-000963,-0.00491747258075
ACH-000968,0.308106726575
ACH-000969,0.122727720975
ACH-000973,0.261909766185
ACH-000974,0.0920359746412
ACH-000975,0.120812945987
ACH-000976,0.107612990757
ACH-000978,0.24564888266100002
ACH-000980,0.10857460976700001
ACH-000984,0.064780054994
ACH-000986,0.217077723974
ACH-000988,0.147369147103
ACH-000993,0.352003223051
ACH-000994,-0.006231507256249999
ACH-000996,0.213090833405
ACH-001001,0.0866842489402
ACH-001020,-0.183254654983
ACH-001028,0.11960394511499998
ACH-001031,0.0994128696105
ACH-001038,0.07983151232039999
ACH-001048,0.0583549885728
ACH-001050,0.03627034259859999
ACH-001053,0.09782866733699999
ACH-001054,0.130972896018
ACH-001061,0.191977210758
