,LRRD1 (401387)
ACH-000890,0.029636094555500002
ACH-000896,0.0403148056542
ACH-000898,0.245979982101
ACH-000900,0.10436038183900001
ACH-000901,0.129209657397
ACH-000905,0.14929550388
ACH-000906,0.0228567526636
ACH-000907,0.123666419243
ACH-000910,0.10600443210100001
ACH-000911,0.0221270640909
ACH-000912,0.150808387127
ACH-000913,0.19344486959100002
ACH-000915,0.0522166594529
ACH-000916,-0.262445454162
ACH-000917,0.180931017922
ACH-000921,0.10117887474199999
ACH-000924,0.0786440512741
ACH-000926,0.0981172673963
ACH-000928,0.24403476610199998
ACH-000929,0.325490043572
ACH-000932,0.0904816677918
ACH-000935,0.0638227975018
ACH-000936,0.15520281304400002
ACH-000937,0.265980837787
ACH-000938,-0.0587574897233
ACH-000939,0.09862709875730001
ACH-000941,0.107836867411
ACH-000943,-0.006915496116640001
ACH-000946,0.0537008476681
ACH-000947,0.0169025859298
ACH-000948,0.017597353731500003
ACH-000950,0.179277131798
ACH-000953,0.329339322653
ACH-000957,0.011767692006600002
ACH-000958,-0.0199640234355
ACH-000960,0.0883860308409
ACH-000963,0.31706462457400003
ACH-000968,0.030466405619999998
ACH-000969,0.020204116352900002
ACH-000973,0.030216529248
ACH-000974,0.138481949177
ACH-000975,0.24706854200599998
ACH-000976,-0.13948432230900001
ACH-000978,0.240488660563
ACH-000980,0.0847549491717
ACH-000984,0.139739265243
ACH-000986,-0.046937118469000005
ACH-000988,0.0743138012869
ACH-000993,0.20522698768199998
ACH-000994,0.20219869570799998
ACH-000996,0.333688971581
ACH-001001,0.0608251374149
ACH-001020,0.0575479870213
ACH-001028,0.09555266071599999
ACH-001031,0.020158906946599997
ACH-001038,0.00904410748934
ACH-001048,0.06285243887280001
ACH-001050,-0.058920161860800006
ACH-001053,0.40877484275
ACH-001054,0.380996785136
ACH-001061,0.0699718266874
ACH-001067,0.00121134353743
ACH-001075,-0.195508236261
ACH-001096,0.236772703332
ACH-001128,0.26681050869199996
ACH-001134,0.493797394954
ACH-001151,0.145218732563
ACH-001163,0.222167067212
ACH-001164,0.433987810544
ACH-001173,0.134217263456
ACH-001183,-0.07930635803500001
ACH-001184,0.0765176229471
ACH-001190,0.046947857999300006
ACH-001192,-0.0133173102944
ACH-001193,0.24665937074799998
ACH-001196,-0.09102008483999999
ACH-001197,0.173850612714
ACH-001205,-0.19652740385
ACH-001211,0.07133374408780001
ACH-001212,0.297189955835
ACH-001228,0.102287084579
ACH-001232,0.00918561085005
ACH-001239,-0.050349609578800004
ACH-001274,0.16443973047
ACH-001275,0.143131460508
ACH-001277,0.183994953739
ACH-001278,0.013299233636100001
ACH-001280,-0.04559771769859999
ACH-001283,0.268590898433
ACH-001289,-0.155835791414
ACH-001295,0.145045450616
ACH-001300,0.331806395203
ACH-001301,0.376919710769
ACH-001302,-0.0141801062726
ACH-001303,0.007491784742470001
ACH-001306,0.262985293697
ACH-001318,0.230047165448
ACH-001322,0.161725614276
ACH-001328,0.12748478821599998
ACH-001332,0.10415795878699999
ACH-001333,0.148405783281
ACH-001336,0.311998005677
ACH-001340,0.10022869337899999
ACH-001346,0.135494799551
ACH-001353,0.271183197251
ACH-001354,0.152713929289
ACH-001367,0.180231993791
ACH-001368,-0.21282238161800002
ACH-001374,0.324835333974
ACH-001375,0.191576882873
ACH-001377,0.0312611748658
ACH-001380,0.08475510451860001
ACH-001391,0.14051814023700002
ACH-001407,0.163038956742
ACH-001408,0.103588774986
ACH-001413,0.0519429780155
ACH-001430,0.264586865533
ACH-001431,0.12993472061300002
ACH-001450,0.248474081115
ACH-001496,0.260217240515
ACH-001500,0.22132232917300002
ACH-001521,0.08838949098200001
ACH-001523,0.00973667426109
ACH-001532,0.120779767265
ACH-001536,0.0261718199785
ACH-001550,-0.054938917943
ACH-001552,0.565188532763
ACH-001554,0.0188855427541
ACH-001645,0.23017347551
ACH-001654,0.18322396975900002
ACH-001715,0.06767252483780001
ACH-001735,-0.00433627611998
ACH-001736,-0.0446062954092
ACH-001737,0.10879950066400002
ACH-001740,0.00673225316966
ACH-001745,0.221481290815
ACH-001750,0.244998690693
ACH-001765,0.12401943128799998
ACH-001956,0.08915055619719998
ACH-001957,-0.0217161730953
