,SERPINI1 (5274)
ACH-000221,0.15694415297800002
ACH-000222,-0.0721073642176
ACH-000223,0.10921640307700001
ACH-000226,0.05227837322790001
ACH-000227,0.054715500659499997
ACH-000228,0.24233853412300002
ACH-000231,0.049993805178800005
ACH-000232,0.136423579123
ACH-000233,-0.0752522584078
ACH-000234,-0.0127249221522
ACH-000235,0.0035192827455100004
ACH-000237,0.0418229186415
ACH-000238,0.118354948103
ACH-000243,-0.0012018620000999998
ACH-000244,0.0844202019699
ACH-000246,-0.019463915103200002
ACH-000248,0.11406670283199999
ACH-000250,0.0817666141782
ACH-000251,0.0233859095443
ACH-000253,0.24153638401500002
ACH-000255,0.06811218606859999
ACH-000256,0.0644810938975
ACH-000257,-0.104829456768
ACH-000258,-0.22844419847600003
ACH-000259,0.041757449680199996
ACH-000260,0.040528509716
ACH-000261,0.09400626708519999
ACH-000262,-0.128359143696
ACH-000263,-0.0597703929452
ACH-000264,0.12321565922700001
ACH-000265,-0.009489495682850001
ACH-000266,0.0666225991647
ACH-000272,-0.13104836814999998
ACH-000273,-0.122161396066
ACH-000274,0.0744054795616
ACH-000277,-0.14339639451300001
ACH-000278,0.10397986915400001
ACH-000279,-0.12224237571900001
ACH-000280,-0.0198385602924
ACH-000281,0.11420821074000001
ACH-000288,0.0615282790355
ACH-000291,0.01115708419
ACH-000293,0.130735419505
ACH-000294,-0.00323272525231
ACH-000295,-0.137286347211
ACH-000296,0.037225656139300005
ACH-000302,0.06554204406690001
ACH-000304,0.253425743513
ACH-000307,0.0331964490274
ACH-000308,0.021868137592
ACH-000310,-0.19651816961899998
ACH-000311,-0.0404523404933
ACH-000312,0.0182609209726
ACH-000315,0.295099049228
ACH-000316,-0.04274306306609999
ACH-000317,0.224815561082
ACH-000318,0.231255989132
ACH-000319,0.08235309859069999
ACH-000320,-0.122845730647
ACH-000322,-0.0302964735508
ACH-000323,0.0336505224428
ACH-000324,-0.0880166405053
ACH-000329,0.143777395157
ACH-000330,0.112099138449
ACH-000331,-0.0053888151923099994
ACH-000332,-0.009186732328389999
ACH-000334,0.16255013077
ACH-000335,0.08969278242489999
ACH-000336,-0.35540252081999996
ACH-000337,-0.128442316999
ACH-000339,-0.013857172499200002
ACH-000341,-0.0496083825379
ACH-000348,-0.019945158842200002
ACH-000350,-0.084409127805
ACH-000352,0.058468149786400005
ACH-000356,0.043778651542100006
ACH-000361,0.035351315565400006
ACH-000362,-0.00770308468796
ACH-000363,0.123622991036
ACH-000364,0.03696837034369999
ACH-000365,-0.34089094681599996
ACH-000366,0.0465827037197
ACH-000368,0.16512018773
ACH-000374,0.184483674146
ACH-000375,0.06879795277660002
ACH-000376,0.0926223196297
ACH-000381,-0.05792619639050001
ACH-000383,0.0190865406814
ACH-000387,-0.0776178185282
ACH-000389,0.055789149300699996
ACH-000390,0.166760799232
ACH-000393,-0.0214979477735
ACH-000395,0.0164135061128
ACH-000397,0.00568564098339
ACH-000401,0.17889053102299998
ACH-000402,0.49212543194499997
ACH-000403,0.102082273948
ACH-000404,-0.044834164582099996
ACH-000406,0.000692125208249
ACH-000407,0.097151852897
ACH-000408,-0.08145570982919999
ACH-000410,0.0681465216216
ACH-000411,0.0672442604623
ACH-000414,-0.025111302232499997
ACH-000415,0.0813784599108
ACH-000416,0.08854328618789999
ACH-000420,0.0370561906586
ACH-000421,0.0360632561765
ACH-000424,0.037980701272400004
ACH-000425,0.07531640503260001
ACH-000426,0.0240801386392
ACH-000427,0.09675330589980001
ACH-000433,0.13624188602499998
ACH-000436,0.0713664007477
ACH-000444,-0.0941372949452
ACH-000445,-0.17286711063000001
ACH-000448,0.0291769029955
ACH-000450,0.09452929834389999
ACH-000452,0.156448843823
ACH-000454,0.133683394943
ACH-000458,0.14625397779000002
ACH-000459,0.00496445105603
ACH-000460,-0.0491158743943
ACH-000461,0.18603841228300003
