,DUSP10 (11221)
ACH-000888,-0.0629968332653
ACH-000889,-0.0900619838666
ACH-000890,-0.013133547639600002
ACH-000896,0.038244364360800004
ACH-000898,0.0434796939519
ACH-000900,-0.134935379081
ACH-000901,0.07668619559010001
ACH-000905,-0.242622077198
ACH-000906,-0.146468903635
ACH-000907,0.0429575753245
ACH-000910,-0.350407342134
ACH-000911,-0.34963702359899995
ACH-000912,-0.242968583579
ACH-000913,-0.07070003563569999
ACH-000915,0.128733692289
ACH-000916,0.279934087336
ACH-000917,-0.0941530606403
ACH-000921,-0.0128227214455
ACH-000924,-0.179556156424
ACH-000926,-0.172498810975
ACH-000928,-0.178610597177
ACH-000929,0.0748221906268
ACH-000932,-0.0156288860668
ACH-000935,-0.458178139874
ACH-000936,-0.218189408816
ACH-000937,-0.0169684294672
ACH-000938,-0.14760755657299998
ACH-000939,0.197255224555
ACH-000941,-0.011748345631299999
ACH-000943,-0.0805435006215
ACH-000946,-0.100760612566
ACH-000947,-0.243310868563
ACH-000948,-0.046696607734199994
ACH-000950,0.015280124029899998
ACH-000953,-0.548107384206
ACH-000957,-0.11014012634400001
ACH-000958,0.0654189518524
ACH-000960,-0.132188705781
ACH-000963,-0.166174254835
ACH-000968,-0.405017824867
ACH-000969,-0.25124348416700004
ACH-000973,-0.12720438194800002
ACH-000974,-0.228429611446
ACH-000975,-0.178810925073
ACH-000976,-0.311463927345
ACH-000978,-0.0495350444946
ACH-000980,-0.0600657210176
ACH-000984,-0.06480988448490001
ACH-000986,-0.236218725568
ACH-000988,-0.177725034824
ACH-000993,0.04660305738940001
ACH-000994,-0.11173988565500001
ACH-000996,-0.017495849387999998
ACH-001001,0.0557349648312
ACH-001020,0.0365083239001
ACH-001028,-0.05441541698369999
ACH-001031,0.08125871849449999
ACH-001038,-0.128052169912
ACH-001048,-0.195845570635
ACH-001050,-0.158618961499
ACH-001053,-0.16453073221
ACH-001054,-0.41477986751999996
ACH-001061,-0.0656920405106
ACH-001067,0.17917017578699998
ACH-001075,-0.338938001743
ACH-001096,0.0684765008537
ACH-001128,-0.374704418641
ACH-001134,-0.33322711406
ACH-001151,-0.182950067974
ACH-001163,-0.0804092756645
ACH-001164,-0.119949729432
ACH-001173,-0.224696226102
ACH-001183,-0.358183854929
ACH-001184,-0.106411285369
ACH-001190,0.0147098707925
ACH-001192,0.23161677274099998
ACH-001193,-0.08885811094189999
ACH-001196,0.10733873357200001
ACH-001197,-0.156901351528
ACH-001205,-0.280899749784
ACH-001211,-0.207959244493
ACH-001212,0.301162503272
ACH-001228,-0.452504495472
ACH-001232,-0.648754747975
ACH-001239,-0.386062833173
ACH-001274,-0.138339296785
ACH-001275,-0.140920920873
ACH-001277,-0.43155730356000005
ACH-001278,-0.0520047062082
ACH-001280,0.018526827139599997
ACH-001283,-0.028901250353
ACH-001289,-0.24480414297400002
ACH-001295,-0.158711370913
ACH-001300,0.022990735233700002
ACH-001301,0.0581034623826
ACH-001302,-0.0898301134015
ACH-001303,-0.12016428950300001
ACH-001306,-0.160846676527
ACH-001318,-0.18565310026299997
ACH-001322,-0.20663046620900002
ACH-001328,-0.0894228672597
ACH-001332,-0.37394713926
ACH-001333,-0.127990389233
ACH-001336,-0.245038533428
ACH-001340,-0.36231042164899996
ACH-001346,-0.259373154802
ACH-001353,-0.864081960522
ACH-001354,-0.643210078566
ACH-001367,-0.346198772512
ACH-001368,-0.127444309333
ACH-001374,-0.57543523622
ACH-001375,-0.178227711375
ACH-001377,-0.280972747725
ACH-001380,-0.428450813561
ACH-001391,-0.236498875191
ACH-001407,-0.0740257080332
ACH-001408,-0.215457944123
ACH-001413,-0.107796085465
ACH-001430,-0.168200054247
ACH-001431,0.0445275916809
ACH-001450,-0.30728626484
ACH-001496,-0.150530682783
ACH-001500,-0.19323047164299997
ACH-001521,-0.229042181955
ACH-001523,-0.227066348037
ACH-001532,-0.254593516756
ACH-001536,-0.110646936529
ACH-001550,-0.09638538277830001
ACH-001552,-0.146370123344
ACH-001554,-0.133891519035
ACH-001645,-0.8067318093160001
ACH-001654,-0.284558015349
ACH-001715,-0.293285339406
ACH-001735,-0.116632961729
ACH-001736,-0.18190745859299998
ACH-001737,-0.0616326311826
ACH-001740,-0.27288179752700004
ACH-001745,-0.252670067441
ACH-001750,-0.09822501390460002
ACH-001765,0.043929565567800005
ACH-001956,-0.0871026808795
ACH-001957,-0.223960480634
