,IL12RB2 (3595)
ACH-000652,-0.10089765841
ACH-000653,-0.448254355863
ACH-000657,-0.345757886461
ACH-000658,-0.323864162316
ACH-000661,-0.329695197822
ACH-000662,-0.31384113843199996
ACH-000663,-0.148067684049
ACH-000665,-0.400877617496
ACH-000671,-0.252347980624
ACH-000673,-0.39144917865400003
ACH-000676,-0.257304288725
ACH-000677,-0.310459589729
ACH-000681,-0.324505339159
ACH-000682,-0.366752565093
ACH-000683,-0.564503882117
ACH-000684,-0.34551096783600005
ACH-000688,-0.35297094114
ACH-000693,-0.226881052803
ACH-000694,-0.33366297291200003
ACH-000695,-0.17740071642900002
ACH-000696,-0.35641589877400004
ACH-000697,-0.309026041641
ACH-000699,-0.372745877496
ACH-000701,-0.50543669026
ACH-000706,-0.292448287905
ACH-000711,-0.46060984081399997
ACH-000713,-0.539949898187
ACH-000714,-0.502740495402
ACH-000718,-0.45318544401699995
ACH-000720,-0.302492471213
ACH-000721,-0.391489775774
ACH-000724,-0.213736873575
ACH-000725,-0.568447748725
ACH-000732,-0.18312152181400002
ACH-000734,-0.339154227922
ACH-000735,-0.379876974813
ACH-000736,-0.264752621668
ACH-000738,-0.172047339567
ACH-000746,-0.20762923220899998
ACH-000747,-0.363127003268
ACH-000748,-0.315670729143
ACH-000753,-0.309880790611
ACH-000756,-0.314710597628
ACH-000757,-0.558531462093
ACH-000758,-0.272548783394
ACH-000760,-0.351372980009
ACH-000763,-0.7121941225470001
ACH-000764,-0.171427193604
ACH-000765,-0.238243432368
ACH-000766,-0.360926282732
ACH-000767,-0.36901082269
ACH-000768,-0.30274447588000003
ACH-000769,-0.23397857884599998
ACH-000770,-0.362855388563
ACH-000771,-0.22575115553199998
ACH-000773,-0.307065091706
ACH-000776,-0.38519304715400005
ACH-000777,-0.35545554729199996
ACH-000778,-0.431696822633
ACH-000781,-0.383605293621
ACH-000782,-0.27663434750599997
ACH-000783,-0.528149539856
ACH-000784,-0.256137822853
ACH-000785,-0.485925865657
ACH-000787,-0.174610636477
ACH-000788,-0.316056479018
ACH-000791,-0.665212470911
ACH-000792,-0.278038061888
ACH-000794,-0.308059035541
ACH-000796,-0.218185905207
ACH-000799,-0.5550195501780001
ACH-000800,-0.399918743142
ACH-000802,-0.323275298856
ACH-000804,-0.487208436854
ACH-000805,-0.47713154171300004
ACH-000809,-0.23717087887
ACH-000810,-0.284020309209
ACH-000811,-0.232761820191
ACH-000817,-0.24052763765299998
ACH-000819,-0.231676575471
ACH-000820,-0.319008666392
ACH-000821,-0.186539982355
ACH-000822,-0.14382409639000002
ACH-000823,-0.368397711438
ACH-000824,-0.319191726002
ACH-000827,-0.264682735261
ACH-000829,-0.257830011874
ACH-000831,-0.348046032485
ACH-000832,-0.300033633882
ACH-000833,-0.0278101109872
ACH-000834,-0.321896829637
ACH-000835,-0.187191858921
ACH-000836,-0.223493477529
ACH-000837,-0.446568031598
ACH-000838,-0.130820652554
ACH-000839,-0.476916477933
ACH-000840,-0.345348087815
ACH-000841,-0.425205183421
ACH-000843,-0.20088512493500002
ACH-000846,-0.072819211461
ACH-000847,-0.124783384912
ACH-000848,-0.189395405666
ACH-000849,-0.38360375811700004
ACH-000851,-0.36684279661799996
ACH-000855,-0.34076458549099997
ACH-000856,-0.39780509737899994
ACH-000858,-0.468957122589
ACH-000859,-0.139239026839
ACH-000861,-0.5135229075609999
ACH-000862,-0.292650987175
ACH-000865,-0.22258347091400002
ACH-000866,-0.364958798772
ACH-000867,-0.340877529878
ACH-000869,-0.426591658332
ACH-000872,-0.49978691169699996
ACH-000873,-0.298978046407
ACH-000876,-0.279135974703
ACH-000878,0.010546613107200002
ACH-000880,-0.179928696714
ACH-000881,-0.249721298856
ACH-000882,-0.386287961289
ACH-000884,-0.130786947843
ACH-000885,-0.371912608131
ACH-000887,-0.335693288
ACH-000888,-0.416381309636
ACH-000889,-0.306945882844
ACH-000890,-0.440848281118
ACH-000896,-0.364366115984
ACH-000898,-0.522611486149
ACH-000900,-0.622342708349
ACH-000901,-0.484299116471
ACH-000905,-0.354473948299
ACH-000906,-0.268066342786
ACH-000907,-0.602976742485
ACH-000910,-0.325779226699
ACH-000911,-0.299656662068
ACH-000912,-0.266571582937
ACH-000913,-0.310984600491
ACH-000915,-0.369072571719
ACH-000916,-0.193224126854
ACH-000917,-0.3767396244
ACH-000921,-0.288380381776
ACH-000924,-0.249897024639
ACH-000926,-0.16665868992799998
ACH-000928,-0.369491622196
ACH-000929,-0.055377221890900004
ACH-000932,-0.41476158513899997
ACH-000935,-0.264746365268
ACH-000936,-0.368736102334
ACH-000937,-0.374571277798
ACH-000938,-0.26386779075399996
ACH-000939,-0.315708366036
ACH-000941,-0.39774004031800003
ACH-000943,-0.367580312583
ACH-000946,-0.358534241887
ACH-000947,-0.337507120649
ACH-000948,-0.37279449368600004
ACH-000950,-0.295650374006
ACH-000953,-0.32306012541900003
ACH-000957,-0.376963266325
ACH-000958,-0.433451382321
ACH-000960,-0.343288239218
ACH-000963,-0.484048462701
ACH-000968,-0.300916831399
ACH-000969,-0.503400258629
ACH-000973,-0.40161954595700006
ACH-000974,-0.347484741805
ACH-000975,-0.251233886937
ACH-000976,-0.311262150341
ACH-000978,-0.111090937385
ACH-000980,-0.344318676326
ACH-000984,-0.275287380365
ACH-000986,-0.5125573976919999
ACH-000988,-0.23138331599599998
ACH-000993,-0.462175987183
ACH-000994,-0.431154401818
ACH-000996,-0.37222411388800003
ACH-001001,-0.378152768402
ACH-001020,-0.41936528162500003
ACH-001028,-0.32871464751999996
ACH-001031,-0.24533409956
ACH-001038,-0.304487025851
ACH-001048,-0.456849779058
ACH-001050,-0.355556747661
ACH-001053,-0.260310348954
ACH-001054,-0.173122827683
ACH-001061,-0.30990575574900003
ACH-001067,-0.41707337181500004
ACH-001075,-0.224327657597
ACH-001096,-0.321889977487
