,MUM1 (84939)
ACH-000926,-0.0384739524628
ACH-000928,0.0592518145985
ACH-000929,0.10346338586100001
ACH-000932,-0.00719773908885
ACH-000935,-0.0212334416518
ACH-000936,-0.106777107654
ACH-000937,0.04897790510919999
ACH-000938,0.160049359056
ACH-000939,-0.163013144331
ACH-000941,-0.07839358563160001
ACH-000943,0.0331601896228
ACH-000946,-0.020950840376099997
ACH-000947,-0.060815260947900004
ACH-000948,-0.011743957531700001
ACH-000950,-0.203288543094
ACH-000953,-0.133702639551
ACH-000957,0.0076377343584200005
ACH-000958,0.0466925618485
ACH-000960,-0.00622275989544
ACH-000963,0.286147432586
ACH-000968,0.09246957798410001
ACH-000969,0.153906662764
ACH-000973,0.0403737598762
ACH-000974,0.0338909596545
ACH-000975,0.00548273306068
ACH-000976,0.045528339433800004
ACH-000978,0.33622793141199997
ACH-000980,0.105440130797
ACH-000984,-0.117218043124
ACH-000986,0.0903966530115
ACH-000988,-0.0697956171884
ACH-000993,-0.280700867525
ACH-000994,0.0546282602332
ACH-000996,-0.187711096855
ACH-001001,-0.0565075196889
ACH-001020,-0.18350633331
ACH-001028,-0.0190216090733
ACH-001031,-0.039613261142
ACH-001038,0.13511528219799998
ACH-001048,-0.0650351012544
ACH-001050,-0.019942037638700002
ACH-001053,-0.0842400143062
ACH-001054,0.116143348681
ACH-001061,0.0936237820466
ACH-001067,0.016827277131299997
ACH-001075,-0.166017282157
ACH-001096,0.0688464757831
ACH-001128,-0.188179621228
ACH-001134,-0.0413723831367
ACH-001151,0.031343399519799996
ACH-001163,-0.0375491706984
ACH-001164,-0.184123883293
ACH-001173,0.0149681848235
ACH-001183,-0.037764791491999995
ACH-001184,0.0609832164159
ACH-001190,-0.0158465159022
ACH-001192,0.148627958021
ACH-001193,-0.222116453448
ACH-001196,0.11017261808
ACH-001197,-0.10837944167
ACH-001205,0.114175251754
ACH-001211,0.270742141031
ACH-001212,0.007031211113550001
ACH-001228,0.03994115759919999
ACH-001232,0.10789040148800001
ACH-001239,0.10303661087200001
ACH-001274,-0.0401739678597
ACH-001275,0.029624427646099998
ACH-001277,0.0627027783565
ACH-001278,0.0650223282585
ACH-001280,-0.10463249258
ACH-001283,0.16979925273
ACH-001289,0.0622550013803
ACH-001295,0.07012388246880001
ACH-001300,-0.0203596603611
ACH-001301,0.00712545456686
ACH-001302,-0.18650350549699998
ACH-001303,-0.264593136461
ACH-001306,0.156336819946
ACH-001318,-0.103254653562
ACH-001322,0.17720344152399997
ACH-001328,-0.0348969009245
ACH-001332,-0.14002774372500001
ACH-001333,0.158207185813
ACH-001336,0.0739169548459
ACH-001340,-0.009283116865879999
ACH-001346,-0.0030942152245200002
ACH-001353,0.0475537461618
ACH-001354,0.111015137596
ACH-001367,-0.137974409479
ACH-001368,0.0466696986462
ACH-001374,-0.0208697415521
ACH-001375,-0.156355675216
ACH-001377,-0.0401261131773
ACH-001380,-0.080368293184
ACH-001391,-0.183903649973
ACH-001407,-0.107515087358
ACH-001408,0.0148663038683
ACH-001413,-0.0549708216156
ACH-001430,0.135175542244
ACH-001431,0.207823772963
ACH-001450,0.210683659376
ACH-001496,-0.0131212408611
ACH-001500,0.0867909858048
ACH-001521,0.512480851591
ACH-001523,0.088572061807
ACH-001532,-0.0005583143482640001
ACH-001536,0.185116317232
ACH-001550,0.0019254184635999999
ACH-001552,0.034889535105
