,BCL7C (9274)
ACH-001374,-0.0625570508637
ACH-001375,-0.135730948168
ACH-001377,0.0100441458314
ACH-001380,0.17426180205699998
ACH-001391,0.0438055075074
ACH-001407,0.21414809666200002
ACH-001408,0.062347189924499995
ACH-001413,-0.129814632862
ACH-001430,-0.37554256878
ACH-001431,0.14447263204500002
ACH-001450,-0.235770662394
ACH-001496,-0.139963158186
ACH-001500,-0.11054872011700001
ACH-001521,0.0725318926441
ACH-001523,0.0179424522789
ACH-001532,0.07574666088280001
ACH-001536,0.09606052650250001
ACH-001550,0.0610891462141
ACH-001552,0.13634712099000001
ACH-001554,0.0516197406094
ACH-001645,0.141039779488
ACH-001654,-0.0259873191701
ACH-001715,-0.159079585723
ACH-001735,-0.0363373706453
ACH-001736,-0.04701112574230001
ACH-001737,0.15738940442399998
ACH-001740,-0.039612401141199995
ACH-001745,0.046840823139399995
ACH-001750,-0.19051373052200002
ACH-001765,0.136181286173
ACH-001956,-0.129050128149
ACH-001957,-0.0865478328033
