,CDHR5 (53841)
ACH-000255,0.10081886504799999
ACH-000256,-0.138869548075
ACH-000257,-0.321681748898
ACH-000258,-0.180322812669
ACH-000259,0.0541233226841
ACH-000260,0.0270548771555
ACH-000261,-0.161472051793
ACH-000262,-0.212442715158
ACH-000263,0.0121308015324
ACH-000264,0.00019948691319199999
ACH-000265,0.032966543155400006
ACH-000266,0.047812486519999996
ACH-000272,-0.0928080975708
ACH-000273,-0.0260577322677
ACH-000274,-0.0395755242658
ACH-000277,-0.028928635129400002
ACH-000278,-0.0155677633095
ACH-000279,0.028238330777699997
ACH-000280,-0.07242832888739999
ACH-000281,0.0321183565069
ACH-000288,-0.00214033146057
ACH-000291,0.0506179393745
ACH-000293,0.066877805201
ACH-000294,-0.072451866097
ACH-000295,-0.163094340488
ACH-000296,0.0955101918093
ACH-000302,-0.0251109563813
ACH-000304,-0.040090402177199995
ACH-000307,0.0431974166094
ACH-000308,-0.05073109227969999
ACH-000310,0.238747256529
ACH-000311,0.06458759304
ACH-000312,0.0076628998013
ACH-000315,0.0759492648037
ACH-000316,0.00104921844295
ACH-000317,0.0112108352629
ACH-000318,0.0439746203967
ACH-000319,-0.106969344913
ACH-000320,0.251445070291
ACH-000322,-0.19364809010499998
ACH-000323,0.028565540887599997
ACH-000324,0.107979823533
ACH-000329,0.0264351304457
ACH-000330,0.0255253071064
ACH-000331,0.083584986608
ACH-000332,0.006701649673330001
ACH-000334,-0.204954290181
ACH-000335,0.175979937449
ACH-000336,0.07893217022919999
ACH-000337,-0.0675505504407
ACH-000339,0.0222777068578
ACH-000341,-0.00590013305941
ACH-000348,0.0458098472272
ACH-000350,0.04947543381080001
ACH-000352,-0.0675040269001
ACH-000356,0.057228385414300004
ACH-000361,0.081645890361
ACH-000362,-0.0728612355031
ACH-000363,0.0380998842042
ACH-000364,0.0106451585315
ACH-000365,-0.0153463971477
ACH-000366,-0.125408888252
ACH-000368,0.0213178636271
ACH-000374,-0.108664608551
ACH-000375,-1.18970403728e-05
ACH-000376,-0.08160678033480001
ACH-000381,0.030105652982799998
