,RIN3 (79890)
ACH-000867,-0.141523960047
ACH-000869,-0.21934284796599998
ACH-000872,-0.167963259751
ACH-000873,-0.10966985607799999
ACH-000876,-0.0208579890353
ACH-000878,-0.29761155917599996
ACH-000880,-0.10542271750900001
ACH-000881,0.0436871222068
ACH-000882,-0.0961422395776
ACH-000884,-0.0793373893016
ACH-000885,-0.112292514845
ACH-000887,-0.12221825108100001
ACH-000888,-0.158509103963
ACH-000889,-0.25200381416400003
ACH-000890,-0.25755292071999997
ACH-000896,-0.11367213244100001
ACH-000898,-0.0866746377268
ACH-000900,-0.07111468327489999
ACH-000901,-0.161282333997
ACH-000905,-0.08363365028469999
ACH-000906,-0.0974510614312
ACH-000907,-0.0232987418736
ACH-000910,-0.201966810103
ACH-000911,-0.110300227182
ACH-000912,-0.0803683341879
ACH-000913,-0.113326559507
ACH-000915,-0.142442478185
ACH-000916,-0.35586635397200006
ACH-000917,-0.16631306382799999
ACH-000921,-0.0975777849099
ACH-000924,-0.196066168165
ACH-000926,-0.192277249611
ACH-000928,-0.07833985688350001
ACH-000929,-0.312610709377
ACH-000932,-0.23311914325199998
ACH-000935,-0.23192098933400002
ACH-000936,-0.26904224004
ACH-000937,-0.155102386745
ACH-000938,-0.00629432485729
ACH-000939,-0.162180014527
ACH-000941,-0.25157375632
ACH-000943,-0.08674384004280002
ACH-000946,-0.157451822789
ACH-000947,-0.148382905082
ACH-000948,-0.045295381720400006
ACH-000950,-0.09027524291570001
ACH-000953,-0.257765728887
ACH-000957,0.165248901679
ACH-000958,-0.0964401020393
ACH-000960,-0.16977649554699997
ACH-000963,-0.157531324426
ACH-000968,-0.236630908513
ACH-000969,-0.192273665204
ACH-000973,-0.023887393603500003
ACH-000974,-0.148268262741
ACH-000975,-0.045994260525599996
ACH-000976,-0.256517521524
ACH-000978,-0.08390996550180001
ACH-000980,-0.029081731144699998
ACH-000984,-0.128637987215
ACH-000986,-0.33643305199600004
ACH-000988,-0.044873021418500005
ACH-000993,-0.232312688053
ACH-000994,-0.149887972657
ACH-000996,-0.128378240263
ACH-001001,-0.345771040905
ACH-001020,-0.0914238517774
ACH-001028,-0.156301367963
ACH-001031,-0.192902037348
ACH-001038,-0.15030150857000002
ACH-001048,-0.039529104730800006
ACH-001050,-0.14326119100600002
ACH-001053,-0.49895221224299996
ACH-001054,-0.22476215368299998
ACH-001061,-0.135177599111
ACH-001067,-0.041505086354099996
ACH-001075,-0.0848766411226
ACH-001096,-0.24452090334600002
ACH-001128,-0.0779534884908
ACH-001134,0.000284895560962
ACH-001151,-0.23047886043699997
ACH-001163,-0.20315251154800001
ACH-001164,-0.235255897806
ACH-001173,-0.16900788645999998
ACH-001183,-0.22775878245
ACH-001184,-0.34459067775300006
ACH-001190,-0.0361347199691
ACH-001192,-0.317952140772
ACH-001193,-0.13476173409199999
ACH-001196,0.057314541559300006
ACH-001197,-0.123004877778
ACH-001205,-0.0729223244709
ACH-001211,-0.09896234763910002
ACH-001212,0.18101141246
ACH-001228,-0.115630884037
ACH-001232,-0.349505049247
ACH-001239,-0.062998623459
ACH-001274,0.007882023339020001
ACH-001275,-0.145859917874
ACH-001277,0.17183187319499998
ACH-001278,-0.124445958104
ACH-001280,0.18379220989199999
ACH-001283,-0.248937120788
ACH-001289,-0.299983460554
ACH-001295,-0.106204721124
ACH-001300,-0.204415014322
ACH-001301,-0.10095736094699999
ACH-001302,-0.0208227449812
ACH-001303,-0.18763310616700002
ACH-001306,-0.22279261987100002
ACH-001318,-0.0680750571015
ACH-001322,-0.08752117270839999
ACH-001328,-0.147379691961
ACH-001332,-0.180513788479
ACH-001333,-0.395732695298
ACH-001336,-0.0275195510108
ACH-001340,-0.128619548951
ACH-001346,-0.121439887476
ACH-001353,-0.143398399598
ACH-001354,-0.0629947549259
ACH-001367,-0.439686281082
ACH-001368,-0.0362840135349
ACH-001374,-0.149963240733
ACH-001375,-0.143592419528
ACH-001377,-0.0337959252881
ACH-001380,-0.234827598766
ACH-001391,-0.0239527364764
ACH-001407,-0.16917625498799999
ACH-001408,0.0049127090475200004
ACH-001413,-0.192907740223
ACH-001430,-0.255499918477
ACH-001431,-0.228129115132
ACH-001450,0.033339675213
ACH-001496,-0.171826122045
ACH-001500,-0.107224853829
ACH-001521,-0.15501268393
ACH-001523,-0.11609283770199999
ACH-001532,-0.1492438843
ACH-001536,-0.125940254824
ACH-001550,-0.35311198793000004
ACH-001552,-0.389487750792
ACH-001554,-0.158322593398
ACH-001645,-0.11388427990399999
ACH-001654,-0.12334513218
ACH-001715,-0.306354315887
ACH-001735,-0.12808937559800002
ACH-001736,-0.24888004850499998
ACH-001737,-0.32039467030499996
ACH-001740,-0.0859035909904
ACH-001745,-0.160905923813
ACH-001750,-0.231353199793
ACH-001765,-0.156726845678
ACH-001956,-0.148108566281
ACH-001957,-0.081641266973
