,TTL (150465)
ACH-000647,-0.0817261473101
ACH-000648,-0.29157720356100003
ACH-000649,-0.09013076486400001
ACH-000651,-0.19442333703099998
ACH-000652,0.09004426779439999
ACH-000653,0.0930745224024
ACH-000657,-0.08738488924019999
ACH-000658,-0.014415056938200001
ACH-000661,-0.0876447650078
ACH-000662,-0.489884014436
ACH-000663,-0.278845473203
ACH-000665,-0.08996401026900001
ACH-000671,-0.10870298744899999
ACH-000673,-0.18184008933200002
ACH-000676,-0.060765985936199994
ACH-000677,-0.278670306476
ACH-000681,-0.243886215357
ACH-000682,-0.153171880967
ACH-000683,-0.026891609173900002
ACH-000684,-0.330064863382
ACH-000688,0.27573378225699996
ACH-000693,-0.07762740601639999
ACH-000694,-0.149684517037
ACH-000695,0.307191302562
ACH-000696,-0.19622275255600002
ACH-000697,0.025915498917200002
ACH-000699,0.0242870917323
ACH-000701,0.045028513289599996
ACH-000706,-0.197045360811
ACH-000711,-0.302744223786
ACH-000713,-0.309772609969
ACH-000714,-0.14143800885399999
ACH-000718,-0.11823075181800001
ACH-000720,-0.32669077114
ACH-000721,-0.21185451201699998
ACH-000724,-0.011890900158200001
ACH-000725,-0.130056472969
ACH-000732,-0.00225998794194
ACH-000734,0.011569103366600001
ACH-000735,-0.0527937410664
ACH-000736,-0.215967000143
ACH-000738,0.012148505253999999
ACH-000746,-0.18664107064
ACH-000747,-0.14481592456700002
ACH-000748,-0.0790806671761
ACH-000753,-0.040176442774199995
ACH-000756,-0.267198921867
ACH-000757,-0.06666297123409999
ACH-000758,-0.11053011562000001
ACH-000760,-0.0215619723252
ACH-000763,-0.146489154428
ACH-000764,0.229312914087
ACH-000765,0.0332187462183
ACH-000766,-0.19811222890500002
ACH-000767,-0.028077173049
ACH-000768,-0.14406008759199998
ACH-000769,-0.165849973652
ACH-000770,-0.12382631306299999
ACH-000771,0.0200971343172
ACH-000773,-0.057633592334000006
ACH-000776,-0.09271366106960001
ACH-000777,-0.0933960480878
ACH-000778,-0.12241123240700001
ACH-000781,-0.148053048225
ACH-000782,-0.00852734766589
ACH-000783,0.041336115778099994
ACH-000784,-0.054329025449699996
ACH-000785,-0.183712792687
ACH-000787,-0.111376848896
ACH-000788,-0.09820176336719999
ACH-000791,-0.225350248832
ACH-000792,-0.0364780263914
ACH-000794,0.0561670872152
ACH-000796,-0.215580660598
ACH-000799,-0.255258677968
ACH-000800,0.028274688075599998
ACH-000802,-0.0739371837587
ACH-000804,-0.0831747774726
ACH-000805,0.170171732847
ACH-000809,-0.00016780829507700003
ACH-000810,-0.0368205454744
ACH-000811,-0.0690117690162
ACH-000817,-0.16931194293
ACH-000819,-0.18521129026299998
ACH-000820,0.032843124418399997
ACH-000821,-0.0854656865633
ACH-000822,-0.0343212544928
ACH-000823,-0.0468911599038
ACH-000824,-0.0173482719557
ACH-000827,-0.183405977092
ACH-000829,-0.0513067130574
ACH-000831,-0.275725344964
ACH-000832,-0.190454210268
ACH-000833,-0.143624493105
ACH-000834,-0.34477134096699996
ACH-000835,-0.11181882330199999
ACH-000836,-0.27410936163800004
ACH-000837,-0.0804761871833
ACH-000838,0.00322949814198
ACH-000839,-0.00856520226487
ACH-000840,-0.311772671848
ACH-000841,-0.37402830548199995
ACH-000843,-0.144323062229
