,GBX2 (2637)
ACH-000630,-0.050634407344
ACH-000632,-0.12826310992999998
ACH-000633,-0.264941724944
ACH-000637,-0.0352620291442
ACH-000638,0.24284906843899998
ACH-000646,-0.342109788096
ACH-000647,-0.08025487837550001
ACH-000648,-0.264076668635
ACH-000649,-0.145013763138
ACH-000651,-0.07455884639219999
ACH-000652,-0.168958575997
ACH-000653,-0.05923750523059999
ACH-000657,-0.015608932761
ACH-000658,-0.073284712431
ACH-000661,-0.00328907073713
ACH-000662,-0.29210301724300003
ACH-000663,-0.06966344528419999
ACH-000665,-0.11362599944599999
ACH-000671,-0.034661102289199996
ACH-000673,-0.0868305863778
ACH-000676,0.029280606246000002
ACH-000677,-0.034454188794
ACH-000681,0.0455360580915
ACH-000682,-0.019763439296400002
ACH-000683,-0.0943896042722
ACH-000684,-0.15882496996
ACH-000688,-0.018783088789099997
ACH-000693,-0.021111698415799997
ACH-000694,-0.130293722446
ACH-000695,-0.124044259429
ACH-000696,-0.0436073994128
ACH-000697,-0.107799710709
ACH-000699,-0.16458083218699998
ACH-000701,-0.197826067727
ACH-000706,-0.044717353213700003
ACH-000711,-0.0691678360005
ACH-000713,-0.0109959853186
ACH-000714,0.0557459964526
ACH-000718,0.150034698202
ACH-000720,-0.0702309833312
ACH-000721,-0.0946474264991
ACH-000724,0.13135965900399998
ACH-000725,0.040373905485400007
ACH-000732,-0.206352539611
ACH-000734,-0.125076487336
ACH-000735,-0.165886120223
ACH-000736,-0.0121104829755
ACH-000738,-0.054259510683
ACH-000746,-0.039972853820300004
ACH-000747,-0.0454810597185
ACH-000748,-0.0744419497444
ACH-000753,-0.125492838191
ACH-000756,-0.142213151008
ACH-000757,0.23740036924400001
ACH-000758,-0.0788136960623
ACH-000760,-0.0826169329078
ACH-000763,0.140415608277
ACH-000764,-0.009299895023170001
ACH-000765,-0.07246633921210001
ACH-000766,-0.0639663766062
ACH-000767,-0.122739867939
ACH-000768,-0.027110284428
ACH-000769,-0.0643831103189
ACH-000770,-0.101108044106
ACH-000771,-0.220261444126
ACH-000773,-0.028591365268099998
ACH-000776,-0.112715809785
ACH-000777,-0.0055570726451700005
ACH-000778,-0.292187286653
ACH-000781,-0.08888175098660002
ACH-000782,-0.28991029482299996
ACH-000783,-0.304990035284
ACH-000784,-0.0005306286406900001
ACH-000785,-0.142507767084
ACH-000787,-0.164240045686
ACH-000788,-0.112668672931
ACH-000791,0.118119166141
ACH-000792,-0.153915524726
ACH-000794,-0.009775610897379999
ACH-000796,-0.119250309722
ACH-000799,-0.105484770679
ACH-000800,0.149207645494
ACH-000802,0.000654019221447
ACH-000804,0.0271990624052
ACH-000805,-0.0254428637579
ACH-000809,-0.148857663192
ACH-000810,0.11851256663799999
ACH-000811,-0.058707871853800005
ACH-000817,0.08424047325539999
ACH-000819,-0.135703422945
ACH-000820,-0.145098430807
ACH-000821,-0.133445878134
ACH-000822,0.050058891956
ACH-000823,-0.0373428528567
ACH-000824,-0.0555027905227
ACH-000827,-0.16624493425200002
ACH-000829,-0.0971509656429
ACH-000831,-0.255238356983
ACH-000832,-0.108629781
ACH-000833,-0.121390258534
ACH-000834,0.019933662979
