,EBNA1BP2 (10969)
ACH-000237,-1.1728425311700001
ACH-000238,-1.33166790472
ACH-000243,-1.13800475345
ACH-000244,-1.27859767077
ACH-000246,-1.15622783627
ACH-000248,-0.979623376837
ACH-000250,-1.23195306996
ACH-000251,-1.32550998482
ACH-000253,-1.30446186293
ACH-000255,-1.0818542417399999
ACH-000256,-1.03945189544
ACH-000257,-1.1638741049299999
ACH-000258,-1.0096557901999998
ACH-000259,-1.0687005056399999
ACH-000260,-1.09298130598
ACH-000261,-0.852579565216
ACH-000262,-1.1295521742899999
ACH-000263,-1.05639576128
ACH-000264,-1.39306123671
ACH-000265,-1.02226527972
ACH-000266,-1.2125676670399999
ACH-000272,-1.06785430953
ACH-000273,-0.972257633317
ACH-000274,-1.23309438655
ACH-000277,-1.28166557582
ACH-000278,-1.49022233909
ACH-000279,-0.882416123449
ACH-000280,-1.2137294028299999
ACH-000281,-0.8667164768760001
ACH-000288,-1.0631036388400001
ACH-000291,-1.32367643137
ACH-000293,-0.952034463501
ACH-000294,-1.3901608023899998
ACH-000295,-1.22613945032
ACH-000296,-0.962190399105
ACH-000302,-1.2509017547299999
ACH-000304,-1.2844697956
ACH-000307,-0.910658582563
ACH-000308,-1.2404739793000001
ACH-000310,-1.54276838326
ACH-000311,-1.2978926259899999
ACH-000312,-1.08063368564
ACH-000315,-1.0850363949700002
ACH-000316,-0.954952206432
ACH-000317,-0.9896446656899999
ACH-000318,-0.923420607571
ACH-000319,-1.01987308888
ACH-000320,-0.9507152144140001
ACH-000322,-1.2173888525499998
ACH-000323,-1.20333326847
ACH-000324,-1.03915341786
ACH-000329,-1.2824612203399999
ACH-000330,-1.0
ACH-000331,-1.1213113808
ACH-000332,-1.39037583752
ACH-000334,-1.10834605843
ACH-000335,-1.13408567903
ACH-000336,-1.18139437998
ACH-000337,-1.09426984051
ACH-000339,-1.14924678746
ACH-000341,-1.47486278185
ACH-000348,-1.25389919927
ACH-000350,-1.2794407923
ACH-000352,-1.13938759181
ACH-000356,-1.1130007553299999
ACH-000361,-1.0664003173299998
ACH-000362,-1.24666128015
ACH-000363,-1.21208159595
ACH-000364,-1.18091008968
ACH-000365,-0.953195730109
ACH-000366,-0.914554819967
ACH-000368,-1.18233385014
ACH-000374,-0.949891033893
ACH-000375,-1.37319685649
ACH-000376,-1.03786788968
ACH-000381,-1.15492716963
ACH-000383,-1.22568834517
ACH-000387,-1.08803463986
ACH-000389,-1.1419839751
ACH-000390,-1.3378361489
ACH-000393,-1.13110088474
ACH-000395,-1.0230669327700002
ACH-000397,-1.15965976558
ACH-000401,-0.9217544720659999
ACH-000402,-1.11975850623
ACH-000403,-1.22508445535
ACH-000404,-1.01441644549
ACH-000406,-0.954515407473
ACH-000407,-1.1125156309
ACH-000408,-1.1487485956399999
ACH-000410,-1.53511539603
ACH-000411,-1.21904757139
ACH-000414,-0.9887215958679999
ACH-000415,-0.910307636078
ACH-000416,-1.08491578041
ACH-000420,-1.01290478904
ACH-000421,-1.1218739984200001
ACH-000424,-1.0609890860100002
ACH-000425,-1.23099128158
ACH-000426,-1.15329329899
ACH-000427,-1.14535799447
ACH-000433,-0.835342816534
ACH-000436,-1.16145491549
ACH-000444,-1.2116476098
ACH-000445,-1.55467019795
ACH-000448,-1.05538510242
ACH-000450,-0.916538156081
ACH-000452,-1.20659929402
ACH-000454,-0.914286010862
ACH-000458,-0.991798778399
ACH-000459,-1.1548892848299999
ACH-000460,-0.818367804437
ACH-000461,-1.22481193624
ACH-000463,-1.24809138205
ACH-000464,-1.14917115535
ACH-000466,-1.09606776171
ACH-000467,-0.947772810801
ACH-000468,-0.8934756928919999
ACH-000469,-1.06862403614
ACH-000470,-0.7602716973070001
ACH-000471,-1.15029731945
ACH-000472,-0.864073573583
ACH-000473,-1.27727855839
ACH-000475,-1.1017380746799998
ACH-000476,-1.07102001581
ACH-000477,-1.49200741163
ACH-000480,-1.28989931658
ACH-000481,-1.18309846629
ACH-000483,-1.19080584369
ACH-000484,-1.27519766644
ACH-000485,-1.15470907741
ACH-000486,-1.21489876543
ACH-000487,-0.927571749254
ACH-000488,-1.1769120522799998
ACH-000490,-0.9453095205069999
ACH-000491,-0.8589767537340001
ACH-000495,-1.19767756699
ACH-000496,-0.978345981172
ACH-000499,-0.7933816747750001
ACH-000500,-1.38945776916
ACH-000502,-1.12927420315
ACH-000503,-1.09320937454
ACH-000505,-1.04589663079
ACH-000507,-1.04562677451
ACH-000510,-1.0086210421500001
ACH-000511,-1.0286321086299999
ACH-000512,-0.95129621155
ACH-000516,-0.8928786656559999
ACH-000517,-1.3076271497799998
ACH-000518,-1.06662868954
ACH-000520,-1.09800743448
ACH-000521,-1.21286274179
ACH-000522,-1.13350063466
ACH-000524,-1.16301782219
ACH-000527,-1.09886629028
ACH-000528,-1.16745039021
ACH-000537,-1.19130189688
ACH-000541,-0.9245889101000001
ACH-000542,-1.1346078666500001
ACH-000544,-1.0220186336900001
ACH-000545,-1.11408395283
ACH-000547,-1.23090665246
ACH-000548,-1.10221342192
ACH-000549,-1.03488570604
ACH-000550,-1.3552978442899999
ACH-000552,-1.08313891116
ACH-000556,-1.14727261165
ACH-000557,-1.13090068405
ACH-000570,-1.32159004988
ACH-000571,-1.02320899395
ACH-000573,-1.2673545031
ACH-000576,-1.06569667037
ACH-000580,-1.31577158552
ACH-000584,-0.8681216179469999
ACH-000585,-1.04850142264
ACH-000588,-0.765553364999
ACH-000589,-0.9906434140799999
ACH-000591,-1.2204131955700002
ACH-000593,-1.1400941006299998
ACH-000600,-1.24107142214
ACH-000601,-1.00214985977
ACH-000604,-1.0171996133
ACH-000605,-1.11416818098
ACH-000606,-1.16905446298
ACH-000608,-1.11211059612
ACH-000614,-1.2157001448
ACH-000616,-1.2675138445799998
ACH-000618,-1.20588793389
ACH-000619,-1.0729564227200001
ACH-000620,-1.3208114663500001
ACH-000621,-1.26304391573
ACH-000622,-1.25615995073
ACH-000623,-1.24277087122
ACH-000624,-1.16857166244
ACH-000627,-1.21473742598
ACH-000630,-1.3053835728
ACH-000632,-1.05399302064
ACH-000633,-1.2324477147600001
ACH-000637,-1.30714725829
ACH-000638,-1.1873449404
ACH-000646,-1.1808768384200001
ACH-000647,-1.13527507379
ACH-000648,-0.940253261495
ACH-000649,-1.1509321855799999
ACH-000651,-1.1562611708700001
ACH-000652,-1.40501424511
ACH-000653,-1.05137070828
ACH-000657,-1.23586747741
ACH-000658,-0.9227137763590001
ACH-000661,-1.4783712333399999
ACH-000662,-1.0218994716299998
ACH-000663,-0.837036261937
ACH-000665,-1.04596790734
ACH-000671,-1.36580429296
ACH-000673,-1.06523174331
ACH-000676,-1.12644495342
ACH-000677,-1.2189315404799999
ACH-000681,-1.09747494252
ACH-000682,-1.0999521295
ACH-000683,-1.3243031367
ACH-000684,-1.1232577480200001
ACH-000688,-0.853466963142
ACH-000693,-1.1480402370899998
ACH-000694,-0.944823926107
ACH-000695,-1.1855870745100001
ACH-000696,-1.31101527342
ACH-000697,-1.23248422462
ACH-000699,-1.12221715506
ACH-000701,-1.1212296069499998
ACH-000706,-0.99335725159
ACH-000711,-0.980277534602
ACH-000713,-1.0807558602
ACH-000714,-0.7287666512119999
ACH-000718,-0.848362411323
ACH-000720,-0.950595235869
ACH-000721,-1.0833448961
ACH-000724,-0.9705787916449999
ACH-000725,-0.969103364336
ACH-000732,-1.3585784559099998
ACH-000734,-0.853906248194
ACH-000735,-1.19223652675
ACH-000736,-1.08546034195
ACH-000738,-1.16037792058
ACH-000746,-1.13650073433
ACH-000747,-1.0385119309200002
ACH-000748,-0.956387511125
ACH-000753,-1.03787481714
ACH-000756,-1.0802466063299998
ACH-000757,-0.958966952719
ACH-000758,-1.47337332641
ACH-000760,-0.874549124339
ACH-000763,-0.971795744664
ACH-000764,-1.13580004594
ACH-000765,-0.941004159936
ACH-000766,-1.5134746831
ACH-000767,-0.89060214137
ACH-000768,-1.15138319934
ACH-000769,-1.27009557422
ACH-000770,-1.02283599844
ACH-000771,-1.18500731404
ACH-000773,-1.33148840602
ACH-000776,-0.947700055749
ACH-000777,-1.01384125795
ACH-000778,-0.94245440389
ACH-000781,-0.8739071109659999
ACH-000782,-1.01567587452
ACH-000783,-1.21240148811
ACH-000784,-0.982684327359
ACH-000785,-1.08217992389
ACH-000787,-1.12163920236
ACH-000788,-1.0624397385
ACH-000791,-1.19018298955
ACH-000792,-1.0184541329799999
ACH-000794,-1.1990992820100002
ACH-000796,-1.05132873814
ACH-000799,-1.3917460683399998
ACH-000800,-0.9818647138609999
ACH-000802,-0.819063456701
ACH-000804,-0.9146960155399999
ACH-000805,-0.9574125733159999
ACH-000809,-0.759297556117
ACH-000810,-1.0557320705600002
ACH-000811,-1.26381314651
ACH-000817,-1.00547616468
ACH-000819,-1.2026036207200002
ACH-000820,-1.10067287967
ACH-000821,-0.915151053178
ACH-000822,-0.83126155319
ACH-000823,-1.0610850217299999
ACH-000824,-1.02734935634
ACH-000827,-1.3189226471200002
ACH-000829,-1.2545151647600001
ACH-000831,-1.1617750205500001
ACH-000832,-1.10371881986
ACH-000833,-1.2180432166
ACH-000834,-1.21346188928
ACH-000835,-1.08896373626
ACH-000836,-1.17675672654
ACH-000837,-1.21804082285
ACH-000838,-1.49031049599
ACH-000839,-1.37319206433
ACH-000840,-0.8553688644699999
ACH-000841,-0.979741005571
ACH-000843,-1.15399213095
ACH-000846,-0.943018187989
ACH-000847,-0.9788847096150001
ACH-000848,-1.29913675309
ACH-000849,-0.8477677605570001
ACH-000851,-0.967732910474
ACH-000855,-1.35380965875
ACH-000856,-0.9264987796690001
ACH-000858,-1.1102336342499999
ACH-000859,-1.08788942203
ACH-000861,-1.06213901681
ACH-000862,-1.157866911
ACH-000865,-1.1285967225
ACH-000866,-1.0960648008
ACH-000867,-0.951415091418
ACH-000869,-1.12778111963
ACH-000872,-1.03939875984
ACH-000873,-0.836884154921
ACH-000876,-1.077112569
ACH-000878,-1.03710435121
ACH-000880,-1.22345712769
ACH-000881,-1.12272366024
ACH-000882,-1.0015456782899999
ACH-000884,-1.2289368306100001
ACH-000885,-1.4016500816
ACH-000887,-1.10692455549
ACH-000888,-1.18683229357
ACH-000889,-1.15268998671
ACH-000890,-1.27090807625
ACH-000896,-0.9557179895819999
ACH-000898,-1.19375654608
ACH-000900,-0.963616342924
ACH-000901,-1.0809306833399999
ACH-000905,-1.015824462
ACH-000906,-1.07131992744
ACH-000907,-1.08003807123
ACH-000910,-1.19052979433
ACH-000911,-1.09554430247
ACH-000912,-1.06857992015
ACH-000913,-0.8910437189049999
ACH-000915,-0.94801989528
ACH-000916,-1.05764403866
ACH-000917,-1.09016875091
ACH-000921,-1.26543867453
ACH-000924,-1.2932912993
ACH-000926,-1.04708660376
ACH-000928,-1.0115409953299999
ACH-000929,-1.3463011082700003
ACH-000932,-1.0654201570200001
ACH-000935,-1.224458709
ACH-000936,-1.3090615668899999
ACH-000937,-1.2064760311799998
ACH-000938,-0.910468562842
ACH-000939,-0.919200523186
ACH-000941,-0.8498975866799999
ACH-000943,-1.08850371014
ACH-000946,-1.0968570334899999
ACH-000947,-1.13502380324
ACH-000948,-1.1628193545299998
ACH-000950,-1.14999906551
ACH-000953,-1.08055824019
ACH-000957,-1.06850232033
ACH-000958,-1.1909357229100002
ACH-000960,-1.1616748881299999
ACH-000963,-1.1715787311599999
ACH-000968,-0.9856900486769999
ACH-000969,-0.997628369835
ACH-000973,-1.01327048026
ACH-000974,-1.0844138645799999
ACH-000975,-1.00621536814
ACH-000976,-1.12074302816
ACH-000978,-0.711701251566
ACH-000980,-1.11953006806
ACH-000984,-1.17968962621
ACH-000986,-0.913710959723
ACH-000988,-1.17976022543
ACH-000993,-1.1453097739
ACH-000994,-1.09254143315
ACH-000996,-1.16874240016
ACH-001001,-0.976049856339
ACH-001020,-1.22822877424
ACH-001028,-1.03895281815
ACH-001031,-1.5564578479299997
ACH-001038,-1.07792550192
ACH-001048,-1.06638421893
ACH-001050,-1.3036607458
ACH-001053,-0.848557829139
ACH-001054,-1.0483500246
ACH-001061,-1.0119827808700002
ACH-001067,-1.0629182100399999
ACH-001075,-1.04071971266
ACH-001096,-1.02859423416
ACH-001128,-1.4456635662200001
ACH-001134,-0.818243679767
ACH-001151,-1.1811310025
ACH-001163,-0.985743658364
ACH-001164,-0.998355695837
ACH-001173,-0.943355862494
ACH-001183,-1.01189178355
ACH-001184,-1.31681386834
ACH-001190,-1.01975831229
ACH-001192,-0.889997031348
ACH-001193,-0.720194365844
ACH-001196,-1.4697582253200001
ACH-001197,-0.938006792353
ACH-001205,-1.22064274203
ACH-001211,-1.4431784021899998
ACH-001212,-1.43367411379
ACH-001228,-1.12614829717
ACH-001232,-1.08943656926
ACH-001239,-1.13280593894
ACH-001274,-1.3093884285500001
ACH-001275,-1.0080053340700001
ACH-001277,-1.17879007784
ACH-001278,-1.04435181563
ACH-001280,-1.60436345535
ACH-001283,-1.10665649194
ACH-001289,-1.37898919051
ACH-001295,-1.0586659651
ACH-001300,-1.3566412215099999
ACH-001301,-0.97693405389
ACH-001302,-1.01164677081
ACH-001303,-0.673598381329
ACH-001306,-1.1498770474
ACH-001318,-0.8192301636750001
ACH-001322,-1.08155639591
ACH-001328,-1.1069553745799998
ACH-001332,-0.9482325606190001
ACH-001333,-0.935962853087
ACH-001336,-1.01236181306
ACH-001340,-1.15061686531
ACH-001346,-1.07810025735
ACH-001353,-1.06692823394
ACH-001354,-0.987042305555
ACH-001367,-0.996319226875
ACH-001368,-1.26840596568
ACH-001374,-0.91634022756
ACH-001375,-1.0793861143999999
ACH-001377,-1.51650540588
ACH-001380,-1.1737465375700002
ACH-001391,-0.8254081349869999
ACH-001407,-0.7262775770540001
ACH-001408,-0.9763246549439999
ACH-001413,-1.13069932686
ACH-001430,-0.8816689160950001
ACH-001431,-1.19692563306
ACH-001450,-1.13735049426
ACH-001496,-1.46731940284
ACH-001500,-0.9774578085369999
ACH-001521,-1.1720570407
ACH-001523,-1.16213984688
ACH-001532,-1.31201906865
ACH-001536,-0.9491306763089999
ACH-001550,-1.0409011044
ACH-001552,-1.06465397699
ACH-001554,-1.19956240207
ACH-001645,-1.18743000576
ACH-001654,-1.23510441464
ACH-001715,-0.9924626935590001
ACH-001735,-1.16942799922
ACH-001736,-1.17114475671
ACH-001737,-1.23529091514
ACH-001740,-0.902101376499
ACH-001745,-1.0506652869
ACH-001750,-1.15977598451
ACH-001765,-0.8154736024770001
ACH-001956,-1.00080055394
ACH-001957,-1.13741804979
