,COL25A1 (84570)
ACH-000724,-0.006345659362350001
ACH-000725,-0.14042244464099998
ACH-000732,-0.160298818478
ACH-000734,0.00752537415106
ACH-000735,-0.0706924427971
ACH-000736,-0.0981514364064
ACH-000738,-0.17836349033799997
ACH-000746,0.00459849089867
ACH-000747,-0.21861786111099998
ACH-000748,-0.038965199615500004
ACH-000753,-0.0860377028055
ACH-000756,0.008820825491209999
ACH-000757,-0.08166078994300001
ACH-000758,0.11945564012599999
ACH-000760,-0.0894339653918
ACH-000763,-0.024279261219200002
ACH-000764,0.00838781027092
ACH-000765,-0.242869055066
ACH-000766,-0.0816092045485
ACH-000767,-0.200494661705
ACH-000768,-0.128800476457
ACH-000769,-0.00805851153809
ACH-000770,-0.179918705136
ACH-000771,-0.115155756644
ACH-000773,-0.060781144394500004
ACH-000776,-0.135686098288
ACH-000777,-0.14815592659399998
ACH-000778,-0.0596979287516
ACH-000781,-0.216397415613
ACH-000782,-0.19921749463
ACH-000783,0.011126609576600001
ACH-000784,-0.14020376657199998
ACH-000785,-0.0355030446259
ACH-000787,-0.176088172408
ACH-000788,-0.09232568869239999
ACH-000791,-0.330979898292
ACH-000792,-0.130443619556
ACH-000794,-0.19557121398
ACH-000796,-0.168205665824
ACH-000799,0.025921814602
ACH-000800,-0.320681581213
ACH-000802,-0.0433541261534
ACH-000804,-0.0453106421497
ACH-000805,0.0024995684234699997
ACH-000809,-0.0871005472415
ACH-000810,-0.126585178458
ACH-000811,-0.146748533371
ACH-000817,-0.148072118924
ACH-000819,-0.08600973176169999
ACH-000820,-0.184122747603
ACH-000821,-0.0404229724149
ACH-000822,-0.0142232713638
ACH-000823,-0.0746772335547
ACH-000824,-0.130691648716
ACH-000827,-0.0640795178772
ACH-000829,-0.053268738333
ACH-000831,-0.057924872929
ACH-000832,-0.130736257456
ACH-000833,-0.08771923507339999
ACH-000834,0.027436705069300002
ACH-000835,-0.139289115276
ACH-000836,-0.10945596274399999
ACH-000837,-0.178977764054
ACH-000838,0.0962342890217
ACH-000839,-0.160371232447
ACH-000840,-0.042001707845
ACH-000841,-0.073682109119
ACH-000843,-0.0595495835905
ACH-000846,-0.137722239287
ACH-000847,-0.145134599572
ACH-000848,-0.10644312476
ACH-000849,-0.0411068533968
ACH-000851,-0.254661608173
ACH-000855,-0.432221150405
ACH-000856,-0.151169729443
ACH-000858,-0.057096260912499995
ACH-000859,-0.113385426242
ACH-000861,-0.132850977235
ACH-000862,-0.00668839186829
ACH-000865,-0.059361642765
ACH-000866,-0.186291179379
ACH-000867,-0.013198696579
ACH-000869,-0.09821843165039999
ACH-000872,-0.128038928848
ACH-000873,-0.27919192285
ACH-000876,0.00177688974154
ACH-000878,-0.323373213991
ACH-000880,0.0315097695616
ACH-000881,-0.21949991660999998
ACH-000882,-0.20706436353799998
ACH-000884,-0.121205145594
ACH-000885,-0.09763447811339998
ACH-000887,-0.184835277178
ACH-000888,-0.0102488203682
ACH-000889,-0.09717535821630001
ACH-000890,-0.238415567335
ACH-000896,-0.197091591723
ACH-000898,-0.152107305766
ACH-000900,-0.380099823693
ACH-000901,-0.10289852867999999
ACH-000905,-0.0621681281403
ACH-000906,-0.296900925526
ACH-000907,-0.017599882467499998
ACH-000910,-0.168732457168
ACH-000911,-0.143683573772
ACH-000912,0.00231388735356
ACH-000913,-0.35751820095299996
ACH-000915,-0.174290298461
ACH-000916,-0.10452706025800002
ACH-000917,-0.0759937188199
ACH-000921,-0.21225455351
ACH-000924,-0.218304229901
ACH-000926,-0.174873007531
ACH-000928,-0.22535979612399998
ACH-000929,0.193103095979
ACH-000932,-0.106600103221
ACH-000935,0.0005542882853469999
ACH-000936,-0.107994508302
ACH-000937,-0.0021072763379
ACH-000938,-0.0379909266032
ACH-000939,0.0173599103806
ACH-000941,-0.19287090579100002
ACH-000943,-0.12748644188799999
ACH-000946,-0.05602507895619999
ACH-000947,-0.09137230422960001
ACH-000948,-0.166841150603
ACH-000950,-0.109323038532
ACH-000953,-0.151766378155
ACH-000957,-0.06789725797480001
ACH-000958,-0.402372901005
ACH-000960,-0.240625301968
ACH-000963,-0.145004675757
ACH-000968,-0.019838128412900002
ACH-000969,-0.145536295605
ACH-000973,-0.059303803740300004
ACH-000974,-0.0158572602107
ACH-000975,-0.245451251534
ACH-000976,-0.137641961357
ACH-000978,-0.135798825277
ACH-000980,-0.07141081732230001
ACH-000984,-0.193067895453
ACH-000986,0.0421280641577
ACH-000988,-0.0698322142428
ACH-000993,-0.269360784719
ACH-000994,-0.146628676956
ACH-000996,-0.0436335297536
ACH-001001,-0.20317930353799998
ACH-001020,-0.194768983156
ACH-001028,-0.10655550013399999
ACH-001031,-0.0786176235652
ACH-001038,-0.023833433826599998
ACH-001048,-0.10021696502
ACH-001050,-0.281110032289
ACH-001053,-0.0175790412708
ACH-001054,-0.058382327038199996
ACH-001061,-0.06675994762540001
ACH-001067,-0.0409368529395
ACH-001075,-0.39359051468
ACH-001096,-0.20359011853599998
ACH-001128,0.237393555306
ACH-001134,-0.08238199006960001
ACH-001151,-0.06987628168389999
ACH-001163,-0.06469776348730001
ACH-001164,-0.310857085227
ACH-001173,-0.0828177144758
ACH-001183,-0.147897038464
ACH-001184,-0.240507691865
ACH-001190,-0.0485224973417
ACH-001192,-0.11497264456299999
ACH-001193,0.00390346985921
ACH-001196,0.06050093290919999
ACH-001197,-0.00910328675651
ACH-001205,-0.115363262501
ACH-001211,-0.158776127911
ACH-001212,0.132925878451
ACH-001228,0.133067700639
ACH-001232,-0.349752753331
ACH-001239,-0.029282589139700003
ACH-001274,-0.193614993754
ACH-001275,-0.126896043248
ACH-001277,-0.106638590589
ACH-001278,-0.22619424413400002
ACH-001280,0.13170116363700002
ACH-001283,-0.0649202459455
ACH-001289,-0.00565002379559
ACH-001295,-0.234320215508
ACH-001300,-0.121808813938
ACH-001301,0.188274937216
ACH-001302,-0.0289052022965
ACH-001303,-0.15413868469
ACH-001306,-0.145351103886
ACH-001318,-0.298850888078
ACH-001322,-0.117866600599
ACH-001328,-0.0693414444238
ACH-001332,0.04584837827359999
ACH-001333,-0.058763253201
ACH-001336,0.0339218358616
ACH-001340,-0.110368248524
ACH-001346,-0.287096350211
ACH-001353,-0.150471263636
ACH-001354,-0.254753102355
ACH-001367,-0.238016781721
ACH-001368,-0.029754684118599998
ACH-001374,-0.40571836806999995
ACH-001375,-0.037072975068
ACH-001377,0.010910079128299999
ACH-001380,-0.111977148528
ACH-001391,-0.0480298925421
ACH-001407,-0.21805922071699999
ACH-001408,-0.158272552532
ACH-001413,-0.202233918246
ACH-001430,-0.2291646133
