,SLC25A22 (79751)
ACH-000888,-0.25592218882
ACH-000889,-0.161382418183
ACH-000890,-0.440813118889
ACH-000896,-0.203883500991
ACH-000898,-0.202872951563
ACH-000900,-0.51249360285
ACH-000901,-0.235333272872
ACH-000905,-0.260037517371
ACH-000906,-0.255354981646
ACH-000907,-0.523414701944
ACH-000910,-0.570337736247
ACH-000911,-0.301226655787
ACH-000912,-0.245419893075
ACH-000913,-0.431323684283
ACH-000915,-0.461195698842
ACH-000916,-0.10181894489700001
ACH-000917,-0.341104887283
ACH-000921,-0.28317024422200004
ACH-000924,-0.36478246491
ACH-000926,-0.420946808581
ACH-000928,-0.404401877278
ACH-000929,-0.15703518553200002
ACH-000932,-0.37754482412199997
ACH-000935,-0.376885077342
ACH-000936,-0.33718379034400003
ACH-000937,-0.396216561246
ACH-000938,-0.334542154833
ACH-000939,-0.29457808541999997
ACH-000941,-0.6639987851370001
ACH-000943,-0.282091890904
ACH-000946,-0.6590120056809999
ACH-000947,-0.349930542479
ACH-000948,-0.497916635217
ACH-000950,-0.172909588035
ACH-000953,-0.501336478645
ACH-000957,-0.39650173217
ACH-000958,-0.377458137944
ACH-000960,-0.60690230694
ACH-000963,-0.567737437064
ACH-000968,-0.444782786448
ACH-000969,-0.10871854375
ACH-000973,-0.262508723466
ACH-000974,-0.395604482882
ACH-000975,-0.145042418
ACH-000976,-0.126107254733
ACH-000978,-0.156066176169
ACH-000980,-0.167242646996
ACH-000984,-0.340016252115
ACH-000986,-0.414714450577
ACH-000988,-0.39681814104900004
ACH-000993,-0.713461849522
ACH-000994,-0.276470365022
ACH-000996,-0.285433446941
ACH-001001,0.221197616145
ACH-001020,-0.635782461651
ACH-001028,-0.235475681019
ACH-001031,-0.46218962845399997
ACH-001038,-0.260298956021
ACH-001048,-0.470951558036
ACH-001050,-0.268109344881
ACH-001053,-0.26607109766
ACH-001054,-0.31365836131999997
ACH-001061,-0.478380940905
ACH-001067,-0.3242932148
ACH-001075,-0.191471116259
ACH-001096,-0.255791881629
ACH-001128,-0.582511827996
ACH-001134,-0.24157849725699998
ACH-001151,-0.39236823571699997
ACH-001163,-0.209880480411
ACH-001164,-0.419717198543
ACH-001173,-0.28766256801999995
ACH-001183,-0.0966608985001
ACH-001184,-0.5974063171940001
ACH-001190,-0.362438627214
ACH-001192,-0.135396439422
ACH-001193,-0.734175765534
ACH-001196,-0.638329387155
ACH-001197,-0.461106559064
ACH-001205,-0.037661808831599995
ACH-001211,-0.565133481091
ACH-001212,-0.7938065696369999
ACH-001228,-0.669192959706
ACH-001232,-0.22374972760499998
ACH-001239,-0.528782070074
ACH-001274,-0.43506475380099996
ACH-001275,-0.43524532026699997
ACH-001277,-0.178498067699
ACH-001278,-0.410556993494
ACH-001280,-0.577432908549
ACH-001283,-0.26706992263
ACH-001289,-0.29553337709800004
ACH-001295,-0.29045707580200003
ACH-001300,-0.279869021251
ACH-001301,-0.308445468258
ACH-001302,-0.214556338375
ACH-001303,-0.334261399502
ACH-001306,-0.344014200833
ACH-001318,-0.230294034678
ACH-001322,-0.173673549539
ACH-001328,-0.40388551028700004
ACH-001332,-0.359804971157
ACH-001333,-0.31658979111900004
ACH-001336,-0.318983737682
ACH-001340,-0.380567801007
ACH-001346,-0.220377552786
ACH-001353,-0.5040673575419999
ACH-001354,0.005034786208699999
ACH-001367,-0.318854549551
ACH-001368,-0.558643791382
ACH-001374,-0.580735489733
ACH-001375,-0.327739944628
ACH-001377,-0.40663176352700003
ACH-001380,-0.28298522074
ACH-001391,-0.517608739835
ACH-001407,-0.379179145075
ACH-001408,-0.280877127949
ACH-001413,-0.282283720401
ACH-001430,0.147712734625
ACH-001431,-0.522961896244
ACH-001450,-0.301954952489
ACH-001496,-0.378613028618
ACH-001500,-0.333063749842
ACH-001521,-0.161179288833
ACH-001523,-0.152029325269
ACH-001532,-0.240787553728
ACH-001536,-0.360266590083
ACH-001550,-0.361490393177
ACH-001552,-0.41485619456999995
ACH-001554,-0.555731506231
ACH-001645,-0.34606733746600005
ACH-001654,-0.361561296681
ACH-001715,-0.45974760796
ACH-001735,-0.278903719226
ACH-001736,-0.294521143906
ACH-001737,-0.38545495923900003
ACH-001740,-0.547555746177
ACH-001745,-0.463811488093
ACH-001750,-0.175867174956
ACH-001765,-0.319761597504
ACH-001956,-0.4617697346
ACH-001957,-0.606609403456
