,CDC7 (8317)
ACH-001096,-1.3758546797600002
ACH-001128,-1.2829443119600001
ACH-001134,-1.3727021079100001
ACH-001151,-1.47244967133
ACH-001163,-1.3124886241
ACH-001164,-1.50229997595
ACH-001173,-1.37393507386
ACH-001183,-1.59214776058
ACH-001184,-1.50019021123
ACH-001190,-1.6628200624
ACH-001192,-1.7212897692200002
ACH-001193,-1.75921805551
ACH-001196,-1.5434307028299998
ACH-001197,-1.53209486901
ACH-001205,-1.62868804136
ACH-001211,-1.30528034144
ACH-001212,-1.1647449543100001
ACH-001228,-1.0278024193100002
ACH-001232,-1.35619313998
ACH-001239,-1.5902066580899998
ACH-001274,-1.4348451585
ACH-001275,-1.50133781981
ACH-001277,-1.4918865086300002
ACH-001278,-1.46755142848
ACH-001280,-2.16830059377
ACH-001283,-1.4885374140099998
ACH-001289,-1.6966995062
ACH-001295,-1.5424148628299998
ACH-001300,-1.6459822879700001
ACH-001301,-1.3111724931200002
ACH-001302,-1.80464634042
ACH-001303,-1.64221776803
ACH-001306,-1.4256544256600001
ACH-001318,-1.47346269442
ACH-001322,-1.59025488238
ACH-001328,-1.3929683240600002
ACH-001332,-1.1586140238
ACH-001333,-1.91285660748
ACH-001336,-1.64544943397
ACH-001340,-1.32368354072
ACH-001346,-1.56263723198
ACH-001353,-1.6261033625
ACH-001354,-1.1556506767399999
ACH-001367,-1.14911202561
ACH-001368,-1.41490209762
ACH-001374,-1.40133667383
ACH-001375,-1.4850792972
ACH-001377,-1.7186931374599999
ACH-001380,-1.2870416304999999
ACH-001391,-1.63393318135
ACH-001407,-1.43180566736
ACH-001408,-1.4954874199000001
ACH-001413,-1.45417824031
ACH-001430,-1.34757274296
ACH-001431,-1.7874624327700002
ACH-001450,-1.4459159821
ACH-001496,-1.53124817535
ACH-001500,-1.45951761342
ACH-001521,-1.51310726427
ACH-001523,-1.21302961042
ACH-001532,-1.54688329889
ACH-001536,-1.4827894429799997
ACH-001550,-1.69343684677
ACH-001552,-1.54164057317
ACH-001554,-1.58046858714
ACH-001645,-1.3705500215600002
ACH-001654,-1.53379195627
ACH-001715,-0.9764119530230001
ACH-001735,-1.64810111877
ACH-001736,-1.5750579126700002
ACH-001737,-1.38224146826
ACH-001740,-1.50033695309
ACH-001745,-1.5650857978100001
ACH-001750,-1.4329420341799999
ACH-001765,-1.50507734496
ACH-001956,-1.6405107889500001
ACH-001957,-1.65569216178
