,MAD2L1BP (9587)
ACH-000467,-0.36802119887900003
ACH-000468,-0.602371047284
ACH-000469,-0.417705051813
ACH-000470,-0.42934802858800003
ACH-000471,-0.377114979507
ACH-000472,-0.745839100467
ACH-000473,-0.27202107089
ACH-000475,-0.48989214641900003
ACH-000476,-0.30078169358
ACH-000477,-0.574830462983
ACH-000480,-0.125639778791
ACH-000481,-0.508273664897
ACH-000483,-0.13488529887599998
ACH-000484,-0.343695005686
ACH-000485,-0.48059516001
ACH-000486,-0.532981043769
ACH-000487,-0.39369289035599997
ACH-000488,-0.312161012869
ACH-000490,-0.35085113548600005
ACH-000491,-0.349727812027
ACH-000495,-0.15525748099300002
ACH-000496,-0.23927023384399998
ACH-000499,-0.454475835722
ACH-000500,-1.00844716541
ACH-000502,-0.754830601599
ACH-000503,-0.18586035124400002
ACH-000505,-0.146672669167
ACH-000507,-0.553248089711
ACH-000510,-0.599666284285
ACH-000511,-0.484015901598
ACH-000512,-0.35397493070200003
ACH-000516,-0.08011483733300001
ACH-000517,-0.805376270937
ACH-000518,-0.743524118236
ACH-000520,-0.41525354969800005
ACH-000521,-0.42184128877
ACH-000522,-0.17981580263799998
ACH-000524,-0.325401385227
ACH-000527,-0.519065757336
ACH-000528,-0.181014871052
ACH-000537,-0.223488483456
ACH-000541,-0.25069133840700003
ACH-000542,-0.575200579638
ACH-000544,-0.554195099128
ACH-000545,-0.287272616167
ACH-000547,-0.044795228144699994
ACH-000548,-0.451955514632
ACH-000549,-0.7290398439329999
ACH-000550,-0.332579521622
ACH-000552,-0.42702378325999996
ACH-000556,-0.469113843022
ACH-000557,0.037453142232
ACH-000570,-0.179106241531
ACH-000571,-0.5659814723569999
ACH-000573,-0.38018269943599997
ACH-000576,-0.36885864489200004
ACH-000580,-0.8678514505439999
ACH-000584,-0.37631985635399995
ACH-000585,-0.9122334640449999
ACH-000588,-0.163934752648
ACH-000589,-0.148749485709
ACH-000591,-0.29092758704
ACH-000593,-0.403159099196
ACH-000600,-0.429073194169
ACH-000601,-0.6491692899620001
ACH-000604,-0.317418744752
ACH-000605,-0.26227070063
ACH-000606,-0.684733104916
ACH-000608,-0.361862080885
ACH-000614,-0.620383638482
ACH-000616,-0.48404763315300003
ACH-000618,-0.261804125136
ACH-000619,-0.619450447213
ACH-000620,-0.479180377641
ACH-000621,-0.546487555775
ACH-000622,-0.0403976095368
ACH-000623,-0.5655409638669999
ACH-000624,-0.434023648938
ACH-000627,-0.32446111959699997
ACH-000630,-0.508545814903
ACH-000632,-0.194388992978
ACH-000633,-0.09588262904030001
ACH-000637,-0.619642222163
ACH-000638,-0.278190493725
ACH-000646,-0.31670206664
ACH-000647,-0.507682426489
ACH-000648,-0.448991039906
ACH-000649,-0.36695238892099996
ACH-000651,-0.185864290252
ACH-000652,-0.0438231035623
ACH-000653,-0.360266157991
ACH-000657,-0.339207381662
ACH-000658,-0.208032756792
ACH-000661,-0.54011632689
ACH-000662,-0.144606301263
ACH-000663,-0.508393196056
ACH-000665,-0.28650568141800004
ACH-000671,-0.21533751147900002
ACH-000673,-0.42183612508199997
ACH-000676,-0.27553135865600004
ACH-000677,-0.266110105853
ACH-000681,-0.415287647108
ACH-000682,-0.460899641707
ACH-000683,-0.124479441893
ACH-000684,-0.565111079729
ACH-000688,-0.806218248677
ACH-000693,-0.565940111589
ACH-000694,-0.41818641546400004
ACH-000695,-0.334907558921
ACH-000696,-0.24307873242
ACH-000697,-0.559879099873
ACH-000699,-0.819125468488
ACH-000701,-0.42531179798
ACH-000706,-0.48345137077
ACH-000711,-0.37224880850599995
ACH-000713,-0.290638800199
ACH-000714,-0.15028083402
ACH-000718,-0.512600384611
ACH-000720,-0.54254156167
ACH-000721,-0.6805514558660001
ACH-000724,-0.00445506514749
ACH-000725,-0.197506629646
ACH-000732,-0.6144512297160001
ACH-000734,-0.682474356703
ACH-000735,-1.03193199814
ACH-000736,-0.36243416593
ACH-000738,-0.295997627514
ACH-000746,0.157574502499
ACH-000747,-0.371082019093
ACH-000748,-0.557036118429
ACH-000753,-0.298636520968
ACH-000756,-0.686337998562
ACH-000757,-0.16413713626499998
ACH-000758,-0.317612545003
ACH-000760,-0.060520561407000004
ACH-000763,-0.265684703877
ACH-000764,-0.883841940605
ACH-000765,-0.385837589003
ACH-000766,-0.451915975373
ACH-000767,-0.11747174111
ACH-000768,0.009973101167120002
ACH-000769,-0.432569487873
ACH-000770,-0.23367578455600002
ACH-000771,-0.8246905025769999
ACH-000773,-0.709838879625
ACH-000776,-0.554247159533
ACH-000777,-0.367061836701
ACH-000778,-0.23261748630800003
ACH-000781,-0.40405483755599997
ACH-000782,-0.257325456133
ACH-000783,-0.434956174541
ACH-000784,-0.37038043869099996
ACH-000785,-0.5736730548260001
ACH-000787,-0.473542232866
ACH-000788,-0.12415328445999999
ACH-000791,-0.496573931743
ACH-000792,-0.306421619074
ACH-000794,-0.37289197319300005
ACH-000796,-0.09658437994539998
ACH-000799,-0.551120678714
ACH-000800,-0.32185835008499997
ACH-000802,-0.664822731236
ACH-000804,-0.517296585118
ACH-000805,-0.42988712496200004
ACH-000809,-0.253803500214
ACH-000810,-0.154402843371
ACH-000811,-0.24256857429900003
ACH-000817,-0.182210076397
ACH-000819,-0.193334860895
ACH-000820,-0.382837260499
ACH-000821,-0.140297413167
ACH-000822,-0.528931792072
ACH-000823,-0.361220281233
ACH-000824,-0.06596551765
ACH-000827,-0.404118233803
ACH-000829,-0.311483181556
ACH-000831,-0.289835167658
ACH-000832,-0.537740835379
ACH-000833,-0.32891515079399997
ACH-000834,-0.623361726396
ACH-000835,-0.26733009771899996
ACH-000836,-0.316049540726
ACH-000837,-0.195178532262
ACH-000838,-0.510995986266
ACH-000839,-0.703249164515
ACH-000840,-0.282893216892
ACH-000841,-0.35518583674599996
ACH-000843,-0.0685271701325
ACH-000846,-0.6359944368429999
ACH-000847,-0.14070218108
ACH-000848,-0.42607696175099996
ACH-000849,-0.5689630088300001
ACH-000851,-0.398101480362
ACH-000855,-0.08728080529549999
ACH-000856,-0.324723643719
ACH-000858,-0.285793827871
ACH-000859,-0.725962479431
ACH-000861,-0.27740091936
ACH-000862,-0.9795575336700001
ACH-000865,-0.549570169488
ACH-000866,-0.16800345784200002
ACH-000867,-0.914751539289
ACH-000869,-0.106775271327
ACH-000872,-0.29885484628000003
ACH-000873,-0.416326974557
ACH-000876,-0.367256088997
ACH-000878,-0.610141698302
ACH-000880,-0.491965911248
ACH-000881,-0.636059394731
ACH-000882,-0.49916836688999994
ACH-000884,-0.20209827296
ACH-000885,-0.757312663908
ACH-000887,-0.555747409683
ACH-000888,-0.11064508610099999
ACH-000889,-0.128298360221
ACH-000890,-0.126381796028
ACH-000896,-1.00601205168
ACH-000898,-0.559608160093
ACH-000900,-0.504978101272
ACH-000901,-0.324169668923
ACH-000905,-0.199603286864
ACH-000906,-0.257623397839
ACH-000907,-0.47215134339599996
ACH-000910,-0.193834607314
ACH-000911,-0.119396756975
ACH-000912,-0.18872188867400003
ACH-000913,-0.0285360205318
ACH-000915,-0.249720862846
ACH-000916,-0.175948121574
ACH-000917,-0.205334056291
ACH-000921,-0.140856218156
ACH-000924,-0.562843471619
ACH-000926,-0.310855895104
ACH-000928,-0.39235753559000003
ACH-000929,-0.21576966184799998
ACH-000932,-0.873757694665
ACH-000935,-0.617055932685
ACH-000936,-0.304708344504
ACH-000937,-0.155828583909
ACH-000938,-0.282860410648
ACH-000939,-0.351981736007
ACH-000941,-0.846362091143
ACH-000943,-0.386123970608
ACH-000946,-0.479432334495
ACH-000947,-0.5199448968289999
ACH-000948,-0.266220345757
ACH-000950,-0.42274363563199996
ACH-000953,-0.0931425772373
ACH-000957,-0.517680525568
ACH-000958,-0.41866355187
ACH-000960,-0.414838827972
ACH-000963,-0.267600380428
ACH-000968,-0.0167288310974
ACH-000969,-0.136233531054
ACH-000973,-0.45812330804799994
ACH-000974,-0.456202920669
ACH-000975,-0.219639804538
ACH-000976,-0.648385604928
ACH-000978,-0.234010190704
ACH-000980,-0.449451308951
ACH-000984,-0.637879360394
ACH-000986,-0.389507567531
ACH-000988,-0.511952410609
ACH-000993,-0.41147803299999997
ACH-000994,-0.34926086389
ACH-000996,-0.29946863935199997
ACH-001001,-0.324241292359
ACH-001020,-0.505053940185
ACH-001028,-0.23009516741900002
ACH-001031,-0.695487118662
ACH-001038,-0.094671418457
ACH-001048,-0.46536606293300004
ACH-001050,-0.663453546621
ACH-001053,-0.35137414069300005
ACH-001054,-0.323911426578
ACH-001061,-0.163050646187
ACH-001067,-0.913405888828
ACH-001075,-0.827767728229
ACH-001096,-0.42824000608400004
ACH-001128,-1.11235193839
ACH-001134,-0.785980513244
ACH-001151,-0.25161139543600003
ACH-001163,-0.10208840083699999
ACH-001164,-0.457010453256
ACH-001173,-0.36277591425
ACH-001183,-0.401060785114
ACH-001184,-0.176819663598
ACH-001190,-0.250982322949
ACH-001192,-0.432002920624
ACH-001193,-0.18893531706500002
ACH-001196,-0.167741701529
ACH-001197,-0.661305742835
ACH-001205,-0.493162097856
ACH-001211,-0.45287260118199996
ACH-001212,-0.677710394974
ACH-001228,-0.694684956857
ACH-001232,-0.146298044964
ACH-001239,-0.37003441605400006
ACH-001274,-0.820825212329
ACH-001275,-0.7584973007250001
ACH-001277,-0.342133075437
ACH-001278,-0.42966367400600003
ACH-001280,-0.43897429543000005
ACH-001283,-0.326646479605
ACH-001289,-0.52160060937
ACH-001295,-0.22684064471
ACH-001300,-0.607022471108
ACH-001301,-0.53516494228
ACH-001302,-0.544691434867
ACH-001303,-0.09659719423039999
ACH-001306,-0.195406036234
ACH-001318,-0.455968110589
ACH-001322,-0.380655665771
ACH-001328,-0.616592246506
ACH-001332,-0.170128818073
ACH-001333,-0.435647450783
ACH-001336,-0.6030898234600001
ACH-001340,-0.709533106461
ACH-001346,-0.6905985705359999
ACH-001353,-0.334067177205
ACH-001354,-0.143511631094
ACH-001367,-0.454067895109
ACH-001368,-0.139542453034
ACH-001374,-0.807056006743
ACH-001375,-0.406090637744
ACH-001377,-0.404332633776
ACH-001380,-0.40970386181699997
ACH-001391,-0.251503570162
ACH-001407,-0.302647199776
ACH-001408,-0.23855013817200002
ACH-001413,-0.7472107718950001
ACH-001430,-0.515670305121
ACH-001431,-0.379388302749
ACH-001450,-0.228192380858
ACH-001496,-0.11917067284800001
ACH-001500,-0.69003847969
ACH-001521,-0.274313661581
ACH-001523,-0.572182791493
ACH-001532,-0.92039141935
ACH-001536,-0.34109325855800005
ACH-001550,-0.412505380528
ACH-001552,-0.300642780479
ACH-001554,-0.3027618165
ACH-001645,-0.565710079013
ACH-001654,-0.644585995906
ACH-001715,-0.338510222834
ACH-001735,-0.140844706161
ACH-001736,-0.308050399461
ACH-001737,-0.13804990375099999
ACH-001740,-0.428630386769
ACH-001745,-0.32079259916999997
ACH-001750,-0.447115909493
ACH-001765,-0.690833648512
ACH-001956,-0.240115808619
ACH-001957,-0.676264547131
