,ONECUT3 (390874)
ACH-000973,0.22046945151099998
ACH-000974,0.0214327755645
ACH-000975,0.0102681204206
ACH-000976,-0.0164329008527
ACH-000978,0.09818551986330001
ACH-000980,0.0226214026232
ACH-000984,0.165614649211
ACH-000986,0.26029102274599997
ACH-000988,-0.131664001409
ACH-000993,-0.058526661663199996
ACH-000994,-0.007689240343109999
ACH-000996,-0.210578437388
ACH-001001,0.0868891876872
ACH-001020,-0.016172136915200003
ACH-001028,0.0521973074742
ACH-001031,0.247878477353
ACH-001038,0.0801462402225
ACH-001048,0.10532656935200001
ACH-001050,0.0066598260869200005
ACH-001053,-0.10134965377499999
ACH-001054,0.244977023109
ACH-001061,0.0654967046913
ACH-001067,-0.07790906271339999
ACH-001075,0.11604375897
ACH-001096,0.263698052594
ACH-001128,-0.358302355589
ACH-001134,0.248373771613
ACH-001151,0.09646957328119998
ACH-001163,0.11434822558499999
ACH-001164,0.04369134389
ACH-001173,0.129346884044
ACH-001183,-0.019417796381900002
ACH-001184,-0.0503071158619
ACH-001190,0.294947548711
ACH-001192,-0.125173093121
ACH-001193,0.368227030893
ACH-001196,0.34271595282799994
ACH-001197,-0.0385816704811
ACH-001205,0.0698496872845
ACH-001211,0.08389769849610001
ACH-001212,-0.0198124906906
ACH-001228,0.00719129739068
ACH-001232,0.214061596478
ACH-001239,0.021699444864599998
ACH-001274,-0.0944527831391
ACH-001275,0.122095690778
ACH-001277,-0.0744706038085
ACH-001278,0.336745431763
ACH-001280,0.399766212059
ACH-001283,0.29687609743099996
ACH-001289,0.239350596679
ACH-001295,0.181495875759
ACH-001300,0.147909620821
ACH-001301,0.0819469828082
ACH-001302,-0.0219202884597
ACH-001303,0.147337841185
ACH-001306,-0.00815449071158
ACH-001318,0.0391560849929
ACH-001322,-0.186239409844
ACH-001328,-0.0817236754294
ACH-001332,0.035115960064500004
ACH-001333,-0.24414617403299999
ACH-001336,0.08601102126700001
ACH-001340,-0.07689368866669999
ACH-001346,0.0376550380988
ACH-001353,-0.0448688112823
ACH-001354,-0.472333868552
ACH-001367,0.0188096012378
ACH-001368,0.017165363277100002
ACH-001374,-0.10761278777200001
ACH-001375,-0.00854863491947
ACH-001377,0.0292272759063
ACH-001380,-0.178389862781
ACH-001391,-0.281513856716
ACH-001407,0.11172786878100001
ACH-001408,0.20490907707000003
ACH-001413,0.193133607753
ACH-001430,-0.10177531227299999
ACH-001431,0.0932242440426
ACH-001450,0.289439888316
ACH-001496,0.198539933569
ACH-001500,0.311989180268
ACH-001521,0.0219664504489
ACH-001523,-0.025191394807
ACH-001532,0.210747566904
ACH-001536,0.308383532968
ACH-001550,0.24587200310600002
ACH-001552,0.394600513676
ACH-001554,0.06680865443659999
ACH-001645,-0.0220015730401
ACH-001654,0.0396161343596
ACH-001715,-0.0672296064772
ACH-001735,-0.011977718921999999
ACH-001736,0.030019522290400003
ACH-001737,0.324251437242
ACH-001740,0.18007943557
ACH-001745,0.0669672409357
ACH-001750,-0.005606170005720001
ACH-001765,0.00917380333826
ACH-001956,0.196608649338
ACH-001957,0.05524991756580001
