,GTF2A1 (2957)
ACH-000651,-0.9273804768680001
ACH-000652,-0.8880094005850001
ACH-000653,-0.7019764195810001
ACH-000657,-0.9283782475740001
ACH-000658,-0.929464795327
ACH-000661,-0.782373387957
ACH-000662,-0.5685707595049999
ACH-000663,-1.0549875208600001
ACH-000665,-0.904276860875
ACH-000671,-1.02827466777
ACH-000673,-0.615760636891
ACH-000676,-0.656865382572
ACH-000677,-1.11280856034
ACH-000681,-0.786781599804
ACH-000682,-0.5869183584409999
ACH-000683,-0.782837436969
ACH-000684,-1.11409925016
ACH-000688,-0.640518427213
ACH-000693,-0.782018991872
ACH-000694,-0.656965302022
ACH-000695,-1.29900038007
ACH-000696,-0.9622837513950001
ACH-000697,-0.822286517018
ACH-000699,-0.7310313130380001
ACH-000701,-1.28240623202
ACH-000706,-0.8755809955730001
ACH-000711,-0.882870083531
ACH-000713,-0.635278444803
ACH-000714,-1.15617941728
ACH-000718,-0.616279177618
ACH-000720,-0.794497336832
ACH-000721,-0.8514381229960001
ACH-000724,-0.898679247779
ACH-000725,-1.03008537421
ACH-000732,-1.05350174198
ACH-000734,-0.873616779982
ACH-000735,-0.78834528638
ACH-000736,-0.832497824278
ACH-000738,-0.7400100766509999
ACH-000746,-1.1113770459299999
ACH-000747,-0.9508052177320001
ACH-000748,-0.7458608294499999
ACH-000753,-0.8097832984540001
ACH-000756,-0.844460338656
ACH-000757,-0.844193570788
ACH-000758,-0.9445020227140001
ACH-000760,-1.1070688808
ACH-000763,-1.54518632778
ACH-000764,-0.903161562446
ACH-000765,-0.7099830153360001
ACH-000766,-0.817078150821
ACH-000767,-0.958242586795
ACH-000768,-0.667786175866
ACH-000769,-0.9710740380060001
ACH-000770,-0.8395679208460001
ACH-000771,-0.676436998354
ACH-000773,-0.760072344181
ACH-000776,-0.793396266443
ACH-000777,-0.8769896728669999
ACH-000778,-0.647738387046
ACH-000781,-0.858338856813
ACH-000782,-0.8397982380069999
ACH-000783,-0.773641516786
ACH-000784,-0.893054073204
ACH-000785,-0.74759405079
ACH-000787,-1.01256178109
ACH-000788,-0.8786482929009999
ACH-000791,-1.02788219206
ACH-000792,-0.940987246243
ACH-000794,-0.509541092163
ACH-000796,-0.7295092626620001
ACH-000799,-0.872564344946
ACH-000800,-0.641241641279
ACH-000802,-0.889209265342
ACH-000804,-0.6937290466830001
ACH-000805,-1.04790696325
ACH-000809,-0.5749605977560001
ACH-000810,-1.00972184266
ACH-000811,-0.894011711481
ACH-000817,-0.930830797719
ACH-000819,-1.06694899782
ACH-000820,-1.08405316966
ACH-000821,-0.954212544817
ACH-000822,-0.797991033045
ACH-000823,-0.641177761773
ACH-000824,-0.865076016701
ACH-000827,-0.815068650802
ACH-000829,-0.7931003969
ACH-000831,-1.0203807254600001
ACH-000832,-0.546652583179
ACH-000833,-0.8332460441419999
ACH-000834,-0.651145129086
ACH-000835,-0.9491203386049999
ACH-000836,-0.431921486772
ACH-000837,-1.09841545395
ACH-000838,-0.960747327719
ACH-000839,-0.845682351615
ACH-000840,-1.03715822206
ACH-000841,-0.6871596969470001
ACH-000843,-0.8212907821459999
ACH-000846,-0.8157912260619999
ACH-000847,-0.681426803192
ACH-000848,-1.20054705971
ACH-000849,-0.975019728031
ACH-000851,-0.8849879427200001
ACH-000855,-0.802763559099
ACH-000856,-1.06081312355
ACH-000858,-0.930655866018
ACH-000859,-0.534207815893
ACH-000861,-0.7407650698199999
ACH-000862,-0.47034636042800004
ACH-000865,-0.9997998473459999
ACH-000866,-0.93592168674
ACH-000867,-0.8424303034980001
ACH-000869,-0.8115182853919999
ACH-000872,-0.764604519201
ACH-000873,-0.7871582149240001
ACH-000876,-1.07941831066
ACH-000878,-0.893398456603
ACH-000880,-0.517883648737
ACH-000881,-0.85610845921
ACH-000882,-0.7414893263410001
ACH-000884,-0.76485633052
ACH-000885,-0.914741277168
ACH-000887,-0.980426869074
ACH-000888,-0.6596456918670001
ACH-000889,-0.7939577174179999
ACH-000890,-0.46507045368
ACH-000896,-1.06551707851
ACH-000898,-0.764273572729
ACH-000900,-0.931786960538
ACH-000901,-0.37819662799099996
ACH-000905,-0.715884020992
ACH-000906,-0.69333606517
ACH-000907,-0.7791705029520001
ACH-000910,-0.746726814065
ACH-000911,-0.909289609305
ACH-000912,-0.8178444842470001
ACH-000913,-0.975424061038
ACH-000915,-0.906666965229
ACH-000916,-1.43091579961
ACH-000917,-1.0528273559399999
ACH-000921,-0.936477835206
ACH-000924,-0.900293507701
ACH-000926,-0.727144862791
ACH-000928,-1.0586563748
ACH-000929,-0.985958308355
ACH-000932,-0.964419162478
ACH-000935,-0.713595799384
ACH-000936,-0.9312551026989999
ACH-000937,-0.709293025527
ACH-000938,-0.739159055871
ACH-000939,-0.569807277503
ACH-000941,-1.33020514838
ACH-000943,-0.771146917885
ACH-000946,-0.9693400239059999
ACH-000947,-0.996276846474
ACH-000948,-0.7599098945
ACH-000950,-0.5033304662479999
ACH-000953,-0.7308320078399999
ACH-000957,-0.921167910303
ACH-000958,-0.524239556667
ACH-000960,-0.809823365676
ACH-000963,-1.08889707356
ACH-000968,-0.684188740697
ACH-000969,-0.911054245561
ACH-000973,-0.877471744685
ACH-000974,-0.9297701218200001
ACH-000975,-0.713717592844
ACH-000976,-0.327451822455
ACH-000978,-0.785695213996
ACH-000980,-0.917524962025
ACH-000984,-1.03869021514
ACH-000986,-0.7287834641259999
ACH-000988,-1.1869433381399999
ACH-000993,-1.03743226806
ACH-000994,-0.926654388364
ACH-000996,-1.0671675080299998
ACH-001001,-0.988051860354
ACH-001020,-0.656629171529
ACH-001028,-0.800421104872
ACH-001031,-1.14461433795
ACH-001038,-0.918497209058
ACH-001048,-0.848156430612
ACH-001050,-1.22300914025
ACH-001053,-0.8738093036750001
ACH-001054,-0.830567784164
ACH-001061,-0.953071619419
ACH-001067,-1.02673543787
ACH-001075,-0.748678708682
ACH-001096,-1.02297290068
ACH-001128,-0.06068411544150001
ACH-001134,-0.839684795001
ACH-001151,-0.631561853568
ACH-001163,-0.776035802837
ACH-001164,-1.14418589154
ACH-001173,-0.792420514025
ACH-001183,-0.9918629552700001
ACH-001184,-0.786684406695
ACH-001190,-0.908920981093
ACH-001192,-0.8195420478650001
ACH-001193,-0.7822423165379999
ACH-001196,-1.13328086334
ACH-001197,-0.779896626579
ACH-001205,-0.780241835979
ACH-001211,-0.915728128196
ACH-001212,-0.8895076141680001
ACH-001228,-0.8858195130869999
ACH-001232,-0.7435718078560001
ACH-001239,-0.48271900821999997
ACH-001274,-0.450765563821
ACH-001275,-0.980024962242
ACH-001277,-0.961146707867
ACH-001278,-1.11983046885
ACH-001280,-1.0740675612100001
ACH-001283,-0.906128292263
ACH-001289,-1.01363439055
ACH-001295,-1.18598398162
ACH-001300,-0.960295145882
ACH-001301,-1.1795886141
ACH-001302,-0.533615772827
ACH-001303,-0.46511338116400003
ACH-001306,-0.622758096259
ACH-001318,-1.0973858869700002
ACH-001322,-0.9760107582790001
ACH-001328,-0.861296622359
ACH-001332,-0.8297293112749999
ACH-001333,-0.821672920056
ACH-001336,-0.792105301724
ACH-001340,-0.735858806892
ACH-001346,-0.785102137068
ACH-001353,-0.775770915149
ACH-001354,-0.967694807976
ACH-001367,-1.07983082877
ACH-001368,-0.873824544836
ACH-001374,-1.01541702181
ACH-001375,-0.8035616954420001
ACH-001377,-0.934028482954
ACH-001380,-0.875827446751
ACH-001391,-0.525720242683
ACH-001407,-0.498260853196
ACH-001408,-0.775573114695
ACH-001413,-1.03998987687
ACH-001430,-0.920687222919
ACH-001431,-0.954438787404
ACH-001450,-0.991521598753
ACH-001496,-0.7679289727390001
ACH-001500,-0.552277090865
ACH-001521,-1.06153889841
ACH-001523,-0.925604253214
ACH-001532,-1.0424331637200002
ACH-001536,-0.823291693513
ACH-001550,-0.533660512371
ACH-001552,-1.14322954446
ACH-001554,-0.852952847382
ACH-001645,-1.09700594662
ACH-001654,-0.774369809237
ACH-001715,-0.914979002378
ACH-001735,-0.7161466546870001
ACH-001736,-0.8742438601729999
ACH-001737,-0.620710053922
ACH-001740,-0.697726862901
ACH-001745,-0.7670222000069999
ACH-001750,-0.870374005326
ACH-001765,-0.9829130219
ACH-001956,-1.03855192627
ACH-001957,-0.753069380044
