,BMF (90427)
ACH-000684,-0.33687323406900005
ACH-000688,-0.0318713535564
ACH-000693,-0.29802615955899997
ACH-000694,-0.236593311946
ACH-000695,0.05308526154709999
ACH-000696,-0.277606835711
ACH-000697,0.052103574172400004
ACH-000699,-0.182088258933
ACH-000701,-0.114040541402
ACH-000706,-0.22888932807300003
ACH-000711,-0.24789567177400001
ACH-000713,-0.28095470485999996
ACH-000714,-0.35435052321099997
ACH-000718,-0.305357923416
ACH-000720,-0.18315005818
ACH-000721,-0.20342790499699998
ACH-000724,-0.0593514687823
ACH-000725,-0.17040251492400002
ACH-000732,-0.315099697021
ACH-000734,-0.15776206415
ACH-000735,-0.15509124946699998
ACH-000736,-0.26686882194600003
ACH-000738,-0.19853448870999998
ACH-000746,-0.220646217872
ACH-000747,-0.21238191280299998
ACH-000748,-0.0966443098983
ACH-000753,-0.24219392855900002
ACH-000756,-0.334476610491
ACH-000757,-0.677814410366
ACH-000758,-0.03485873913030001
ACH-000760,-0.393672578499
ACH-000763,-0.533177495878
ACH-000764,-0.211589037142
ACH-000765,-0.0681595197939
ACH-000766,-0.255878763739
ACH-000767,0.103982126089
ACH-000768,-0.259447283156
ACH-000769,-0.40449260150300004
ACH-000770,-0.374123228161
ACH-000771,-0.183976462559
ACH-000773,-0.45910617799599995
ACH-000776,-0.0016536846311500002
ACH-000777,-0.14159503027
ACH-000778,-0.267984980322
ACH-000781,-0.34169894848099996
ACH-000782,-0.10896937340299999
ACH-000783,-0.07193050374099999
ACH-000784,-0.276209303699
ACH-000785,-0.319577086753
ACH-000787,-0.292772717272
ACH-000788,-0.166899133837
ACH-000791,-0.532840400862
ACH-000792,-0.260825743377
ACH-000794,-0.117216910538
ACH-000796,-0.15776444228800002
ACH-000799,-0.164023166688
ACH-000800,-0.27407655138
ACH-000802,-0.27914520750599997
ACH-000804,-0.0387302214594
ACH-000805,-0.17060046848299998
ACH-000809,-0.226077044518
ACH-000810,-0.731996933986
ACH-000811,-0.264277675697
ACH-000817,-0.43737117445900003
ACH-000819,-0.10481649817399999
ACH-000820,-0.10352646177100001
ACH-000821,-0.140209363072
ACH-000822,0.09217048653439999
ACH-000823,-0.161320052665
ACH-000824,-0.18964245800700003
ACH-000827,-0.26098683726
ACH-000829,-0.0890014809263
ACH-000831,-0.158546768498
ACH-000832,-0.23977584058200002
ACH-000833,-0.275863196762
ACH-000834,0.029371733324099997
ACH-000835,-0.166590369775
ACH-000836,-0.18793635679499998
ACH-000837,-0.175887361013
ACH-000838,-0.163903770691
ACH-000839,-0.134443053551
ACH-000840,-0.160494092347
ACH-000841,-0.275100181173
ACH-000843,-0.179290721116
ACH-000846,-0.0687318165807
ACH-000847,-0.213363586063
ACH-000848,-0.006562746956729999
ACH-000849,-0.227188765902
ACH-000851,-0.31940828817600003
ACH-000855,-0.479399082742
ACH-000856,-0.0398808716329
ACH-000858,-0.0809687265921
ACH-000859,-0.315053179193
ACH-000861,-0.404320676538
ACH-000862,-0.0879636498941
ACH-000865,-0.159780393813
ACH-000866,-0.14362354373
ACH-000867,-0.299332187487
ACH-000869,-0.07917713024629999
ACH-000872,-0.21541463089899998
ACH-000873,-0.441240478504
ACH-000876,-0.08687440372960001
ACH-000878,-0.07554009816910001
ACH-000880,-0.047234710028999996
ACH-000881,-0.143807040331
ACH-000882,-0.274162330219
ACH-000884,-0.314768576648
ACH-000885,-0.31901273723400003
ACH-000887,-0.0947617551593
ACH-000888,-0.0654984046901
ACH-000889,-0.144690863634
ACH-000890,-0.19378218051100002
ACH-000896,-0.170761121904
ACH-000898,-0.31277370497699997
ACH-000900,-0.310955361241
ACH-000901,-0.129750633992
ACH-000905,-0.162069481353
ACH-000906,-0.192460397629
ACH-000907,-0.0646619055879
ACH-000910,-0.296102705561
ACH-000911,-0.148591213678
ACH-000912,-0.09650486417760001
ACH-000913,-0.0874346679807
ACH-000915,-0.224234773948
ACH-000916,-0.26428036438
ACH-000917,-0.12392214692299999
ACH-000921,-0.11909529862500001
ACH-000924,-0.058228497295500004
ACH-000926,-0.277107021785
