,mutation counts,nonsilent mutations
ACH-000248,783,569
ACH-000250,311,213
ACH-000251,239,184
ACH-000253,361,274
ACH-000255,346,252
ACH-000256,267,202
ACH-000257,369,261
ACH-000258,377,264
ACH-000259,295,232
ACH-000260,272,189
ACH-000261,383,285
ACH-000262,264,194
ACH-000263,366,251
ACH-000264,341,245
ACH-000265,357,267
ACH-000266,270,189
ACH-000272,131,104
ACH-000273,181,139
ACH-000274,285,202
ACH-000277,341,234
ACH-000278,295,232
ACH-000279,266,202
ACH-000280,337,219
ACH-000281,416,294
ACH-000288,260,194
ACH-000291,287,202
ACH-000293,258,194
ACH-000294,330,249
ACH-000295,309,242
ACH-000296,561,400
ACH-000302,322,247
ACH-000304,545,386
ACH-000307,330,235
ACH-000308,442,342
ACH-000310,140,105
ACH-000311,356,262
ACH-000312,331,248
ACH-000315,431,325
ACH-000316,326,237
ACH-000317,342,240
ACH-000318,399,285
ACH-000319,402,296
ACH-000320,313,217
ACH-000322,358,262
ACH-000323,274,207
ACH-000324,297,218
ACH-000329,244,174
ACH-000330,343,264
ACH-000331,218,163
ACH-000332,310,224
ACH-000334,466,355
ACH-000335,264,187
ACH-000336,230,167
ACH-000337,389,295
ACH-000339,299,226
ACH-000341,293,210
ACH-000348,370,255
ACH-000350,493,385
ACH-000352,472,356
ACH-000356,444,315
ACH-000361,140,110
ACH-000362,327,233
ACH-000363,329,244
ACH-000364,401,293
ACH-000365,348,263
ACH-000366,465,339
ACH-000368,311,216
ACH-000374,327,240
ACH-000375,352,264
ACH-000376,400,313
ACH-000381,503,383
ACH-000383,318,232
ACH-000387,476,362
ACH-000389,415,314
ACH-000390,326,228
ACH-000393,417,289
ACH-000395,528,403
ACH-000397,390,274
ACH-000401,448,327
ACH-000402,313,230
ACH-000403,239,188
ACH-000404,372,267
ACH-000406,360,290
ACH-000407,300,215
ACH-000408,669,473
ACH-000410,430,339
ACH-000411,273,206
ACH-000414,638,493
ACH-000415,219,166
ACH-000416,693,532
ACH-000420,428,317
ACH-000421,301,225
ACH-000424,438,324
ACH-000425,493,343
ACH-000426,496,353
ACH-000427,436,314
ACH-000433,251,198
ACH-000436,181,142
ACH-000444,501,372
ACH-000445,383,289
ACH-000448,506,374
ACH-000450,454,322
ACH-000452,415,298
ACH-000454,351,246
ACH-000458,274,189
ACH-000459,329,235
ACH-000460,370,264
ACH-000461,361,270
ACH-000463,511,400
ACH-000464,343,254
ACH-000466,370,251
ACH-000467,521,378
ACH-000468,442,333
ACH-000469,352,237
ACH-000470,512,383
ACH-000471,408,299
ACH-000472,538,387
ACH-000473,341,242
ACH-000475,568,402
ACH-000476,449,302
ACH-000477,307,210
ACH-000480,452,328
ACH-000481,575,424
ACH-000483,369,268
ACH-000484,277,209
ACH-000485,434,321
ACH-000486,477,353
ACH-000487,328,236
ACH-000488,638,471
ACH-000490,416,305
ACH-000491,510,397
ACH-000495,310,238
ACH-000496,392,300
ACH-000499,302,234
ACH-000500,460,358
ACH-000502,259,205
ACH-000503,323,228
ACH-000505,412,304
ACH-000507,590,423
ACH-000510,603,467
ACH-000511,368,265
ACH-000512,446,332
ACH-000516,365,268
ACH-000517,294,221
ACH-000518,376,278
ACH-000520,319,250
ACH-000521,483,369
ACH-000522,440,339
ACH-000524,447,313
ACH-000527,517,385
ACH-000528,624,462
ACH-000537,337,242
ACH-000541,518,371
ACH-000542,289,211
ACH-000544,400,294
ACH-000545,757,560
ACH-000547,292,227
ACH-000548,547,400
ACH-000549,412,294
ACH-000550,568,389
ACH-000552,563,419
ACH-000556,525,366
ACH-000557,270,196
ACH-000570,502,363
ACH-000571,290,221
ACH-000573,485,379
ACH-000576,534,403
ACH-000580,405,283
ACH-000584,512,368
ACH-000585,532,417
ACH-000588,576,398
ACH-000589,548,405
ACH-000591,186,138
ACH-000593,190,137
ACH-000600,229,171
ACH-000601,442,338
ACH-000604,367,268
ACH-000605,667,506
ACH-000606,280,205
ACH-000608,384,281
ACH-000614,518,368
ACH-000616,608,473
ACH-000618,324,227
ACH-000619,431,346
ACH-000620,563,398
ACH-000621,635,471
ACH-000622,484,342
ACH-000623,335,234
ACH-000624,421,287
ACH-000627,518,411
ACH-000630,449,313
ACH-000632,489,329
ACH-000633,646,459
ACH-000637,714,522
ACH-000638,728,571
ACH-000646,474,340
ACH-000647,705,533
ACH-000648,397,291
ACH-000649,512,387
ACH-000651,723,521
ACH-000652,542,389
ACH-000653,426,323
ACH-000657,763,532
ACH-000658,288,209
ACH-000661,470,325
ACH-000662,694,514
ACH-000663,499,370
ACH-000665,688,551
ACH-000671,494,342
ACH-000673,236,179
ACH-000676,587,420
ACH-000677,395,310
ACH-000681,771,576
ACH-000682,438,327
ACH-000683,569,428
ACH-000684,383,277
ACH-000688,244,181
ACH-000693,867,594
ACH-000694,781,587
ACH-000695,324,257
ACH-000696,491,366
ACH-000697,856,644
ACH-000699,604,466
ACH-000701,346,240
ACH-000706,653,507
ACH-000711,275,208
ACH-000713,405,288
ACH-000714,953,686
ACH-000718,889,692
ACH-000720,475,361
ACH-000721,586,430
ACH-000724,453,328
ACH-000725,632,474
ACH-000732,288,221
ACH-000734,612,445
ACH-000735,340,262
ACH-000736,491,354
ACH-000738,690,486
ACH-000746,513,365
ACH-000747,786,606
ACH-000748,379,277
ACH-000753,490,339
ACH-000756,600,453
ACH-000757,643,478
ACH-000758,691,507
ACH-000760,559,406
ACH-000763,605,422
ACH-000764,755,566
ACH-000765,450,319
ACH-000766,749,579
ACH-000767,693,509
ACH-000768,576,434
ACH-000769,581,429
ACH-000770,942,701
ACH-000771,367,269
ACH-000773,796,586
ACH-000776,800,615
ACH-000777,1131,814
ACH-000778,621,475
ACH-000781,824,641
ACH-000782,755,566
ACH-000783,648,469
ACH-000784,789,581
ACH-000785,980,738
ACH-000787,689,525
ACH-000788,772,565
ACH-000791,893,666
ACH-000792,438,321
ACH-000794,351,240
ACH-000796,605,434
ACH-000799,680,484
ACH-000800,1194,954
ACH-000802,482,349
ACH-000804,995,748
ACH-000805,1001,704
ACH-000809,1219,887
ACH-000810,765,554
ACH-000811,887,646
ACH-000817,736,506
ACH-000819,790,603
ACH-000820,797,605
ACH-000821,748,537
ACH-000822,748,537
ACH-000823,1123,797
ACH-000824,831,605
ACH-000827,730,534
ACH-000829,888,638
ACH-000831,746,553
ACH-000832,586,428
ACH-000833,551,412
ACH-000834,291,221
ACH-000835,1034,709
ACH-000836,237,171
ACH-000837,828,636
ACH-000838,600,460
ACH-000839,613,428
ACH-000840,767,584
ACH-000841,970,749
ACH-000843,1163,859
ACH-000846,685,502
ACH-000847,936,715
ACH-000848,1091,819
ACH-000849,570,406
ACH-000851,906,681
ACH-000855,905,659
ACH-000856,1148,857
ACH-000858,788,572
ACH-000859,504,344
ACH-000861,697,532
ACH-000862,761,572
ACH-000865,1007,757
ACH-000866,1183,864
ACH-000867,904,688
ACH-000869,1195,925
ACH-000872,1309,1020
ACH-000873,1100,785
ACH-000876,1023,753
ACH-000878,1140,860
ACH-000880,1086,833
ACH-000881,1259,856
ACH-000882,1635,1154
ACH-000884,1687,1166
ACH-000885,1569,1220
ACH-000887,372,280
ACH-000888,1774,1390
ACH-000889,1219,904
ACH-000890,1579,1227
ACH-000896,626,461
ACH-000898,1280,1029
ACH-000900,1519,1135
ACH-000901,569,423
ACH-000905,678,481
ACH-000906,831,606
ACH-000907,1299,961
ACH-000910,1196,864
ACH-000911,1674,1216
ACH-000912,1843,1435
ACH-000913,1408,1111
ACH-000915,1577,1055
ACH-000916,2019,1557
ACH-000917,1362,1072
ACH-000921,2056,1591
ACH-000924,1968,1527
ACH-000926,1447,1139
ACH-000928,2495,1884
ACH-000929,2513,1907
ACH-000932,2488,1911
ACH-000935,1122,764
ACH-000936,2078,1565
ACH-000937,4973,3587
ACH-000938,2467,1765
ACH-000939,2535,1939
ACH-000941,2649,1927
ACH-000943,4502,3480
ACH-000946,2797,2120
ACH-000947,2502,1882
ACH-000948,3048,2322
ACH-000950,3100,2358
ACH-000953,3152,2282
ACH-000957,2945,2324
ACH-000958,3736,2823
ACH-000960,2771,1950
ACH-000963,4125,3146
ACH-000968,2661,1846
ACH-000969,4652,3354
ACH-000973,2911,2085
ACH-000974,4442,3229
ACH-000975,3153,2405
ACH-000976,534,371
ACH-000978,7583,5929
ACH-000980,3005,2004
ACH-000984,6035,4532
ACH-000986,7488,5789
ACH-000988,6916,4938
ACH-000993,8158,6686
ACH-000994,9725,7020
ACH-000996,11221,9119
ACH-001001,442,335
ACH-001020,171,126
ACH-001028,394,276
ACH-001031,223,150
ACH-001038,157,116
ACH-001048,158,119
ACH-001050,203,137
ACH-001053,196,128
ACH-001054,254,170
ACH-001061,0,0
ACH-001067,5390,842
ACH-001075,401,287
ACH-001096,222,157
ACH-001128,255,184
ACH-001134,393,298
ACH-001151,198,140
ACH-001163,246,172
ACH-001164,232,161
ACH-001173,356,270
ACH-001183,267,192
ACH-001184,549,393
ACH-001190,1297,920
ACH-001192,196,151
ACH-001193,349,272
ACH-001196,219,163
ACH-001197,466,327
ACH-001205,123,96
ACH-001211,164,117
ACH-001212,360,254
ACH-001228,285,213
ACH-001232,248,169
ACH-001239,543,386
ACH-001274,826,566
ACH-001275,372,267
ACH-001277,309,214
ACH-001278,194,136
ACH-001280,227,162
ACH-001283,233,169
ACH-001289,208,143
ACH-001295,202,151
ACH-001300,218,161
ACH-001301,182,131
ACH-001302,241,175
ACH-001303,274,203
ACH-001306,465,329
ACH-001318,1223,905
ACH-001322,268,199
ACH-001328,606,455
ACH-001332,285,203
ACH-001333,2826,2172
ACH-001336,563,396
ACH-001340,152,107
ACH-001346,179,131
ACH-001353,161,112
ACH-001354,283,213
ACH-001367,570,424
ACH-001368,289,212
ACH-001374,395,291
ACH-001375,178,131
ACH-001377,1764,1290
ACH-001380,161,115
ACH-001391,293,215
ACH-001407,586,414
ACH-001408,448,329
ACH-001413,553,414
ACH-001430,167,120
ACH-001431,182,129
ACH-001450,269,209
ACH-001496,354,250
ACH-001500,339,248
ACH-001521,1221,829
ACH-001523,500,365
ACH-001532,262,185
ACH-001536,547,389
ACH-001550,5965,3930
ACH-001552,1821,1260
ACH-001554,153,110
ACH-001645,972,738
ACH-001654,247,195
ACH-001715,500,359
ACH-001735,1060,794
ACH-001736,252,185
ACH-001737,1566,1111
ACH-001740,367,276
ACH-001745,157,116
ACH-001750,370,244
ACH-001765,283,221
ACH-001956,172,113
ACH-001957,200,150
