,GPR35 (2859)
ACH-000882,-0.23231291023400003
ACH-000884,-0.09588216862669999
ACH-000885,-0.167406229679
ACH-000887,-0.10852768995300001
ACH-000888,-0.23653001388300002
ACH-000889,-0.148246299906
ACH-000890,-0.373144449112
ACH-000896,-0.167526275533
ACH-000898,-0.17641761932799999
ACH-000900,-0.20463375380999999
ACH-000901,-0.157778746265
ACH-000905,-0.00672288161158
ACH-000906,-0.13798796255
ACH-000907,-0.32793018278499997
ACH-000910,-0.361601551043
ACH-000911,-0.19326769644699998
ACH-000912,-0.162463184142
ACH-000913,-0.16635142773
ACH-000915,-0.100202421289
ACH-000916,-0.8856378220209999
ACH-000917,-0.14503401037900002
ACH-000921,-0.221679050584
ACH-000924,-0.250903726246
ACH-000926,-0.188498965374
ACH-000928,-0.109361005062
ACH-000929,-0.455942851805
ACH-000932,-0.11260205943700001
ACH-000935,-0.26047200399500003
ACH-000936,-0.22551686390200001
ACH-000937,-0.172883488099
ACH-000938,-0.139991958573
ACH-000939,-0.034732101891400004
ACH-000941,-8.66214518555e-06
ACH-000943,-0.14154705585799998
ACH-000946,-0.054148922884
ACH-000947,-0.128767280369
ACH-000948,-0.203682020825
ACH-000950,-0.360685547906
ACH-000953,-0.191683192306
ACH-000957,-0.019999931804099997
ACH-000958,-0.211309137495
ACH-000960,-0.220083231996
ACH-000963,-0.176777524545
ACH-000968,-0.461758208581
ACH-000969,-0.022218658625599998
ACH-000973,-0.16596122950699999
ACH-000974,-0.0876845232904
ACH-000975,-0.143918268048
ACH-000976,-0.13767018487
ACH-000978,-0.329908675255
ACH-000980,-0.18617771870799998
ACH-000984,-0.08639793992070001
ACH-000986,-0.24694847992
ACH-000988,-0.27834116841999995
ACH-000993,-0.21737615234299998
ACH-000994,-0.225046822872
ACH-000996,-0.440919310226
ACH-001001,-0.17481150831099998
ACH-001020,-0.0437673194032
ACH-001028,-0.254251011733
ACH-001031,-0.135472289632
ACH-001038,-0.12286173331700001
ACH-001048,-0.17980952418499999
ACH-001050,-0.103778493499
ACH-001053,-0.197043802951
ACH-001054,-0.152580651923
ACH-001061,-0.163070305953
ACH-001067,-0.177867984373
ACH-001075,-0.0204683421147
ACH-001096,-0.227841982776
ACH-001128,-0.51064031025
ACH-001134,-0.0872255456707
ACH-001151,-0.35384788694799996
ACH-001163,-0.132282396325
ACH-001164,-0.0618280301111
ACH-001173,-0.0661325280624
ACH-001183,-0.0285409018244
ACH-001184,-0.460343348292
ACH-001190,-0.244524666419
ACH-001192,-0.14087099826
ACH-001193,-0.0136349614499
ACH-001196,-0.0731696255978
ACH-001197,-0.27153959052
ACH-001205,-0.017622980689
ACH-001211,-0.155129704335
ACH-001212,-0.733523527585
ACH-001228,-0.358855399885
ACH-001232,0.0311614355292
ACH-001239,-0.140569091675
ACH-001274,-0.223592585436
ACH-001275,-0.25594018627500004
ACH-001277,-0.114244560669
ACH-001278,0.210373316698
ACH-001280,-0.204534265241
ACH-001283,-0.25744039056699997
ACH-001289,-0.37610995791999996
ACH-001295,-0.110985757682
ACH-001300,-0.07247858494369999
ACH-001301,-0.24080356651700002
ACH-001302,-0.10598916206
ACH-001303,-0.06568708315539999
ACH-001306,-0.09276804366460001
ACH-001318,-0.071457215163
ACH-001322,-0.367954321792
ACH-001328,-0.134021233086
ACH-001332,-0.138433861266
ACH-001333,-0.123516500147
ACH-001336,-0.012597250366400001
ACH-001340,-0.127135601782
ACH-001346,-0.11982496392999999
ACH-001353,-0.23345195592300003
ACH-001354,-0.138523592639
ACH-001367,-0.559095921748
ACH-001368,-0.198282562979
ACH-001374,-0.0100779584948
ACH-001375,-0.2332003047
ACH-001377,-0.09678582326610001
ACH-001380,0.06277053273819999
ACH-001391,-0.0928851426694
ACH-001407,-0.157372332503
ACH-001408,-0.175474358341
ACH-001413,-0.17874674619199998
ACH-001430,-0.42268329727700005
ACH-001431,-0.285451415719
ACH-001450,-0.217747677379
ACH-001496,-0.17043164127799998
ACH-001500,-0.12055271636199999
ACH-001521,-0.186184839267
ACH-001523,-0.149172103445
ACH-001532,-0.16262982783500002
ACH-001536,-0.329753788097
ACH-001550,0.060878237477199997
ACH-001552,-0.131875364231
ACH-001554,-0.24313151865600002
ACH-001645,-0.043003194381999996
ACH-001654,-0.27667337169100004
ACH-001715,-0.169883457018
ACH-001735,-0.22857042297200003
ACH-001736,-0.180243451957
ACH-001737,0.164330425188
ACH-001740,-0.18908130493
ACH-001745,-0.229111157918
ACH-001750,-0.111176593117
ACH-001765,-0.072005488121
ACH-001956,-0.207885025064
ACH-001957,-0.260694851218
