,CACNB1 (782)
ACH-000796,-0.14734800917500002
ACH-000799,-0.227159395675
ACH-000800,-0.0312501094043
ACH-000802,-0.201154212174
ACH-000804,-0.175622732883
ACH-000805,-0.40317206501999997
ACH-000809,-0.08276051297419999
ACH-000810,-0.24234072604
ACH-000811,-0.374791779978
ACH-000817,-0.157851265769
ACH-000819,-0.141915241558
ACH-000820,-0.049001899032500004
ACH-000821,-0.26680449761
ACH-000822,-0.354788240033
ACH-000823,-0.22096151848700002
ACH-000824,-0.24799621184
ACH-000827,-0.239809390789
ACH-000829,-0.43159261361
ACH-000831,-0.129961359721
ACH-000832,-0.270772294714
ACH-000833,-0.100061171583
ACH-000834,-0.09109115320599999
ACH-000835,-0.23334704875300002
ACH-000836,-0.157071680642
ACH-000837,-0.244394253669
ACH-000838,-0.296981242087
ACH-000839,-0.39475341715000006
ACH-000840,-0.182644350658
ACH-000841,-0.277456303918
ACH-000843,-0.305868199083
ACH-000846,-0.197038185616
ACH-000847,-0.258452867645
ACH-000848,-0.20601879829
ACH-000849,-0.36359859958000007
ACH-000851,-0.188974824824
ACH-000855,0.10913375035700001
ACH-000856,-0.334116380436
ACH-000858,-0.152882919517
ACH-000859,-0.268978386605
ACH-000861,-0.20911383103199999
ACH-000862,-0.08629471775669999
ACH-000865,-0.22626172410700002
ACH-000866,-0.205449608167
ACH-000867,-0.290928749179
ACH-000869,-0.37870848060900003
ACH-000872,-0.356523851768
ACH-000873,-0.00168866218632
ACH-000876,-0.17845530651500002
ACH-000878,-0.19933436140500002
ACH-000880,-0.213580275062
ACH-000881,-0.171805889564
ACH-000882,-0.08777865865710001
ACH-000884,-0.17479280373599998
ACH-000885,-0.177149491359
ACH-000887,-0.326764427008
ACH-000888,-0.279124155157
ACH-000889,-0.300642107692
ACH-000890,-0.17764409924199998
ACH-000896,-0.191807013894
ACH-000898,-0.240787916021
ACH-000900,-0.3009230842
ACH-000901,-0.17393101525899998
ACH-000905,-0.19001367450399997
ACH-000906,-0.20148259016399997
ACH-000907,0.0107290732088
ACH-000910,-0.19902152602
ACH-000911,-0.269188320987
ACH-000912,-0.264637544361
ACH-000913,-0.365404905315
ACH-000915,-0.08928496324310001
ACH-000916,-0.209869840736
ACH-000917,-0.689397619403
ACH-000921,-0.19681731621399998
ACH-000924,-0.151384835101
ACH-000926,-0.210347578244
ACH-000928,-0.309319846553
ACH-000929,0.022980206335400002
ACH-000932,-0.253178512548
