,MIPEP (4285)
ACH-000896,-0.35583069266
ACH-000898,-0.31693271736
ACH-000900,-0.798189701638
ACH-000901,-0.456446970078
ACH-000905,-0.793413997606
ACH-000906,-0.7546531248010001
ACH-000907,-0.814460999095
ACH-000910,-0.6723530484739999
ACH-000911,-0.783916892533
ACH-000912,-0.705237200458
ACH-000913,-0.6905332923659999
ACH-000915,-0.747918931467
ACH-000916,-0.836255718681
ACH-000917,-0.399195898393
ACH-000921,-0.9422329373430001
ACH-000924,-0.824071354624
ACH-000926,-0.47670461457099994
ACH-000928,-0.88620284229
ACH-000929,-0.579951795637
ACH-000932,-0.597151322697
ACH-000935,-0.5485806109920001
ACH-000936,-0.869301834926
ACH-000937,-0.7147556789689999
ACH-000938,-0.573926073747
ACH-000939,-1.1133889717
ACH-000941,-0.45041276523999996
ACH-000943,-1.0184652590899999
ACH-000946,-0.5863439210729999
ACH-000947,-0.9237452888240001
ACH-000948,-0.6830550718999999
ACH-000950,-0.927051967912
ACH-000953,-0.29202403538000005
ACH-000957,-0.637069949452
ACH-000958,-0.647680632734
ACH-000960,-0.5241269073120001
ACH-000963,-1.30787085264
ACH-000968,-1.01915949256
ACH-000969,-0.671119636356
ACH-000973,-0.710577182648
ACH-000974,-0.716156294572
ACH-000975,-0.856417719015
ACH-000976,-0.682362040599
ACH-000978,-0.775534450589
ACH-000980,-0.6029033267239999
ACH-000984,-0.558648073067
ACH-000986,-0.601055476616
ACH-000988,-0.5424542212
ACH-000993,-0.21274504020100002
ACH-000994,-0.954522615904
ACH-000996,-0.604119827726
ACH-001001,-1.03994900517
ACH-001020,-0.544117094401
ACH-001028,-0.6465476872820001
ACH-001031,-0.598923625959
ACH-001038,-0.372431360981
ACH-001048,-0.322525991624
ACH-001050,-0.399974295625
ACH-001053,-0.501130306445
ACH-001054,-0.62464588063
ACH-001061,-0.5176657325540001
ACH-001067,-0.560481842793
ACH-001075,-0.61936633047
ACH-001096,-0.867694144771
ACH-001128,-0.49647655711499994
ACH-001134,-0.33899137807199997
ACH-001151,-0.450526604029
ACH-001163,-0.7295673067020001
ACH-001164,-0.99538264861
ACH-001173,-1.00658685866
ACH-001183,-0.501752859601
ACH-001184,-0.845199075738
ACH-001190,-0.658235464833
ACH-001192,-0.46074346649400005
ACH-001193,-0.483326592268
ACH-001196,-0.88768744562
ACH-001197,-0.209456257026
ACH-001205,-0.311920060592
ACH-001211,-0.581041212735
ACH-001212,-0.244102423339
ACH-001228,-0.37352312425800005
ACH-001232,-0.613759617799
ACH-001239,-0.49158546813500004
ACH-001274,-0.454203542808
ACH-001275,-0.796118374509
ACH-001277,-0.5315365374859999
ACH-001278,-1.07553877596
ACH-001280,-0.6321028359440001
ACH-001283,-0.535980412632
ACH-001289,-0.37655342272200004
ACH-001295,-0.114114125578
ACH-001300,-0.7031254741399999
ACH-001301,-0.10325393724500001
ACH-001302,-0.37574740844800003
ACH-001303,-0.836931327321
ACH-001306,-0.528109581237
ACH-001318,-0.8921088934710001
ACH-001322,-0.898525937271
ACH-001328,-0.522887195422
ACH-001332,-0.715402866083
ACH-001333,-0.7940885937109999
ACH-001336,-0.930274250786
ACH-001340,-0.251399121833
ACH-001346,-0.590819805376
ACH-001353,-0.126298200122
ACH-001354,-0.45155759919
ACH-001367,-0.893685496294
ACH-001368,-0.557536585819
ACH-001374,-0.262000041972
ACH-001375,-0.22536299324900003
ACH-001377,-0.660628955418
ACH-001380,-0.950005087691
ACH-001391,-0.335507044557
ACH-001407,-0.648348571977
ACH-001408,-0.483901529222
ACH-001413,-0.378038232121
ACH-001430,-0.27309380874
ACH-001431,-0.256260724637
ACH-001450,-0.834223898038
ACH-001496,-0.6826124107989999
ACH-001500,-0.7483277340379999
ACH-001521,-0.243613213612
ACH-001523,-1.05244704339
ACH-001532,-0.6317092963840001
ACH-001536,-0.250628914238
ACH-001550,-0.641570523052
ACH-001552,-0.41853082907600003
ACH-001554,-0.630931069326
ACH-001645,-0.418707227602
ACH-001654,-0.586664788371
ACH-001715,-0.293217625098
ACH-001735,-0.29154628737300003
ACH-001736,-0.651256266527
ACH-001737,-0.728586742707
ACH-001740,-0.469510270887
ACH-001745,-0.382664777601
ACH-001750,-0.6969669656759999
ACH-001765,-0.35363561333099996
ACH-001956,-0.19857490169199998
ACH-001957,-0.554631903035
